year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,12,81466.8,269446.8,14745.3,349034.0,406147.6,1500599.4,0.000,0.3105,0.6381,0.0514,1.836e-4,8.707e-5,1.158e-4,0.0013,14,33,10.000,10.000,21.22,3700.8,2.34e-14,1.84e-16
2,12,50923.4,371650.4,14679.4,396017.7,287313.2,1500855.9,-0.000,0.1509,0.8116,0.0375,1.055e-4,9.496e-5,1.144e-4,0.0087,18,754,9.998,10.002,21.22,3697.3,1.33e-14,1.16e-16
3,12,39537.4,419286.0,14639.8,396887.3,250006.8,1501082.6,0.000,0.0926,0.8743,0.0331,7.647e-5,9.104e-5,1.143e-4,0.0037,18,113,9.996,10.003,21.22,3693.4,3.14e-14,1.36e-16
4,12,34892.0,441765.5,14606.4,394316.6,234393.2,1501466.3,-0.000,0.0730,0.8957,0.0312,6.540e-5,8.953e-5,1.143e-4,0.0063,22,242,9.993,10.005,21.22,3688.6,2.15e-14,5.38e-17
5,12,32703.0,452985.8,14582.1,393578.6,225829.3,1501761.1,-0.000,0.0651,0.9045,0.0304,6.058e-5,8.892e-5,1.143e-4,0.0048,19,117,9.991,10.007,21.22,3683.9,6.57e-15,8.90e-17
6,12,31528.0,458792.8,14562.8,393915.0,220810.2,1501831.2,-0.000,0.0613,0.9087,0.0300,5.806e-5,8.850e-5,1.143e-4,0.0014,19,32,9.990,10.007,21.22,3681.8,1.71e-14,1.15e-16
7,12,31059.9,461855.3,14551.7,389887.5,221668.0,1502417.6,-0.000,0.0595,0.9107,0.0298,5.709e-5,8.902e-5,1.143e-4,0.0095,14,658,9.985,10.011,21.22,3681.9,1.74e-14,1.08e-16
8,12,30798.4,464068.5,14547.6,390672.0,218785.5,1502567.9,-0.000,0.0586,0.9117,0.0297,5.647e-5,8.882e-5,1.144e-4,0.0025,11,132,9.984,10.012,21.22,3683.2,4.97e-15,8.93e-17
9,12,30537.5,465487.8,14547.8,390671.6,217503.1,1502692.1,-0.000,0.0580,0.9124,0.0296,5.605e-5,8.882e-5,1.144e-4,0.0032,20,105,9.983,10.013,21.22,3685.1,1.47e-14,1.18e-16
10,12,30436.9,466285.0,14553.4,389144.5,218093.6,1502926.5,0.000,0.0576,0.9128,0.0295,5.587e-5,8.901e-5,1.144e-4,0.0048,26,92,9.980,10.014,21.22,3686.0,2.77e-14,1.07e-16
11,12,30325.0,466867.1,14564.9,388733.6,217874.1,1503075.2,-0.000,0.0574,0.9131,0.0295,5.571e-5,8.896e-5,1.144e-4,0.0026,20,60,9.979,10.015,21.22,3686.6,2.63e-14,3.21e-17
12,12,30262.0,467614.2,14580.4,386496.0,219156.1,1503331.3,-0.000,0.0573,0.9133,0.0294,5.568e-5,8.914e-5,1.144e-4,0.0157,21,1439,9.977,10.017,21.22,3687.0,1.65e-14,5.63e-17
13,12,30184.5,468181.5,14599.3,381978.5,222539.8,1503956.4,-0.000,0.0572,0.9134,0.0294,5.577e-5,8.964e-5,1.144e-4,0.0125,20,930,9.971,10.021,21.22,3687.4,3.30e-14,1.31e-17
14,12,30239.1,468704.5,14622.6,382226.6,221466.7,1504180.5,-0.000,0.0571,0.9135,0.0294,5.569e-5,8.942e-5,1.144e-4,0.0040,14,244,9.969,10.023,21.22,3687.9,2.18e-14,1.93e-17
15,12,30130.6,468997.4,14647.9,382489.6,220863.3,1504311.2,-0.000,0.0570,0.9137,0.0294,5.553e-5,8.935e-5,1.144e-4,0.0030,15,114,9.967,10.024,21.22,3688.1,6.57e-15,3.98e-18
16,12,30079.8,469128.3,14675.3,382435.8,220715.9,1504405.0,-0.000,0.0568,0.9138,0.0293,5.543e-5,8.930e-5,1.145e-4,0.0021,16,57,9.966,10.025,21.22,3688.2,4.80e-15,7.70e-18
17,12,29966.8,469186.2,14705.4,382106.8,221011.4,1504463.4,-0.000,0.0568,0.9139,0.0293,5.532e-5,8.922e-5,1.145e-4,0.0020,12,131,9.965,10.025,21.22,3688.4,1.47e-14,1.26e-17
