world,seed,kinds_at,placed_at,top_kind,top_share,lines,kills,no_room,blocked,pop,travel
control,9,7.450980392156863,4.745098039215686,0.14738298039970937,0.5799305003796769,1,0.28294466591999107,0.48783506049339687,0.5219692076918269,9441.764705882353,5.75
control,10,8.27450980392157,4.647058823529412,0.1486853006584398,0.6281520392234675,1,0.25470049030897224,0.492039269819165,0.5463367703344278,8860.35294117647,4.25
control,11,7.254901960784314,4.470588235294118,0.1691253125201812,0.422830016248573,3,0.2842107819170713,0.4708800053343228,0.5185583647122108,8995.098039215687,6.0
control,12,7.764705882352941,4.235294117647059,0.135056452837831,0.5172943609386459,1,0.3014026518350503,0.46504697179596904,0.4797138519766257,7831.117647058823,4.75
control,13,7.2745098039215685,3.7450980392156863,0.1632230032288497,0.7773393500632766,1,0.2670640771754078,0.4658210783499889,0.47053921160096673,8757.254901960785,5.75
control,14,7.607843137254902,3.5098039215686274,0.13065708394129777,0.44886112314978155,3,0.2723287926396276,0.46497831971232007,0.4909601131056938,8280.235294117647,4.0
e100,9,5.980392156862745,2.3137254901960786,0.28994368213074456,0.4634607726718394,3,0.28372315094008466,0.4184316039853875,0.4447880401392586,8656.156862745098,10.75
e100,10,5.568627450980392,2.3529411764705883,0.2508809867051097,0.6136923110783392,2,0.3146483644936501,0.36655678034708405,0.3447304988960683,8006.745098039216,5.0
e100,11,6.588235294117647,3.3333333333333335,0.21037621848062515,0.5822342034967262,2,0.3257240015107247,0.42803018848362057,0.45406439273190946,7706.764705882353,5.75
e100,12,5.450980392156863,1.8627450980392157,0.37009938676252907,0.6253307904549201,4,0.340269705077674,0.34956253897245193,0.31124518049423655,9421.64705882353,17.75
e100,13,3.6666666666666665,0.43137254901960786,0.5756209400076423,0.9905074959537427,1,0.35618524955948505,0.30532713257829064,0.26400886390216877,9595.56862745098,32.75
e100,14,6.549019607843137,3,0.2259271193801925,0.650010661106436,1,0.29857630803869784,0.41531217233939394,0.4765940773735874,8367.862745098038,8.25
unit,9,7.333333333333333,3.7254901960784315,0.1550920935464217,0.6946458974810307,1,0.24479155548690207,0.43278885332757766,0.48807237127455233,8536.235294117647,3.0
unit,10,6.215686274509804,4.450980392156863,0.1733202469077407,0.3867101984209692,3,0.26267663265527624,0.44186311767642994,0.46175225822752825,7558.901960784314,2.25
unit,11,6.9411764705882355,4.235294117647059,0.14297654811512744,0.6133761553704371,1,0.2693358912285507,0.4623875273415294,0.5226607228705039,7372.254901960784,4.25
unit,12,7.470588235294118,5.215686274509804,0.15636274188258445,0.7041615220572064,1,0.27302140860628377,0.4618703295825569,0.4859961541677117,7097.450980392156,1.5
unit,13,7.8431372549019605,4.686274509803922,0.12985759847238304,0.4738529092838837,3,0.24461360256284748,0.4628532612847984,0.4995636732623034,7885.901960784314,3.0
unit,14,6.745098039215686,3.588235294117647,0.18185691186010708,0.5752103709460303,1,0.24979091734123351,0.430920237015382,0.48185137006420203,9119.862745098038,4.75
