run,censuses,from,to,every,span,grown_bodies,blocks,grown_age,kind_share,flesh_lo,flesh_hi,light_share,tooth,roam,keep_to_a_place,bodies_for_a_form
e069-ctl-9,1,10000,10000,0,0,3932,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e069-run-9,6,50000,100000,10000,50000,19027,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e069-ctl-10,6,50000,100000,10000,50000,21269,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e069-run-10,6,50000,100000,10000,50000,13883,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e069-ctl-11,6,50000,100000,10000,50000,19410,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e069-run-11,6,50000,100000,10000,50000,21605,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e078-ctl-9,25,36000,60000,1000,24000,51634,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e078-run-9,25,36000,60000,1000,24000,41494,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e078b-ctl-9,25,36000,60000,1000,24000,51634,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e078b-run-9,25,36000,60000,1000,24000,36333,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e079-ctl-9,25,36000,60000,1000,24000,51634,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e079-run-9,25,36000,60000,1000,24000,38306,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e080-ctl-9,25,36000,60000,1000,24000,38306,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e080-run-9,25,36000,60000,1000,24000,45199,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e081-ctl-9,51,50000,100000,1000,50000,114233,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e081-run-9,51,50000,100000,1000,50000,106685,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e081-ctl-10,51,50000,100000,1000,50000,114665,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e081-run-10,51,50000,100000,1000,50000,84566,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e081-ctl-11,51,50000,100000,1000,50000,108393,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e081-run-11,51,50000,100000,1000,50000,82552,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e082-ctl-9,51,50000,100000,1000,50000,106685,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e082-run-9,51,50000,100000,1000,50000,86369,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e082-ctl-10,51,50000,100000,1000,50000,84566,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e082-run-10,51,50000,100000,1000,50000,78032,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e082-ctl-11,51,50000,100000,1000,50000,82552,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e082-run-11,51,50000,100000,1000,50000,76012,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e087-ctl-9,51,50000,100000,1000,50000,114233,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e087-run-9,51,50000,100000,1000,50000,79111,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e087-ctl-10,51,50000,100000,1000,50000,114665,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e087-run-10,51,50000,100000,1000,50000,67383,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e087-ctl-11,51,50000,100000,1000,50000,108393,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
e087-run-11,51,50000,100000,1000,50000,66524,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
