step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west
10000,944,1.955,1.714,15.91,55783,32774,0,8566,568,785600,630664.5,460312.8,0.163,0.681,0.073,0.083,73,40.79,22.85,0.31,2.31,10.26,8.12,0.01,0.18,10.75,7.46,0.01,0.19,0.247,0.129,671,0.025,0.055,0.926,0.002,0.017,121890,103843,1,0.017,0.983,0.008,811231,0.192,2.878,0.196,48.65,52504,173,0.586,0.223,0.329,5449549,1.10,2.59,0.341,0.646,0.008,12.7,41.1,63.1,207.4,20135,0.077,0.00,0.0062,0.085,316,0.611,0.000,0.463,0.556,3.74,4.71,4.85,0.05,0.025,1.11,1.10,1.09,0.639,0.00419,28.32,44.9210,1555.89,102995.5,140122.1,0.223,30.4930,106.801,0.000,1.000,0.205,26.1,38.993,163.498,4376,24909.1,18.68,57.018,6.39,10.536,505.2,4.488,0.134,2.00,6.7752,6395.8,0.4934,0.3292,21.33,1.888,0.078,1.5345,0.0000,0.746,0.089,0.986,0.0000,5.42,0.91,7,22,34,110,35.5070,0.0005,0.3390,0.0000,0.0000,163.6820,100.00,87.7773,165.1151,0.0,0.0000,0.0000,0.9128,0.7703,14352,0.2964,0.0000,0.0000,0.0028,0.0011,0.000003,0,0.0805,0.0064,0.0140,47,166,411,0.0000,0.0000,0.0154,0.039,1.6495,0.0023,0.6428,0.0169,0.2979,0.0928,0.6257,0.00642
20000,554,2.678,2.407,22.80,16250,10406,0,3234,1,296166,188562.8,143647.6,0.050,0.821,0.086,0.043,63,72.20,37.79,1.03,4.21,13.47,12.88,0.24,2.21,20.56,14.65,0.06,0.45,0.189,0.144,421,0.034,0.052,0.931,0.000,0.016,22350,16328,1,0.560,0.440,0.027,60903,0.155,3.333,0.275,19.07,13454,195,0.485,0.210,0.227,1664850,1.27,2.22,0.431,0.567,0.025,27.9,71.9,108.0,373.9,19550,0.075,0.00,0.0017,0.078,167,0.456,0.000,0.414,0.326,5.21,6.10,6.13,0.22,0.065,1.35,1.15,1.29,0.484,0.00507,3.25,8.8372,958.45,92515.7,140122.1,0.000,9.7190,35.111,0.000,1.000,0.130,24.3,13.062,50.296,5891,36221.9,27.18,15.453,5.95,4.761,976.6,1.006,0.134,1.99,10.5775,5859.9,0.4631,0.3879,35.29,1.994,0.012,0.4655,0.0000,0.885,0.077,1.000,0.0000,6.67,1.16,14,36,50,144,10.8139,0.0000,0.4278,0.0000,0.0000,49.1905,100.00,89.5828,84.3989,0.0,0.0000,0.0000,0.9023,0.8082,2999,0.3029,0.0000,0.0000,0.0026,0.0010,0.000006,0,0.0331,0.0126,0.0163,49,184,495,0.0000,0.0000,0.0023,0.003,0.4532,0.0018,0.1881,0.0090,0.4074,0.0987,0.5550,0.01332
30000,976,1.829,1.850,18.56,39824,24016,0,6263,41,710076,519397.4,377670.7,0.044,0.711,0.154,0.091,56,37.32,22.84,0.39,2.38,9.02,7.49,0.02,0.29,13.23,16.10,0.00,0.05,0.251,0.158,734,0.047,0.046,0.924,0.006,0.024,76372,61284,1,0.185,0.815,0.008,698642,0.166,3.018,0.215,46.31,41924,186,0.532,0.194,0.409,4248042,1.10,3.35,0.308,0.631,0.002,10.0,34.3,59.9,205.5,22114,0.084,0.00,0.0040,0.102,175,0.577,0.000,0.401,0.496,3.81,4.82,4.91,0.05,0.023,1.12,1.08,1.11,0.606,0.00410,23.64,32.1041,1485.23,100925.8,140122.1,0.058,28.2755,90.820,0.000,1.000,0.194,27.3,33.979,159.797,4533,27376.8,16.63,44.816,6.74,15.099,440.4,5.174,0.135,2.00,6.5041,6348.0,0.5052,0.3388,22.66,1.778,0.415,1.5345,0.0000,0.884,0.175,0.949,0.0000,5.70,1.57,6,21,43,105,30.5550,0.0000,0.3668,0.0000,0.0000,166.2973,100.00,83.6449,156.8601,0.0,0.0000,0.0000,0.9014,0.7948,9082,0.2939,0.0000,0.0000,0.0026,0.0010,0.000005,0,0.0708,0.0072,0.0174,49,187,462,0.0000,0.0000,0.0039,0.011,1.5522,0.0028,0.4917,0.0205,0.3297,0.0749,0.6196,0.00634
40000,770,1.551,2.126,19.41,16107,11348,0,2304,8,308226,203498.1,125529.8,0.075,0.801,0.063,0.061,75,34.60,23.11,0.97,3.71,8.79,7.62,0.00,0.00,9.05,10.42,0.09,0.47,0.264,0.168,595,0.022,0.040,0.929,0.008,0.023,22195,16047,2,0.232,0.562,0.000,128986,0.140,3.192,0.241,19.96,12114,197,0.407,0.228,0.436,1614401,1.30,3.50,0.281,0.690,0.043,8.0,32.0,61.9,207.4,14478,0.055,0.00,0.0029,0.106,229,0.468,0.000,0.414,0.331,3.32,4.44,4.51,0.23,0.084,1.38,1.17,1.34,0.497,0.00341,3.53,8.1362,835.93,98675.6,140122.1,0.000,7.8791,38.682,0.000,1.000,0.185,19.8,15.461,49.867,5219,31912.3,22.06,15.880,7.12,3.609,696.6,0.962,0.136,2.01,6.3281,4872.6,0.5750,0.3119,18.80,1.837,0.303,0.4655,0.0000,0.844,0.269,0.790,0.0000,5.35,1.34,5,16,36,100,13.3745,0.0000,0.3688,0.0000,0.0000,49.1731,100.00,95.0414,86.9914,0.0,0.0000,0.0000,0.9487,0.8223,2653,0.3159,0.0000,0.0000,0.0029,0.0012,0.000004,0,0.0363,0.0195,0.0179,52,177,484,0.0000,0.0000,0.0020,0.004,0.8304,0.0015,0.2254,0.0156,0.3902,0.0706,0.6349,0.00592
50000,1040,1.537,1.978,19.33,61735,36631,0,12232,280,984393,537147.5,454602.5,0.079,0.792,0.062,0.067,50,36.39,23.04,0.81,3.61,8.91,8.06,0.42,1.79,12.90,14.38,0.01,0.19,0.255,0.188,733,0.085,0.030,0.936,0.006,0.029,102616,74987,3,0.181,0.627,0.077,448494,0.152,3.057,0.233,48.91,57301,169,0.462,0.239,0.379,6619034,1.21,2.93,0.336,0.555,0.007,10.0,32.0,72.0,129.7,23966,0.091,0.00,0.0040,0.056,232,0.592,0.000,0.533,0.420,3.70,4.90,4.93,0.07,0.029,1.20,1.22,1.22,0.625,0.00459,22.58,33.2299,1910.40,98848.0,140122.1,0.015,27.6072,97.721,0.000,1.000,0.209,37.0,34.473,163.916,4880,28928.6,17.65,45.755,6.11,13.150,558.1,4.931,0.133,2.00,6.2182,6467.0,0.4500,0.3228,23.04,1.633,0.369,1.5345,0.0000,0.723,0.263,0.746,0.0000,5.65,1.29,6,18,48,81,30.4148,0.0003,0.4635,0.0000,0.0000,166.7457,100.00,83.0837,158.8415,0.0,0.0000,0.0000,0.8213,0.7950,12320,0.3035,0.0000,0.0000,0.0029,0.0011,0.000005,2,0.0665,0.0096,0.0107,40,156,422,0.0000,0.0000,0.0140,0.032,3.3750,0.0040,1.1407,0.0260,0.2962,0.1310,0.6342,0.00607
60000,842,1.890,1.821,11.00,21803,14834,0,2675,153,292783,216733.8,124639.8,0.038,0.810,0.061,0.091,96,31.67,17.42,0.62,2.80,9.48,7.25,0.30,1.45,7.81,6.92,0.08,0.53,0.305,0.189,570,0.038,0.059,0.904,0.004,0.033,27836,21936,1,0.624,0.376,0.069,475283,0.134,2.990,0.212,20.58,13074,175,0.426,0.260,0.369,1931421,1.19,3.35,0.165,0.537,0.026,8.3,30.5,52.5,114.7,15340,0.059,0.00,0.0033,0.075,255,0.475,0.000,0.346,0.294,3.57,4.68,4.71,0.16,0.049,1.19,1.22,1.20,0.500,0.00310,3.60,9.5703,1320.89,103695.6,140122.1,0.000,8.3909,40.023,0.000,1.000,0.176,19.2,15.705,52.200,4502,26780.6,15.48,16.638,6.17,3.031,590.0,0.964,0.132,2.01,5.2783,4444.3,0.4947,0.3132,18.22,1.697,0.122,0.4655,0.0000,0.355,0.076,0.056,0.0000,5.53,0.62,5,18,32,53,13.6477,0.0003,0.3112,0.0000,0.0000,49.0584,100.00,100.0647,89.0824,0.0,0.0000,0.0000,0.9133,0.7846,4339,0.3004,0.0000,0.0000,0.0033,0.0013,0.000004,0,0.0354,0.0071,0.0149,42,153,428,0.0000,0.0000,0.0242,0.078,1.2328,0.0040,0.4132,0.0333,0.3741,0.0844,0.5927,0.00606
70000,1646,1.424,2.206,31.66,95140,53956,0,26082,258,1052792,511021.3,544263.1,0.070,0.858,0.050,0.022,50,27.22,9.51,0.21,1.20,4.81,4.20,0.00,0.00,8.38,5.16,0.03,0.24,0.184,0.151,654,0.135,0.046,0.916,0.012,0.027,139724,100728,1,0.049,0.951,0.000,176648,0.121,3.215,0.266,46.87,79735,132,0.517,0.307,0.223,7803195,1.10,1.13,0.578,0.412,0.015,12.0,32.0,32.0,92.0,22070,0.084,0.00,0.0037,0.050,668,0.522,0.000,0.402,0.342,2.92,3.73,3.78,0.05,0.022,1.11,1.10,1.09,0.553,0.00320,20.31,32.6188,1125.77,92031.7,140122.1,0.018,30.3388,95.623,0.000,1.000,0.097,37.4,31.622,163.496,5357,33358.3,15.99,44.119,4.49,16.253,653.7,5.079,0.135,2.00,5.2704,8675.1,0.5676,0.3905,13.41,1.998,0.020,1.5345,0.0000,0.921,0.089,0.991,0.0000,4.04,0.25,6,16,16,36,27.1802,0.0000,0.3827,0.0000,0.0000,167.9511,100.00,81.0430,147.2544,0.0,0.0000,0.0000,0.8991,0.7833,14040,0.3005,0.0000,0.0000,0.0035,0.0013,0.000005,0,0.0463,0.0067,0.0048,33,126,333,0.0000,0.0000,0.0084,0.020,2.6766,0.0034,1.1956,0.0115,0.3599,0.1180,0.6125,0.01120
80000,1086,1.262,2.455,34.80,23945,16822,0,3085,3,138233,190591.4,76354.5,0.111,0.831,0.031,0.026,55,27.33,8.01,0.02,0.37,5.21,4.44,0.01,0.33,8.42,4.84,0.00,0.10,0.190,0.148,498,0.137,0.097,0.874,0.003,0.027,25506,18171,1,0.757,0.243,0.001,137,0.022,3.368,0.286,18.38,18614,152,0.552,0.327,0.176,2475841,1.01,0.98,0.596,0.404,0.002,14.0,32.0,32.0,54.0,14829,0.057,0.00,0.0021,0.074,355,0.494,0.000,0.137,0.169,2.54,3.72,3.81,0.01,0.003,1.01,1.00,1.01,0.505,0.00153,2.69,6.9198,860.68,91034.5,140122.1,0.000,9.5963,35.048,0.000,1.000,0.096,27.2,14.443,48.186,5860,37246.1,29.77,15.467,3.98,5.754,842.6,1.213,0.135,2.00,6.3220,6865.7,0.6128,0.4177,13.65,2.000,0.001,0.4655,0.0000,0.878,0.123,0.975,0.0000,4.01,0.10,7,16,16,25,13.1548,0.0001,0.4245,0.0000,0.0000,49.4439,100.00,84.9628,82.7596,0.0,0.0000,0.0000,0.9008,0.7860,4590,0.3041,0.0000,0.0000,0.0030,0.0013,0.000002,5,0.0484,0.0166,0.0122,48,169,453,0.0000,0.0000,0.0002,0.000,0.1171,0.0017,0.0795,0.0064,0.4059,0.0532,0.5672,0.00996
90000,1094,1.336,2.118,28.91,67989,46540,0,9460,175,589959,530237.9,315538.5,0.097,0.805,0.055,0.043,50,28.40,11.45,0.47,3.09,6.74,5.76,0.05,0.81,11.69,10.84,0.01,0.16,0.237,0.179,659,0.076,0.048,0.923,0.008,0.020,108566,79699,6,0.152,0.594,0.008,188676,0.185,3.196,0.247,47.63,65773,136,0.535,0.298,0.258,7932475,1.11,1.68,0.512,0.478,0.008,12.0,32.0,36.0,115.9,20733,0.079,0.00,0.0041,0.093,308,0.623,0.000,0.355,0.396,3.36,4.41,4.39,0.04,0.022,1.16,1.06,1.11,0.641,0.00276,21.20,27.3476,1232.56,96059.6,140122.1,0.323,24.7346,97.630,0.000,1.000,0.132,33.4,39.135,156.330,5161,31659.9,21.06,45.080,5.08,15.741,643.2,5.392,0.134,2.00,6.6277,7250.7,0.5327,0.3164,18.95,1.645,0.465,1.5345,0.0000,0.758,0.173,0.941,0.0000,4.82,1.31,8,16,33,119,36.6950,0.0004,0.4369,0.0000,0.0000,166.5181,100.00,80.4112,156.4401,0.0,0.0000,0.0000,0.9264,0.8135,11805,0.2964,0.0000,0.0000,0.0032,0.0014,0.000004,1,0.0851,0.0146,0.0100,44,165,405,0.0000,0.0000,0.0020,0.007,1.7369,0.0019,0.5330,0.0110,0.3014,0.0979,0.6597,0.01299
100000,847,1.339,1.808,26.40,21258,15194,0,1996,12,235244,216113.7,95641.3,0.077,0.851,0.032,0.039,83,30.21,14.24,0.61,2.55,7.36,6.10,0.94,2.99,12.16,10.56,0.01,0.16,0.245,0.157,611,0.053,0.051,0.919,0.008,0.022,26795,18919,5,0.246,0.479,0.198,686513,0.082,3.002,0.204,20.18,15102,164,0.407,0.285,0.293,2185725,1.15,2.15,0.403,0.567,0.005,12.0,32.0,43.8,93.4,17846,0.068,0.00,0.0021,0.084,274,0.484,0.000,0.359,0.283,3.55,4.67,4.71,0.10,0.052,1.14,1.15,1.16,0.502,0.00261,3.45,8.5124,1056.39,103165.8,140122.1,0.000,8.0697,39.719,0.000,1.000,0.169,27.9,16.376,50.860,4505,26683.5,29.82,16.889,5.74,3.556,533.4,1.028,0.133,2.01,6.6867,5663.6,0.5140,0.2794,21.07,1.565,0.441,0.4655,0.0000,0.681,0.193,0.863,0.0000,5.23,1.34,8,16,36,81,14.6975,0.0001,0.4357,0.0000,0.0000,49.0841,100.00,95.2979,88.7506,0.0,0.0000,0.0000,0.8746,0.7932,4300,0.3029,0.0000,0.0000,0.0031,0.0014,0.000004,3,0.0630,0.0083,0.0178,49,158,450,0.0000,0.0000,0.0064,0.023,0.7431,0.0048,0.2252,0.0106,0.3854,0.0812,0.6229,0.01055
