step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,50.00,25,0,15,0,10,0,1.00,0,0.300,1151,6.39,101.45,40.92,441,1,2,0,1.00,1.00,1.00,4,5,5,32.6,62.046,25,2.000,0.688,5,1.000,0,53.74,53.25
100000,10.00,25,0,1,0,4,0,1.00,8,0.100,1135,0.00,42.89,96.00,441,2,2,0,1.00,1.00,1.00,2,2,4,40.4,7.008,5,2.000,0.666,5,1.000,0,1.75,-1.75
100000,34.00,25,0,9,0,8,0,1.00,2,0.265,1107,0.00,76.18,13.01,441,1,0,0,1.00,1.00,1.00,4,5,4,29.2,37.006,17,2.000,0.670,5,1.000,0,9.76,6.25
100000,46.00,25,0,13,0,10,0,1.00,0,0.283,1060,2.79,121.38,28.45,441,0,1,0,1.00,1.00,1.00,4,5,5,14.0,66.427,23,2.000,0.586,5,1.000,0,26.28,23.75
100000,50.00,25,0,15,0,10,0,1.00,0,0.300,1046,0.00,74.68,21.47,441,2,1,0,1.00,1.00,1.00,4,5,5,40.8,43.997,25,2.000,0.688,5,1.000,0,42.00,42.00
100000,34.00,25,0,9,0,8,0,1.00,2,0.265,1038,2.56,59.38,4.33,441,0,0,0,1.00,1.00,1.00,4,5,4,15.2,13.030,17,2.000,0.635,5,1.000,0,15.91,11.25
100000,52.00,36,0,12,0,14,0,1.00,0,0.231,1036,0.00,60.25,92.63,447,2,2,0,1.00,1.00,1.00,5,6,6,44.1,21.301,26,2.000,0.643,6,1.000,0,3.13,-1.50
100000,24.00,36,0,0,0,12,0,1.00,8,0.000,1033,0.00,124.03,9.74,441,2,2,0,1.00,1.00,1.00,4,2,6,51.9,15.720,12,2.000,0.668,6,1.000,0,27.25,27.25
100000,10.00,25,0,3,0,2,0,1.00,8,0.300,1028,1.39,24.65,62.91,447,0,0,0,1.00,1.00,1.00,2,5,1,21.1,4.247,5,2.000,0.623,5,1.000,0,10.59,10.00
100000,30.00,36,0,3,0,12,0,1.00,4,0.100,1019,0.00,114.93,5.32,441,2,2,0,1.00,1.00,1.00,3,4,6,49.6,26.413,15,2.000,0.683,6,1.000,0,21.25,21.25
100000,28.00,25,0,9,0,5,0,1.00,2,0.321,1019,0.00,77.80,49.09,441,1,0,0,1.00,1.00,1.00,4,5,4,35.7,31.800,14,2.000,0.550,5,1.000,0,24.71,24.50
100000,50.00,25,0,6,0,19,0,1.00,0,0.120,1010,0.00,50.31,34.97,441,1,0,0,1.00,1.00,1.00,4,5,5,30.7,3.800,25,2.000,0.588,5,1.000,0,10.25,10.25
100000,8.00,25,0,2,0,2,0,1.00,10,0.250,995,0.00,30.32,51.82,441,1,1,0,1.00,1.00,1.00,2,4,1,35.0,9.520,4,2.000,0.681,5,1.000,0,32.57,24.25
