step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west
10000,1247,1.728,1.452,15.38,66814,52226,0,14449,373,1105301,667124.6,559443.8,0.162,0.668,0.107,0.063,101,43.57,22.81,0.62,2.55,8.95,6.22,0.50,2.49,14.06,12.61,0.04,0.37,0.215,0.131,838,0.086,0.033,0.954,0.001,0.012,141638,116227,1,0.169,0.831,0.077,2110282,0.166,2.747,0.166,51.79,56723,184,0.506,0.197,0.302,6713189,1.17,1.88,0.395,0.601,0.017,17.7,45.2,68.2,231.9,30085,0.115,0.00,0.0038,0.051,575,0.581,0.001,0.449,0.540,3.98,5.01,5.03,0.22,0.077,1.18,1.13,1.18,0.616,0.00452,32.51,32.6566,557.32,103525.6,140496.8,0.102,21.2677,129.999,0.000,1.000,0.184,43.1,53.282,155.026,3815,21770.4,21.74,60.519,6.17,12.409,531.7,4.653,0.135,2.00,7.9407,9902.0,0.5038,0.3355,24.13,1.845,0.246,1.5414,0.0000,0.169,0.171,0.086,0.0000,5.49,1.10,9,24,43,121,48.7046,0.0001,0.4603,0.0000,0.0000,155.7320,100.00,84.5006,155.7636,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3029,0.0000,0.0000,0.0034,0.0014,0.000007,1,0.0905,0.0144,0.0125,53,182,442,0.0000,0.0000,0.0094,0.043,2.3275,0.0019,0.8580,0.0064,0.3017,0.1189,0.4498,0.00546
20000,1043,1.442,0.926,13.68,18797,16484,0,2516,0,289573,231116.2,131053.6,0.142,0.751,0.055,0.053,125,38.11,18.93,0.18,1.36,10.20,7.43,0.91,3.00,12.69,10.73,0.01,0.12,0.264,0.147,776,0.028,0.076,0.906,0.006,0.012,23319,17560,3,0.508,0.011,0.181,598535,0.156,2.195,0.099,21.55,11708,233,0.453,0.229,0.371,1905725,1.05,2.97,0.321,0.640,0.005,11.6,39.3,60.2,126.1,25013,0.095,0.00,0.0017,0.093,420,0.421,0.000,0.326,0.282,4.01,5.09,5.04,0.03,0.017,1.04,1.04,1.07,0.443,0.00303,4.45,4.7474,600.74,115072.7,140496.8,0.043,3.9428,48.184,0.000,1.000,0.303,38.6,21.322,48.116,2632,13307.4,20.78,17.475,5.92,2.558,235.2,0.770,0.139,1.98,7.5909,7917.3,0.4822,0.3624,23.98,1.662,0.310,0.4586,0.0000,0.268,0.192,0.104,0.0000,5.81,1.08,7,24,43,81,19.0623,0.0000,0.4477,0.0000,0.0000,46.5366,100.00,96.2266,90.3524,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3063,0.0000,0.0000,0.0030,0.0013,0.000004,1,0.0939,0.0268,0.0277,62,199,607,0.0000,0.0000,0.0034,0.007,0.5864,0.0084,0.1877,0.0134,0.4406,0.0667,0.3971,0.00401
30000,1074,1.333,1.635,30.25,78899,56517,0,22259,91,1274290,569242.7,601012.6,0.065,0.800,0.095,0.040,84,37.17,33.02,0.15,1.28,7.96,8.82,0.02,0.21,10.32,15.47,0.03,0.26,0.237,0.185,719,0.074,0.026,0.933,0.008,0.033,124806,85640,0,0.000,1.000,0.014,1180450,0.126,2.870,0.192,54.00,69457,187,0.472,0.236,0.356,8195138,1.04,2.85,0.369,0.586,0.013,10.0,32.0,64.0,337.8,19818,0.076,0.00,0.0051,0.062,356,0.524,0.000,0.422,0.387,3.42,4.30,4.34,0.04,0.018,1.06,1.03,1.04,0.557,0.00700,27.63,24.8268,679.75,104214.8,140496.8,0.002,19.4528,120.146,0.000,1.000,0.223,35.2,45.422,163.542,4302,24501.8,26.03,48.640,5.11,11.961,717.9,4.260,0.135,2.00,6.7348,7233.2,0.6094,0.3727,18.45,2.000,0.001,1.5414,0.0000,0.058,0.091,0.005,0.0000,5.03,1.36,5,16,32,169,39.5733,0.0001,0.4907,0.0000,0.0000,158.9520,100.00,85.6581,155.0362,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3040,0.0000,0.0000,0.0032,0.0013,0.000012,1,0.0842,0.0140,0.0097,43,162,457,0.0000,0.0000,0.0056,0.018,3.3152,0.0045,1.3301,0.0223,0.3457,0.2105,0.4567,0.00857
40000,1469,1.395,1.487,30.23,24371,20192,0,3663,111,215937,214960.9,116965.6,0.028,0.828,0.085,0.059,94,30.43,16.74,0.25,1.84,6.64,7.17,0.01,0.12,8.07,7.81,0.01,0.16,0.211,0.187,835,0.091,0.078,0.877,0.013,0.033,28267,19652,3,0.300,0.640,0.007,257988,0.103,2.739,0.169,20.40,19327,208,0.542,0.285,0.293,2660488,1.09,2.26,0.419,0.511,0.007,8.0,32.0,50.0,160.0,21995,0.084,0.00,0.0018,0.063,390,0.448,0.000,0.220,0.228,3.05,3.98,3.99,0.02,0.010,1.11,1.08,1.10,0.462,0.00180,3.22,4.5785,875.51,104602.0,140496.8,0.133,5.6380,43.964,0.000,1.000,0.171,37.1,19.222,51.732,3974,21807.8,17.67,17.447,4.55,4.421,788.8,0.874,0.135,2.00,5.8189,8547.9,0.6155,0.4278,14.97,2.000,0.002,0.4586,0.0000,0.018,0.050,0.002,0.0000,4.55,0.75,4,16,25,64,17.4789,0.0009,0.3887,0.0000,0.0000,46.9686,100.00,91.9849,89.5804,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3031,0.0000,0.0000,0.0030,0.0013,0.000004,10,0.1085,0.0204,0.0206,51,180,567,0.0000,0.0000,0.0131,0.022,0.4659,0.0124,0.2095,0.0218,0.4322,0.0564,0.2188,0.00222
50000,1145,1.319,1.357,31.57,61466,51960,0,9047,766,538456,562848.4,306134.8,0.072,0.815,0.058,0.055,81,33.25,17.97,0.22,2.03,6.95,5.23,0.02,0.39,9.23,8.32,0.00,0.07,0.225,0.150,537,0.148,0.086,0.888,0.003,0.024,92021,68612,1,0.942,0.058,0.007,297771,0.208,2.678,0.160,50.99,58396,157,0.569,0.296,0.207,8558605,1.05,1.37,0.573,0.368,0.003,16.0,32.0,50.0,243.6,18809,0.072,0.00,0.0053,0.075,368,0.581,0.000,0.259,0.357,3.26,4.12,4.17,0.01,0.006,1.06,1.03,1.06,0.595,0.00401,24.06,16.8795,299.89,104959.3,140496.8,0.205,17.1275,112.778,0.000,1.000,0.166,35.2,50.656,167.209,3598,20514.4,10.18,47.860,4.88,16.762,738.6,5.392,0.137,1.99,9.5990,10990.9,0.7697,0.3623,16.43,1.999,0.010,1.5414,0.0000,0.009,0.031,0.000,0.0000,4.49,0.94,8,16,25,99,47.7415,0.0000,0.4795,0.0000,0.0000,160.5307,100.00,82.8056,155.4235,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2768,0.0000,0.0000,0.0031,0.0013,0.000008,17,0.3151,0.0699,0.0202,53,195,495,0.0000,0.0000,0.0291,0.057,1.4666,0.0368,0.5225,0.0192,0.3351,0.1237,0.4455,0.00467
60000,1040,1.419,1.028,31.68,18685,17016,0,1385,360,104948,221638.6,60046.6,0.068,0.843,0.052,0.037,109,40.80,19.77,0.19,1.88,6.99,6.92,0.00,0.00,13.03,8.95,0.00,0.03,0.168,0.146,532,0.079,0.137,0.844,0.001,0.018,18727,13920,3,0.536,0.121,0.000,47573,0.130,2.323,0.115,20.79,14057,187,0.572,0.346,0.095,2472172,1.04,1.15,0.541,0.315,0.001,18.0,42.0,50.0,186.0,21018,0.080,0.00,0.0016,0.063,147,0.452,0.000,0.196,0.158,3.61,4.58,4.68,0.00,0.001,1.03,1.05,1.04,0.458,0.00239,3.08,3.3623,256.14,109615.8,140496.8,0.180,4.3911,43.544,0.000,0.999,0.355,38.9,20.686,50.400,2909,15210.4,12.71,17.751,4.71,3.820,565.3,0.909,0.137,2.00,11.2288,11678.0,0.7051,0.3918,20.21,2.000,0.003,0.4586,0.0000,0.009,0.028,0.000,0.0000,4.92,0.87,9,21,25,64,19.1875,0.0000,0.5183,0.0000,0.0000,47.2710,100.00,93.8533,94.2602,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2882,0.0000,0.0000,0.0027,0.0012,0.000004,29,0.2815,0.0577,0.0385,59,202,718,0.0000,0.0000,0.0352,0.059,0.2704,0.0484,0.1276,0.0144,0.4418,0.0654,0.2458,0.00219
70000,1022,1.475,1.015,32.56,52466,44065,0,7156,1231,467234,592116.9,261688.8,0.047,0.852,0.057,0.045,103,45.60,25.88,0.25,1.98,8.66,6.76,0.00,0.06,13.64,12.11,0.01,0.13,0.194,0.134,535,0.119,0.104,0.856,0.004,0.036,73414,55191,2,0.911,0.068,0.001,144698,0.166,2.309,0.113,54.54,47728,158,0.560,0.317,0.145,8250832,1.06,1.72,0.221,0.352,0.005,18.0,46.0,68.0,382.0,23048,0.088,0.00,0.0042,0.091,143,0.577,0.000,0.295,0.324,3.85,4.88,5.02,0.03,0.013,1.09,1.06,1.06,0.589,0.00535,27.62,14.8403,327.46,109330.8,140496.8,0.396,13.2202,118.019,0.000,1.000,0.278,40.1,54.624,142.250,2899,15050.7,19.66,49.520,5.19,13.329,452.3,5.237,0.132,2.01,11.8025,12062.2,0.6680,0.3539,22.55,2.000,0.000,1.5414,0.0000,0.008,0.026,0.000,0.0000,5.38,1.10,9,22,34,191,51.2125,0.0000,0.5098,0.0000,0.0000,156.6498,100.00,84.8024,161.2847,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3339,0.0000,0.0000,0.0028,0.0012,0.000009,32,0.5355,0.0812,0.0322,52,201,599,0.0000,0.0000,0.0347,0.065,1.1370,0.0840,0.4718,0.0254,0.3445,0.1227,0.4621,0.00476
80000,976,1.843,1.137,33.89,14974,13264,0,1434,282,113488,224922.1,56704.5,0.025,0.911,0.040,0.025,130,49.51,23.19,0.28,2.49,8.56,7.11,0.01,0.21,15.64,9.38,0.00,0.06,0.173,0.129,514,0.070,0.101,0.855,0.002,0.042,15096,11657,2,0.450,0.462,0.004,17077,0.188,2.446,0.126,21.86,11059,149,0.500,0.417,0.099,2165274,1.09,1.36,0.465,0.348,0.001,22.0,50.0,72.0,198.0,23897,0.091,0.00,0.0015,0.091,190,0.449,0.000,0.257,0.171,4.18,5.08,5.12,0.01,0.004,1.09,1.08,1.09,0.457,0.00296,3.67,3.8170,323.68,107426.9,140496.8,0.265,4.1801,43.135,0.000,1.000,0.326,34.9,20.794,48.588,3170,16861.4,34.55,17.684,5.56,3.305,602.0,0.857,0.133,2.01,11.9321,11645.8,0.6340,0.3182,24.48,2.000,0.000,0.4586,0.0000,0.005,0.010,0.000,0.0000,5.44,1.04,11,24,36,81,19.0309,0.0000,0.4232,0.0000,0.0000,46.0410,100.00,95.5688,99.1448,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3202,0.0000,0.0000,0.0026,0.0011,0.000006,40,0.4147,0.0768,0.0501,48,188,762,0.0000,0.0000,0.0331,0.063,0.2806,0.0939,0.1406,0.0328,0.4471,0.0585,0.2742,0.00271
90000,1070,1.440,1.115,35.02,47994,40840,0,6286,747,442969,602832.1,240980.2,0.032,0.871,0.056,0.040,108,49.46,22.94,0.08,0.99,10.18,6.78,0.04,0.41,14.37,11.13,0.00,0.09,0.209,0.125,530,0.084,0.080,0.892,0.001,0.027,66386,49503,2,0.714,0.052,0.017,155671,0.159,2.416,0.122,55.68,44409,154,0.544,0.332,0.143,7793440,1.02,1.42,0.436,0.320,0.001,22.0,48.0,72.0,240.0,26402,0.101,0.00,0.0039,0.089,467,0.578,0.000,0.300,0.322,4.12,5.04,5.14,0.01,0.010,1.02,1.02,1.03,0.589,0.00497,30.15,14.6815,264.64,105557.9,140496.8,0.301,11.9806,118.526,0.000,1.000,0.260,46.5,55.471,133.207,3123,16460.9,22.07,50.094,5.52,11.962,512.8,5.084,0.133,2.00,13.1134,14031.4,0.6599,0.3292,24.67,2.000,0.000,1.5414,0.0000,0.005,0.013,0.000,0.0000,5.44,1.11,11,24,36,120,52.0711,0.0003,0.5271,0.0000,0.0000,154.4504,100.00,85.5266,163.0818,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3029,0.0000,0.0000,0.0028,0.0012,0.000010,27,0.5556,0.0785,0.0370,50,197,618,0.0000,0.0000,0.0407,0.077,1.1153,0.0897,0.4193,0.0224,0.3500,0.1000,0.4719,0.00447
100000,1185,1.721,1.072,34.52,15307,13490,0,1475,195,118603,227783.7,57936.0,0.017,0.922,0.037,0.025,139,46.51,21.01,0.22,2.06,8.47,6.20,0.00,0.06,14.33,10.81,0.02,0.23,0.190,0.129,494,0.189,0.143,0.830,0.000,0.028,14944,11563,1,0.981,0.019,0.003,26719,0.084,2.362,0.117,21.87,11501,146,0.488,0.429,0.092,2238838,1.07,1.12,0.637,0.335,0.005,20.0,50.0,50.0,242.0,27294,0.104,0.00,0.0013,0.088,572,0.437,0.000,0.222,0.161,3.86,4.84,4.88,0.02,0.006,1.09,1.05,1.08,0.445,0.00255,3.66,3.4818,308.55,104474.6,140496.8,0.281,3.7706,43.882,0.000,1.000,0.250,44.7,21.112,48.048,3106,15897.3,17.57,17.705,5.28,3.117,498.0,0.876,0.133,1.99,12.8822,15265.4,0.7020,0.3250,23.03,2.000,0.000,0.4586,0.0000,0.006,0.037,0.003,0.0000,5.14,0.79,10,25,25,121,19.2872,0.0005,0.4726,0.0000,0.0000,46.2065,100.00,94.9492,98.3123,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3063,0.0000,0.0000,0.0025,0.0011,0.000005,32,0.4011,0.0886,0.0517,49,186,800,0.0000,0.0000,0.0297,0.052,0.2421,0.0828,0.1278,0.0101,0.4531,0.0542,0.2891,0.00215
