step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,22.00,16,0,4,0,7,0,1.00,0,0.182,2404,2.06,183.43,90.85,793,2,2,0,1.00,1.00,1.00,2,4,4,45.9,86.384,11,2.000,0.006,4,0.241,5,56.65,-53.00
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,2376,0.00,151.81,43.28,793,2,2,0,1.00,1.00,1.00,4,4,4,46.5,82.886,14,2.000,0.006,4,0.154,2,71.93,-58.75
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1830,0.00,79.20,31.27,793,2,0,0,1.00,1.00,1.00,2,4,4,44.5,10.414,15,2.000,0.004,4,0.120,0,53.26,53.25
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1816,0.00,52.77,139.23,793,2,0,0,1.00,1.00,1.00,4,4,4,47.2,38.130,16,2.000,0.005,4,0.888,0,61.57,61.50
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1567,0.00,77.87,17.50,793,2,0,0,1.00,1.00,1.00,4,4,4,45.4,14.942,16,2.000,0.006,4,1.000,0,54.10,54.00
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1521,0.00,70.66,42.26,793,2,0,0,1.00,1.00,1.00,2,4,4,39.9,26.699,15,2.000,0.006,4,1.000,1,63.01,-62.25
100000,26.00,16,0,9,0,4,0,1.00,0,0.346,1489,0.00,66.23,10.64,886,1,0,0,1.00,1.00,1.00,4,4,4,29.1,32.714,13,2.000,0.002,4,1.000,0,49.04,49.00
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1482,0.00,62.10,84.43,793,2,0,0,1.00,1.00,1.00,4,4,4,45.2,21.944,16,2.000,0.006,4,1.000,0,59.34,59.25
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1425,0.84,102.15,91.49,793,1,0,0,1.00,1.00,1.00,4,4,4,37.4,69.318,16,2.000,0.006,4,1.000,0,47.21,40.50
100000,48.00,25,0,13,0,11,0,1.00,0,0.271,1413,-0.00,141.61,14.66,878,1,0,0,1.00,1.00,1.00,4,5,5,38.2,66.385,24,2.000,0.001,5,0.696,1,43.85,31.50
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1355,0.00,55.24,33.87,793,2,1,0,1.00,1.00,1.00,4,4,4,48.5,15.350,16,2.000,0.004,4,0.669,0,34.60,31.75
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1309,3.17,73.00,11.05,898,2,0,0,1.00,1.00,1.00,4,4,4,47.3,24.670,16,2.000,0.006,4,0.889,0,42.23,34.75
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1117,0.00,83.62,47.01,793,1,1,0,1.00,1.00,1.00,4,4,4,32.3,67.679,16,2.000,0.011,4,1.000,0,64.56,49.25
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1028,1.61,36.10,10.48,891,2,1,0,1.00,1.00,1.00,2,4,4,42.2,16.252,16,2.000,0.002,4,0.146,0,24.51,24.50
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,1006,0.06,23.58,33.66,878,1,1,0,1.00,1.00,1.00,2,4,4,35.1,10.333,16,2.000,0.001,4,1.000,0,33.00,33.00
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1005,0.00,55.88,21.48,878,1,0,0,1.00,1.00,1.00,4,4,4,28.4,33.184,16,2.000,0.001,4,1.000,0,42.00,42.00
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1002,0.00,41.02,9.17,793,2,1,0,1.00,1.00,1.00,4,4,4,46.6,11.663,16,2.000,0.006,4,0.221,0,19.27,17.75
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,947,0.00,49.14,4.60,793,2,2,0,1.00,1.00,1.00,4,4,4,39.9,37.599,16,2.000,0.004,4,1.000,0,26.16,23.25
100000,50.00,25,2,14,0,7,0,1.20,0,0.280,897,0.00,45.64,37.50,913,1,0,4,1.00,1.00,1.40,4,5,5,28.2,24.658,23,2.000,0.000,5,1.000,0,21.86,17.00
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,894,4.11,49.24,62.12,793,0,1,0,1.00,1.00,1.00,4,4,4,27.5,42.614,16,2.000,0.005,4,1.000,0,63.38,22.50
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,893,0.00,46.48,7.76,899,1,2,0,1.00,1.00,1.00,4,4,4,35.3,23.468,16,2.000,0.005,4,1.000,0,24.80,24.75
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,865,0.00,35.53,3.36,793,2,2,0,1.00,1.00,1.00,2,4,4,46.8,9.018,15,2.000,0.005,4,0.848,1,15.70,15.25
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,851,4.40,30.67,102.23,793,1,0,0,1.00,1.00,1.00,4,4,4,37.0,44.117,16,2.000,0.006,4,1.000,0,43.07,42.75
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,848,0.00,38.54,2.67,793,2,0,0,1.00,1.00,1.00,2,4,4,42.2,7.995,16,2.000,0.007,4,0.288,0,21.50,0.00
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,830,0.00,37.78,10.81,793,2,2,0,1.00,1.00,1.00,4,4,4,41.7,20.111,16,2.000,0.005,4,1.000,0,27.25,15.00
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,822,0.00,51.16,12.71,899,2,2,0,1.00,1.00,1.00,4,4,4,47.4,26.028,16,2.000,0.005,4,0.995,0,10.49,2.25
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,813,0.00,50.85,67.13,793,1,0,0,1.00,1.00,1.00,4,4,4,29.1,49.642,16,2.000,0.007,4,1.000,0,30.75,13.25
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,799,0.00,30.40,6.22,793,2,2,0,1.00,1.00,1.00,4,4,4,46.9,10.479,15,2.000,0.007,4,0.334,0,15.91,2.25
100000,16.00,16,0,1,0,7,0,1.00,4,0.063,799,0.00,43.88,0.48,898,2,2,0,1.00,1.00,1.00,2,2,4,42.9,18.835,8,2.000,0.003,4,1.000,0,20.81,19.00
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,790,1.61,32.30,40.40,793,2,1,0,1.00,1.00,1.00,4,4,4,42.0,19.135,16,2.000,0.006,4,1.000,0,21.05,1.50
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,790,-0.00,45.36,2.46,899,1,2,0,1.00,1.00,1.00,2,4,4,38.2,13.003,16,2.000,0.004,4,1.000,0,15.77,15.25
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,767,0.32,33.02,49.89,793,1,0,0,1.00,1.00,1.00,4,4,4,28.8,39.466,16,2.000,0.003,4,1.000,0,39.33,39.25
