step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,66.69,64,18,6,0,8,4,6.42,8,0.090,1208,0.00,27.23,68.14,600,0,0,4,13.50,6.75,4.56,6,8,4,15.8,14.489,32,1.334,0.395,8,0.034,0,12.50,0.00
100000,17.00,16,0,7,3,0,0,1.00,0,0.412,1101,0.00,36.33,72.00,581,0,2,0,1.00,1.00,1.00,2,4,4,3.1,24.455,10,2.000,0.955,4,1.000,0,44.34,22.00
100000,12.00,16,0,5,0,1,0,1.00,2,0.417,980,0.00,17.32,104.40,581,1,0,0,1.00,1.00,1.00,3,3,4,35.9,10.156,6,2.000,0.995,4,0.342,0,51.61,11.75
100000,21.00,16,0,7,5,1,0,1.00,0,0.333,938,0.00,23.58,121.93,606,1,0,0,1.00,1.00,1.00,4,4,4,27.8,39.467,13,2.000,0.995,4,1.000,0,58.27,-58.25
100000,16.00,16,0,4,0,4,0,1.00,4,0.250,934,1.68,39.97,48.61,601,2,2,0,1.00,1.00,1.00,4,4,2,49.3,36.196,8,2.000,0.932,4,1.000,0,49.00,49.00
100000,22.00,16,0,8,0,3,0,1.00,0,0.364,909,0.00,15.31,66.24,581,0,0,0,1.00,1.00,1.00,1,4,4,17.1,8.593,11,2.000,0.936,4,0.050,0,12.80,-2.75
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,858,0.00,24.69,33.49,581,0,0,0,1.00,1.00,1.00,1,1,1,25.3,4.935,1,2.000,0.963,4,0.875,1,9.66,9.00
100000,12.24,36,0,3,0,5,0,1.00,10,0.245,854,1.45,26.75,31.29,608,0,1,0,1.00,1.00,1.00,2,4,3,24.9,15.155,8,1.530,0.361,6,1.000,0,24.00,24.00
100000,24.00,16,0,7,2,4,0,1.00,0,0.292,789,0.00,23.99,37.28,606,1,1,0,1.00,1.00,1.00,2,4,4,25.8,24.363,13,2.000,0.993,4,0.879,0,28.37,23.25
100000,17.00,16,0,6,1,2,0,1.00,2,0.353,761,0.00,8.93,45.07,581,1,0,0,1.00,1.00,1.00,2,4,3,28.2,19.455,9,2.000,0.962,4,1.000,0,33.49,32.75
100000,31.00,16,0,8,1,7,0,1.00,0,0.258,745,0.00,6.23,26.66,581,0,0,0,1.00,1.00,1.00,2,4,4,2.2,12.454,16,2.000,0.929,4,0.610,0,6.41,6.00
100000,12.30,36,0,2,0,6,0,1.00,12,0.163,734,1.50,50.38,2.87,608,1,1,0,1.00,1.00,1.00,1,2,4,27.1,11.360,8,1.538,0.356,6,1.000,0,11.14,8.00
100000,32.00,16,0,14,0,2,0,1.00,0,0.438,723,0.00,7.08,176.52,605,0,0,0,1.00,1.00,1.00,2,4,4,22.2,35.981,16,2.000,0.968,4,0.502,0,49.09,3.00
100000,4.26,49,0,1,0,2,0,1.00,20,0.235,714,0.01,35.95,1.14,600,2,1,0,1.00,1.00,1.00,2,1,3,42.6,4.041,3,1.419,0.326,7,1.000,0,28.75,28.75
100000,1.29,49,0,0,0,1,0,1.00,24,0.000,711,0.00,46.68,6.70,607,0,0,0,1.00,1.00,1.00,1,1,1,3.6,2.543,1,1.287,0.536,7,0.198,0,7.59,-2.25
