step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,28.00,16,0,9,0,5,0,1.00,0,0.321,2059,3.96,70.20,112.75,816,2,0,0,1.00,1.00,1.00,4,4,4,49.1,40.800,14,2.000,0.946,4,1.000,2,69.57,-51.75
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1543,3.02,64.36,52.14,759,1,0,0,1.00,1.00,1.00,2,4,4,26.8,57.835,15,2.000,0.942,4,1.000,1,61.35,-52.50
100000,24.07,36,0,6,2,14,0,1.00,2,0.249,1273,0.00,100.75,3.19,885,0,0,0,1.00,1.00,1.00,4,5,6,10.6,20.204,22,1.146,0.576,6,1.000,0,48.89,27.75
100000,28.00,16,0,11,0,3,0,1.00,0,0.393,1188,0.00,32.83,63.16,759,2,0,0,1.00,1.00,1.00,2,4,4,40.6,31.788,14,2.000,0.933,4,0.666,2,46.80,38.75
100000,8.00,16,0,2,0,2,0,1.00,6,0.250,1139,0.00,34.95,72.02,915,0,0,0,1.00,1.00,1.00,1,1,4,22.2,9.133,4,2.000,0.837,4,1.000,0,70.90,42.50
100000,12.16,36,4,1,0,1,0,3.83,12,0.082,1053,0.00,61.19,13.99,926,1,1,1,3.67,4.33,3.67,1,3,3,30.1,3.160,6,1.216,0.512,6,0.450,0,9.50,9.50
100000,14.00,16,0,4,0,3,0,1.00,2,0.286,1051,0.00,26.64,34.68,901,1,0,0,1.00,1.00,1.00,2,4,3,30.1,7.581,7,2.000,0.929,4,0.360,0,43.25,-43.25
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,1043,2.01,23.24,48.47,759,0,0,0,1.00,1.00,1.00,2,4,4,16.5,12.570,12,2.000,0.937,4,1.000,0,60.00,60.00
100000,16.00,16,0,5,0,3,0,1.00,2,0.313,1037,0.00,35.50,26.61,759,1,0,0,1.00,1.00,1.00,3,3,4,34.4,23.650,8,2.000,0.740,4,1.000,0,61.93,-61.50
100000,5.20,34,0,2,0,2,0,1.00,16,0.384,1035,0.00,20.04,3.39,892,1,1,0,1.00,1.00,1.00,2,2,2,30.9,1.904,4,1.300,0.651,6,1.000,0,49.01,25.25
