step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,2.00,25,0,0,0,1,0,1.00,16,0.000,3493,0.00,157.35,49.95,797,0,0,0,1.00,1.00,1.00,1,1,1,21.4,5.300,1,2.000,0.001,5,1.000,16,1.03,0.25
100000,4.00,25,0,1,0,1,0,1.00,14,0.250,3428,0.00,266.04,72.85,797,0,0,0,1.00,1.00,1.00,1,1,2,20.6,17.703,2,2.000,0.001,5,1.000,19,7.56,-4.25
100000,2.00,25,0,0,0,1,0,1.00,16,0.000,3272,0.00,164.21,91.53,797,1,0,0,1.00,1.00,1.00,1,1,1,34.2,1.650,1,2.000,0.001,5,1.000,17,43.99,-42.25
100000,8.00,25,0,2,0,2,0,1.00,10,0.250,3265,0.59,146.31,53.03,797,2,0,0,1.00,1.00,1.00,1,2,3,39.4,8.956,4,2.000,0.001,5,1.000,15,61.39,55.50
100000,22.00,25,0,7,0,4,0,1.00,2,0.318,3076,0.00,218.05,45.82,797,2,0,0,1.00,1.00,1.00,3,5,4,49.1,54.290,11,2.000,0.001,5,1.000,13,47.52,7.00
100000,16.00,25,0,0,0,8,0,1.00,6,0.000,2888,0.00,185.47,27.93,797,0,0,0,1.00,1.00,1.00,2,2,5,21.4,10.814,8,2.000,0.001,5,1.000,4,40.55,-39.75
100000,38.00,25,0,11,0,8,0,1.00,0,0.289,2688,0.00,133.99,36.17,797,1,0,0,1.00,1.00,1.00,3,5,5,34.5,44.347,19,2.000,0.002,5,1.000,6,26.05,-20.75
100000,28.00,25,0,6,0,8,0,1.00,0,0.214,2660,0.00,134.34,19.85,797,1,1,0,1.00,1.00,1.00,4,5,5,34.8,37.354,14,2.000,0.002,5,1.000,10,11.04,-2.50
100000,44.00,25,0,10,0,12,0,1.00,0,0.227,2478,6.05,138.01,23.49,797,0,1,0,1.00,1.00,1.00,4,5,5,23.1,23.941,22,2.000,0.001,5,1.000,3,28.30,-24.00
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,2444,0.00,128.27,97.38,797,1,0,0,1.00,1.00,1.00,4,5,5,35.2,53.432,20,2.000,0.001,5,1.000,5,54.85,22.00
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,2415,-0.00,141.64,33.33,797,2,2,0,1.00,1.00,1.00,4,5,5,40.1,6.875,20,2.000,0.001,5,1.000,4,54.21,52.75
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,2376,0.14,101.05,49.82,797,1,0,0,1.00,1.00,1.00,4,5,5,32.2,20.233,20,2.000,0.001,5,1.000,5,69.86,42.75
100000,44.00,25,0,11,0,11,0,1.00,0,0.250,2353,0.00,190.75,20.96,797,1,0,0,1.00,1.00,1.00,4,5,5,34.9,66.143,22,2.000,0.001,5,1.000,3,75.29,48.00
100000,42.00,25,0,10,0,11,0,1.00,0,0.238,2350,0.00,135.77,53.32,797,2,0,0,1.00,1.00,1.00,4,5,5,43.8,10.914,21,2.000,0.001,5,1.000,3,57.04,54.75
