step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west
10000,1462,1.438,1.559,20.87,63078,48022,0,14593,450,923561,622962.8,493282.0,0.157,0.662,0.054,0.126,94,26.51,13.62,0.17,1.44,5.95,4.84,0.91,2.21,6.76,5.63,0.02,0.18,0.220,0.142,855,0.083,0.034,0.925,0.014,0.027,126840,102476,1,0.414,0.586,0.350,5917307,0.193,2.848,0.182,47.64,50557,190,0.534,0.208,0.300,6913647,1.05,1.91,0.389,0.551,0.010,9.3,28.0,35.9,161.6,20164,0.077,0.00,0.0063,0.062,354,0.603,0.000,0.514,0.515,2.97,3.76,3.91,0.09,0.042,1.04,1.04,1.05,0.632,0.00342,32.32,28.0433,569.35,103616.5,140078.7,0.154,21.1530,121.463,0.000,1.000,0.103,31.3,49.682,156.403,3974,23175.9,18.45,56.499,5.87,12.838,924.4,4.063,0.135,2.00,5.4824,8015.2,0.6184,0.3682,13.79,1.977,0.060,1.5122,0.0000,0.477,0.174,0.406,0.0000,4.32,0.74,5,15,19,64,45.5026,0.0012,0.3673,0.0000,0.0000,154.8158,100.00,86.4885,150.0595,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3049,0.0000,0.0000,0.0031,0.0013,0.000003,0,0.0911,0.0068,0.0134,52,189,481,0.0000,0.0000,0.0457,0.172,2.7269,0.0054,1.1447,0.0171,0.2877,0.0946,0.4275,0.00651
20000,1575,1.232,1.411,22.78,32360,24497,0,7700,44,301355,217641.6,168085.5,0.175,0.651,0.096,0.078,90,23.56,10.01,0.01,0.12,5.62,4.27,0.28,1.00,6.02,4.42,0.00,0.00,0.232,0.138,717,0.071,0.061,0.902,0.013,0.023,42514,31800,2,0.837,0.057,0.185,1417937,0.149,2.687,0.165,20.65,24383,155,0.558,0.318,0.367,2424363,1.00,1.86,0.400,0.570,0.000,8.0,26.0,32.0,127.1,18799,0.072,0.00,0.0023,0.079,469,0.446,0.000,0.327,0.286,2.53,3.51,3.63,0.00,0.001,1.00,1.00,1.00,0.469,0.00143,3.73,5.6689,537.93,105696.2,140078.7,0.000,6.4559,46.281,0.000,1.000,0.205,36.9,19.335,54.431,3765,21105.7,17.68,18.045,4.20,4.935,667.1,0.921,0.134,2.00,5.4236,8542.2,0.6632,0.4501,11.94,1.997,0.013,0.4878,0.0000,0.800,0.152,0.938,0.0000,4.03,0.22,4,14,16,64,17.4741,0.0004,0.4159,0.0000,0.0000,50.6001,100.00,95.6537,81.0364,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3125,0.0000,0.0000,0.0033,0.0015,0.000001,6,0.0587,0.0159,0.0109,45,163,475,0.0000,0.0000,0.0026,0.006,0.5162,0.0056,0.2593,0.0127,0.4182,0.0527,0.2302,0.00424
30000,1082,1.188,1.826,29.78,83465,57993,0,25810,154,890160,508101.4,487350.5,0.144,0.764,0.058,0.034,65,29.51,16.44,0.02,0.26,6.58,4.72,0.98,1.67,7.90,9.33,0.00,0.00,0.235,0.141,521,0.141,0.042,0.938,0.007,0.013,125517,89719,1,0.790,0.210,0.532,4801859,0.106,3.019,0.216,46.77,76805,148,0.547,0.314,0.286,8547006,1.01,1.22,0.555,0.376,0.000,14.0,31.0,32.0,160.3,16738,0.064,0.00,0.0059,0.116,294,0.563,0.000,0.403,0.352,2.73,3.98,3.98,0.00,0.001,1.01,1.00,1.00,0.588,0.00444,21.22,18.5594,288.87,98934.8,140078.7,0.162,20.5036,108.097,0.000,1.000,0.241,33.8,43.216,166.220,4672,27782.7,15.47,43.619,4.34,17.631,999.1,4.815,0.136,1.99,8.5698,9272.5,0.7428,0.4268,15.47,1.988,0.048,1.5122,0.0000,0.979,0.064,1.000,0.0000,4.29,0.89,7,16,16,100,39.2880,0.0004,0.5222,0.0000,0.0000,161.9836,100.00,83.8799,140.8622,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3021,0.0000,0.0000,0.0032,0.0014,0.000004,1,0.1011,0.0379,0.0088,37,150,439,0.0000,0.0000,0.0164,0.029,1.8968,0.0063,0.8415,0.0268,0.3292,0.1693,0.4377,0.02081
40000,1095,1.360,1.419,30.78,21492,18367,0,3068,25,187000,220485.8,99727.2,0.104,0.758,0.080,0.058,75,34.82,18.75,0.17,1.09,7.95,5.36,1.41,2.64,8.42,7.38,0.01,0.13,0.233,0.129,710,0.057,0.073,0.895,0.005,0.026,25340,17375,4,0.605,0.326,0.498,3138126,0.122,2.704,0.165,20.40,18060,185,0.533,0.331,0.260,2483664,1.05,1.81,0.449,0.487,0.008,14.0,31.0,50.0,164.0,19652,0.075,0.00,0.0024,0.100,348,0.470,0.000,0.215,0.234,3.21,4.31,4.34,0.08,0.028,1.06,1.03,1.06,0.483,0.00212,3.33,3.9580,301.99,104648.8,140078.7,0.000,6.1585,44.568,0.000,1.000,0.255,34.1,20.158,55.724,3796,21416.8,11.22,17.920,4.80,5.347,679.8,1.033,0.136,2.00,9.0354,9893.8,0.6516,0.4191,17.95,2.000,0.001,0.4878,0.0000,0.990,0.023,1.000,0.0000,4.78,0.91,7,16,25,81,18.4490,0.0048,0.4813,0.0000,0.0000,50.8356,100.00,92.1887,85.6604,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2987,0.0000,0.0000,0.0028,0.0013,0.000002,19,0.1663,0.0320,0.0265,59,198,621,0.0000,0.0000,0.0166,0.023,0.4223,0.0195,0.1558,0.0292,0.4162,0.0631,0.2502,0.00686
50000,1446,1.043,1.359,31.34,54002,44332,0,9258,48,570959,532477.7,319780.2,0.055,0.817,0.038,0.090,78,29.05,14.28,0.04,0.41,6.05,4.11,1.53,2.59,7.63,7.00,0.00,0.07,0.213,0.125,798,0.149,0.064,0.915,0.006,0.016,84171,56659,2,0.508,0.488,0.696,9965004,0.104,2.654,0.157,48.52,56585,180,0.560,0.258,0.223,8542753,1.01,1.26,0.530,0.436,0.001,14.0,31.0,42.0,227.9,22051,0.084,0.00,0.0048,0.102,553,0.600,0.000,0.314,0.382,3.05,3.96,4.00,0.05,0.017,1.01,1.01,1.01,0.616,0.00302,23.76,14.9951,339.21,102728.4,140078.7,0.059,16.1031,108.348,0.000,1.000,0.269,45.7,47.520,165.250,3656,20456.8,17.06,44.954,4.93,15.295,618.6,4.714,0.136,2.00,8.7797,12695.4,0.7365,0.3952,15.25,2.000,0.001,1.5122,0.0000,0.979,0.044,0.999,0.0000,4.29,0.68,8,16,23,114,44.3869,0.0007,0.5194,0.0000,0.0000,160.1353,100.00,86.6092,146.9789,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3267,0.0000,0.0000,0.0028,0.0012,0.000003,13,0.3169,0.0526,0.0241,60,201,585,0.0000,0.0000,0.0222,0.036,1.6017,0.0370,0.6054,0.0173,0.3108,0.0979,0.4345,0.00971
60000,1472,1.241,1.406,32.72,21044,17686,0,3296,4,155272,221788.9,85787.1,0.040,0.828,0.050,0.082,90,26.94,9.86,0.02,0.29,5.90,3.41,1.30,1.83,6.88,4.72,0.00,0.09,0.219,0.114,667,0.231,0.128,0.840,0.007,0.024,22506,14726,1,0.520,0.480,0.776,5151592,0.097,2.671,0.165,21.24,16762,180,0.552,0.333,0.160,2840529,1.01,1.14,0.573,0.404,0.003,13.0,31.0,31.0,98.0,20755,0.079,0.00,0.0022,0.103,493,0.458,0.000,0.151,0.179,2.93,3.80,3.85,0.01,0.003,1.01,1.01,1.01,0.468,0.00162,3.32,3.1958,240.58,99812.8,140078.7,0.001,5.0159,44.983,0.000,1.000,0.126,39.5,20.506,56.892,3847,21369.3,10.64,17.717,4.15,4.569,683.4,1.040,0.138,1.99,9.8964,14567.5,0.8546,0.4428,14.10,2.000,0.000,0.4878,0.0000,0.979,0.036,1.000,0.0000,4.11,0.39,7,16,16,49,18.7707,0.0037,0.4423,0.0000,0.0000,50.7787,100.00,94.5121,87.7749,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2933,0.0000,0.0000,0.0025,0.0011,0.000001,32,0.2423,0.0496,0.0339,59,197,717,0.0000,0.0000,0.0134,0.020,0.2136,0.0340,0.1329,0.0197,0.4247,0.0570,0.2542,0.00658
70000,1429,1.140,1.131,32.91,64812,50986,0,13812,15,527056,556174.8,295169.2,0.022,0.884,0.040,0.054,89,27.45,10.33,0.02,0.27,6.10,3.43,1.47,1.81,6.86,4.86,0.00,0.05,0.222,0.108,630,0.181,0.075,0.908,0.004,0.013,83854,54627,1,0.745,0.255,0.805,14041017,0.087,2.449,0.130,50.94,58551,147,0.560,0.326,0.216,11331901,1.01,1.05,0.592,0.356,0.003,14.0,30.0,31.0,99.0,20641,0.079,0.00,0.0057,0.140,386,0.620,0.000,0.228,0.272,2.97,3.86,3.87,0.01,0.007,1.01,1.01,1.01,0.632,0.00310,25.35,10.7216,233.57,105195.9,140078.7,0.087,11.8093,116.837,0.000,1.000,0.192,42.0,52.396,158.606,3074,16965.9,12.54,45.973,4.02,12.725,516.7,4.632,0.133,2.01,9.7256,13897.9,0.8066,0.4282,14.44,2.000,0.000,1.5122,0.0000,0.975,0.040,0.999,0.0000,4.13,0.48,7,16,16,58,48.9833,0.0019,0.4899,0.0000,0.0000,158.6625,100.00,87.4026,150.6685,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2829,0.0000,0.0000,0.0027,0.0012,0.000003,42,0.4271,0.0518,0.0239,51,186,610,0.0000,0.0000,0.0180,0.027,0.7154,0.0504,0.4380,0.0126,0.2997,0.1135,0.4631,0.01418
80000,1208,1.230,1.503,33.23,20260,17243,0,3186,9,138117,218850.2,81094.2,0.059,0.826,0.060,0.054,103,28.53,14.26,0.03,0.71,6.16,3.62,1.47,2.37,7.31,6.39,0.00,0.00,0.217,0.108,575,0.231,0.101,0.884,0.006,0.009,20868,13275,3,0.672,0.314,0.800,5622236,0.114,2.739,0.180,21.52,16019,197,0.587,0.325,0.169,2878826,1.01,1.08,0.566,0.354,0.000,14.0,31.0,32.0,252.0,18087,0.069,0.00,0.0025,0.143,281,0.461,0.000,0.149,0.157,2.99,3.91,3.95,0.01,0.003,1.01,1.00,1.01,0.470,0.00196,3.50,3.0760,251.64,100278.8,140078.7,0.000,4.5613,44.789,0.000,1.000,0.193,34.5,20.520,55.650,4110,22944.4,16.83,17.329,4.08,4.057,680.5,0.969,0.135,2.00,10.7371,12970.5,0.8951,0.4730,14.97,2.000,0.000,0.4878,0.0000,0.973,0.032,1.000,0.0000,4.20,0.60,8,16,16,126,18.8244,0.0046,0.4702,0.0000,0.0000,50.8446,100.00,96.5207,87.0306,0.0,0.0000,0.0000,1.0000,0.0000,0,0.2958,0.0000,0.0000,0.0024,0.0011,0.000002,43,0.2890,0.0455,0.0369,59,199,772,0.0000,0.0000,0.0206,0.033,0.1984,0.0384,0.1412,0.0207,0.4219,0.0696,0.2583,0.00859
90000,1322,1.200,1.213,34.28,61524,49803,0,11520,59,464322,547850.0,267720.6,0.044,0.862,0.045,0.049,95,27.75,9.37,0.01,0.17,5.91,3.58,1.22,1.64,7.33,4.72,0.00,0.00,0.212,0.111,592,0.217,0.072,0.911,0.006,0.011,79787,52523,3,0.434,0.337,0.739,13084494,0.100,2.510,0.139,50.06,56197,152,0.577,0.315,0.169,10802239,1.00,0.93,0.596,0.353,0.000,14.0,31.0,32.0,94.0,19132,0.073,0.00,0.0057,0.087,352,0.627,0.000,0.241,0.276,3.19,3.88,3.90,0.00,0.002,1.00,1.00,1.00,0.638,0.00301,25.32,10.5067,210.86,105600.9,140078.7,0.013,12.1754,113.918,0.000,1.000,0.174,36.7,51.539,164.033,3318,18101.1,19.57,45.418,4.13,13.124,619.9,4.530,0.136,2.00,9.2602,12241.9,0.7899,0.4288,14.47,2.000,0.000,1.5122,0.0000,0.968,0.077,0.995,0.0000,4.13,0.40,8,16,16,47,48.5223,0.0005,0.4803,0.0000,0.0000,159.2482,100.00,87.0533,148.1765,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3049,0.0000,0.0000,0.0027,0.0012,0.000003,28,0.3632,0.0416,0.0234,56,196,618,0.0000,0.0000,0.0340,0.061,0.8426,0.0399,0.4590,0.0265,0.2976,0.1085,0.4630,0.01075
100000,1359,1.061,1.281,35.01,21743,18043,0,3632,0,144196,224578.7,82815.1,0.125,0.770,0.042,0.063,114,26.38,8.18,0.00,0.03,5.83,3.50,1.31,1.70,6.70,3.61,0.00,0.00,0.214,0.112,550,0.281,0.117,0.867,0.004,0.013,22573,14617,3,0.732,0.038,0.807,5792075,0.137,2.565,0.147,21.62,17276,163,0.574,0.369,0.164,2968745,1.00,1.02,0.620,0.352,0.000,13.0,30.0,31.0,94.0,18810,0.072,0.00,0.0025,0.114,303,0.492,0.000,0.196,0.159,3.14,3.77,3.79,0.00,0.000,1.00,1.00,1.00,0.502,0.00151,4.26,2.9681,250.33,103223.6,140078.7,0.001,4.3269,45.830,0.000,1.000,0.221,38.3,20.958,54.873,3527,19232.0,12.83,17.857,4.01,3.903,673.8,0.927,0.133,2.01,10.0609,13672.8,0.8588,0.4635,13.84,2.000,0.000,0.4878,0.0000,0.976,0.050,0.996,0.0000,4.03,0.23,7,16,16,49,19.4203,0.0083,0.4849,0.0000,0.0000,50.1346,100.00,97.0162,87.5443,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3125,0.0000,0.0000,0.0025,0.0011,0.000001,31,0.2498,0.0486,0.0308,58,196,752,0.0000,0.0000,0.0099,0.014,0.1616,0.0298,0.1119,0.0118,0.4008,0.0542,0.2592,0.00641
