step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,11.09,36,0,4,0,3,0,1.00,10,0.361,2774,0.00,280.87,14.71,562,2,1,0,1.00,1.00,1.00,2,4,3,48.9,21.151,7,1.584,0.756,6,1.000,7,66.08,59.25
100000,45.90,23,0,17,0,6,0,1.00,0,0.370,1705,0.00,49.49,51.02,569,2,2,0,1.00,1.00,1.00,4,5,5,46.5,4.410,23,1.996,0.695,5,1.000,0,31.86,31.50
100000,14.41,25,0,2,0,6,0,1.00,6,0.139,1688,0.00,61.24,1.17,568,0,0,0,1.00,1.00,1.00,2,3,4,16.1,22.828,8,1.801,0.775,5,1.000,0,3.05,2.50
100000,26.11,25,0,11,0,3,0,1.00,0,0.421,1552,0.00,51.74,48.22,568,0,0,0,1.00,1.00,1.00,3,5,5,19.7,11.332,14,1.865,0.721,5,1.000,0,17.60,3.50
100000,35.86,22,0,12,0,6,0,1.00,0,0.335,1470,0.00,33.95,116.77,569,0,1,0,1.00,1.00,1.00,4,5,5,17.9,30.106,18,1.992,0.743,5,1.000,0,36.28,35.50
100000,25.54,49,0,11,0,4,0,1.00,6,0.431,1462,0.00,66.71,40.02,562,1,0,0,1.00,1.00,1.00,4,6,5,34.2,10.481,15,1.703,0.793,7,1.000,0,50.52,-11.25
100000,17.91,25,0,8,0,1,0,1.00,8,0.447,1380,2.01,35.70,193.91,544,0,0,0,1.00,1.00,1.00,4,3,3,21.8,10.465,9,1.990,0.928,5,1.000,1,34.01,34.00
100000,33.96,49,0,9,0,24,0,1.00,2,0.265,1361,1.51,137.46,12.03,565,1,2,0,1.00,1.00,1.00,6,7,6,26.2,45.685,33,1.029,0.524,7,1.000,0,43.10,39.50
100000,41.66,25,0,16,0,7,0,1.00,0,0.384,1294,5.97,75.65,93.75,568,1,1,0,1.00,1.00,1.00,4,5,5,29.5,57.140,23,1.811,0.828,5,1.000,0,43.32,43.00
100000,47.71,25,0,12,0,12,0,1.00,0,0.252,1291,-0.00,42.47,77.66,544,1,0,0,1.00,1.00,1.00,4,5,5,36.2,20.519,24,1.988,0.924,5,1.000,1,18.90,16.75
100000,34.60,24,0,7,0,12,0,1.00,0,0.202,1291,0.00,58.88,2.98,568,2,1,0,1.00,1.00,1.00,3,5,5,39.4,24.480,19,1.821,0.740,5,1.000,0,15.32,-6.75
100000,7.20,49,0,2,0,5,0,1.00,14,0.278,1281,0.02,114.85,15.56,565,0,0,0,1.00,1.00,1.00,3,5,2,17.0,4.460,7,1.029,0.524,7,1.000,0,13.68,-11.75
100000,19.65,25,0,2,0,8,0,1.00,6,0.102,1241,2.31,52.61,42.21,544,0,0,0,1.00,1.00,1.00,4,5,2,15.3,11.599,10,1.965,0.856,5,1.000,0,6.91,4.50
100000,23.91,20,0,8,0,4,0,1.00,4,0.335,1230,0.00,8.10,109.21,569,0,2,0,1.00,1.00,1.00,2,3,5,13.0,7.303,12,1.992,0.743,5,1.000,0,29.78,29.75
100000,21.33,25,0,5,0,7,0,1.00,4,0.234,1198,0.00,54.42,0.15,568,0,0,0,1.00,1.00,1.00,4,3,5,25.7,35.430,12,1.777,0.627,5,1.000,0,3.09,-0.75
100000,41.74,25,0,7,0,14,0,1.00,0,0.168,1193,2.18,54.04,55.70,544,1,1,0,1.00,1.00,1.00,3,5,5,29.9,26.317,21,1.988,0.908,5,1.000,0,13.89,13.75
100000,42.77,49,0,14,0,12,0,1.00,2,0.327,1184,0.00,51.38,158.59,562,2,0,0,1.00,1.00,1.00,5,6,7,53.2,24.274,26,1.645,0.797,7,1.000,0,46.69,11.50
100000,51.91,45,7,15,0,20,0,1.64,0,0.289,1183,0.00,74.12,25.63,565,2,2,3,1.00,1.00,2.29,6,7,7,47.4,23.829,42,1.059,0.538,7,1.000,0,22.75,22.75
100000,61.83,49,8,13,0,28,0,1.39,0,0.210,1169,0.00,119.33,28.93,565,0,0,0,2.57,1.00,1.00,6,7,7,10.5,53.936,49,1.085,0.515,7,1.000,0,22.01,20.50
100000,65.80,36,0,22,6,8,0,1.00,0,0.334,1161,0.00,24.55,166.99,569,0,1,0,1.00,1.00,1.00,9,6,6,20.6,5.887,36,1.994,0.753,6,1.000,0,12.84,-12.75
100000,31.91,25,0,5,0,14,0,1.00,0,0.157,1115,0.00,41.25,0.84,568,1,1,0,1.00,1.00,1.00,3,5,5,35.7,6.778,19,1.679,0.707,5,1.000,0,6.05,-5.25
100000,7.20,49,0,0,0,7,0,1.00,16,0.000,1108,0.00,84.52,15.84,565,0,0,0,1.00,1.00,1.00,2,3,3,6.0,4.038,7,1.029,0.524,7,1.000,0,5.67,4.25
100000,38.55,64,0,11,3,25,0,1.00,2,0.285,1106,4.67,120.81,61.70,565,2,0,0,1.00,1.00,1.00,5,8,7,44.0,24.226,39,1.028,0.431,8,1.000,1,14.42,6.25
100000,10.29,49,0,2,0,8,0,1.00,12,0.194,1088,1.35,64.41,34.09,565,2,2,0,1.00,1.00,1.00,3,4,4,48.2,15.202,10,1.029,0.524,7,1.000,1,4.07,2.75
100000,41.51,64,15,0,0,8,0,5.93,4,0.000,1084,0.00,96.31,33.72,565,0,0,0,7.83,5.17,5.50,4,8,6,2.2,24.105,23,1.092,0.530,8,1.000,0,4.37,3.75
100000,39.86,24,0,11,0,9,0,1.00,0,0.276,1071,0.00,47.50,15.05,487,0,0,0,1.00,1.00,1.00,4,5,5,16.9,14.499,20,1.993,0.891,5,1.000,1,11.00,-11.00
