seed,kind,share,side,cells,born_size,open_block,travel,light,plant,kills,water
9,mixed / no tooth / stays / bottom,0.14573680063041766,4,2222222244424444,16.0,1.1571882518799177,2.5,0.028114976235520506,0.5393795452535176,0.24644082205743706,0.9707472693846653
9,mixed / no tooth / roams / shore,0.12335697399527187,4,2222222244444444,16.0,1.0064818244130753,14.25,0.008036794812267298,0.4728550623000052,0.4063580714092118,0.6262297176440527
9,mixed / no tooth / stays / shore,0.11048069345941687,4,4444444444444444,16.0,0.9807110743324486,2.0,0.02535521258868093,0.5375343075176949,0.252377786721,0.5765335235378032
9,plant / no tooth / stays / bottom,0.10655634357762017,4,2222244244444444,16.0,1.1692290817205448,0.75,0.01325006457826735,0.727356819534929,0.08874818243117061,0.9731548587487058
9,mixed / tooth / roams / land,0.08048069345941686,5,1111144244422242222222222,25.0,0.5937743210283607,22.5,0.015289161472947111,0.4762032240586,0.44659441791655785,0.06501517673553314
9,plant / no tooth / stays / shore,0.06320724980299448,4,4444444444444444,25.0,1.0044536739603684,0.0,0.08115789020351517,0.6656064494938908,0.0675357732486354,0.5949382869966339
9,plant / no tooth / roams / surface,0.051268715524034676,7,4444440444444444400004400000420000022000020222222,33.0,1.2135622979894574,20.25,0.010145638196418937,0.8322336504571354,0.15584441715248934,0.9738702735936059
9,plant / no tooth / stays / land,0.04771473601260835,7,4444444444444444444444444444444444444444444444444,45.0,0.5126621319991368,0.0,0.05686832631221891,0.6948653994138889,0.05192352081695328,0.03220478943022296
9,mixed / tooth / stays / land,0.047691095350669815,6,111111114411244442244442224422222222,36.0,0.4978286333703311,4.5,0.057444082950892934,0.4984109566379722,0.3392485463567935,0.04560475875743556
9,mixed / no tooth / roams / bottom,0.031229314420803782,4,4444422422222222,16.0,1.0930105500370473,14.0,0.003742121085399122,0.5090335602133523,0.3785271587754664,0.9601312137269745
10,mixed / no tooth / stays / shore,0.12308570660934981,7,4444444444444444444444444444444444444444444444444,28.0,1.0093467160997471,0.0,0.127581181380634,0.4984548754521127,0.14673141656809774,0.6232833105957253
10,mixed / tooth / roams / shore,0.12148486476804585,8,1100000022000000220000002400000044000000440000004400000055000000,22.0,0.8929220265604784,26.0,0.04668211553638575,0.48575077475959494,0.38838808680735115,0.4119056395134537
10,mixed / no tooth / stays / bottom,0.11093945907218342,7,2244422222444222004444400044440044444444444444444,23.0,1.2501381635222941,0.0,0.14930085208642904,0.42470498854014227,0.17470943077893517,0.9697275479313825
10,light / no tooth / stays / bottom,0.08992701056779509,7,0000000000000000000000000000000005500005554445555,14.0,1.6184630207942319,0.0,0.7776820754766408,0.10570154413680945,0.03106102533163673,0.9849371343209262
10,light / no tooth / stays / surface,0.06475013433637829,6,000000000000000000000005500055555555,14.0,1.6178158212465152,0.0,0.8880268356145175,0.07644532731032981,0.034904080596229584,0.9827109266943291
10,mixed / tooth / roams / land,0.06229849543256314,6,111111444441444444222244222222222222,29.0,0.544017500797626,18.0,0.006519622148755879,0.49219257709752073,0.43333076764334266,0.0646900269541779
10,plant / no tooth / stays / shore,0.05244716102453878,8,4444444444444444444444444444444444444444444444444444444444444444,47.0,0.7415767428940917,0.0,0.12399219948355746,0.6307936725408692,0.06515407499318535,0.38377801494130204
10,mixed / tooth / stays / land,0.05223446175891098,7,1111111111141111444411222444122224412222441122244,36.0,0.42673156250912486,3.75,0.06574061008895606,0.5417624989619143,0.3053326296332383,0.03964852121731676
10,light / no tooth / stays / shore,0.041845781837721654,6,225555455555455555405555440055444055,23.0,1.2013198985344877,0.0,0.7818415352409269,0.12706772649848969,0.0474701339929889,0.763509898341359
10,plant / no tooth / stays / land,0.041431578004656994,8,4444444444444444444444444444444444444444444444444444444444444444,57.0,0.43639917236544984,0.0,0.0335404222997634,0.7154678679778431,0.0422863090186535,0.049716292893812485
10,mixed / tooth / stays / shore,0.03932697474476088,8,4444400044440001444000114440011144422211444422214444222244444222,33.0,0.6402208968879196,4.25,0.06162143500121452,0.5170874902692163,0.2912774739600173,0.29120409906063194
10,plant / no tooth / roams / surface,0.03925980655561526,6,005451054424044422004420000400000000,21.0,1.355207641071443,21.5,0.10452558578265965,0.7135909212131754,0.17967384447800172,0.9712004562303963
11,light / no tooth / stays / surface,0.14097252774111552,7,5500005500000550000052000005220005522255544444444,27.0,1.5933856972932001,0.75,0.6805792365456652,0.24773550061453553,0.07151723434413199,0.9971392657448745
11,mixed / no tooth / roams / shore,0.13982377670235127,4,4444222222224444,16.0,1.066512770965012,14.5,0.0038571311404873732,0.4448547247403309,0.4234833576315567,0.7327273521828431
11,mixed / no tooth / stays / shore,0.10085789705235372,4,4444444444444444,16.0,1.051865125560756,1.25,0.023812563809819602,0.5502938602104004,0.22125707692952157,0.6206228038289107
11,mixed / no tooth / stays / bottom,0.08792222711052451,4,4444444444444444,16.0,1.1626957091315717,1.25,0.05526793207978746,0.5234783322338558,0.18798792103865014,0.9588574605601501
11,mixed / tooth / roams / land,0.08390159847484968,7,0111111022222102222220444422044444200444400000000,32.0,0.5617967846388667,15.25,0.004308033996225674,0.47663310092538513,0.4574490756559007,0.04959580511251912
11,plant / no tooth / stays / land,0.05111331084714279,8,4444444444444444444444444444444444444444444444444444444444444444,49.0,0.49383622865899185,0.0,0.025987241188597753,0.7385506135199601,0.04668879241850823,0.035744172145845785
11,mixed / no tooth / roams / bottom,0.04838197194114484,4,2222222244444444,16.0,1.098813630312668,14.25,0.006959265137794417,0.49203389203896025,0.36016098269994146,0.9494821924728467
11,plant / no tooth / stays / bottom,0.042833748839028206,4,4444444444444444,16.0,1.202643892104301,0.0,0.10664486242577993,0.6593821616124614,0.06168482124689377,0.9703281027104137
11,mixed / tooth / stays / land,0.0420149582050154,7,0111111022211102222110222211022244144444444444444,44.0,0.455284462013557,4.25,0.011795101166156372,0.5838777518172913,0.31634912625934014,0.04159394997091332
11,flesh / no tooth / roams / shore,0.03540352935425527,4,2222222222224444,16.0,1.0730334171230733,16.75,0.002704430043236328,0.27461677946017554,0.6341637595743501,0.6587849499482223
11,plant / no tooth / stays / shore,0.03119958938260742,4,4444444444444444,16.0,1.026082342558542,0.0,0.03016666078850567,0.7196579635918602,0.09114018443061789,0.6615746180963572
11,plant / no tooth / roams / surface,0.030729090286943345,7,2222222244444204444400444440000400000000000000000,26.0,1.4205149081546684,18.75,0.09513857741835957,0.7069935752783759,0.1964836342391889,0.9767349373632929
12,mixed / no tooth / roams / shore,0.15966550549847291,4,4444444422222222,16.0,1.0250833541553244,15.75,0.01290434414522265,0.47231027596991715,0.41598617365633495,0.6959603984599401
12,mixed / no tooth / stays / bottom,0.13226583921235718,4,4444444444444444,16.0,1.2369370674972002,0.75,0.14318247881463478,0.4461190055224867,0.21437750695857136,0.9722611582441903
12,plant / no tooth / stays / shore,0.11823424372822809,4,4444444444444444,16.0,1.0016296088528442,0.0,0.06812746400214413,0.6913421288986757,0.05263837146052775,0.6699678138153008
12,mixed / no tooth / stays / shore,0.09362528419347599,4,4444444422222222,21.0,1.0090626142645145,1.75,0.08968075312895062,0.5144927597517382,0.2243728098735057,0.654715997915581
12,plant / no tooth / stays / bottom,0.06251768586009387,4,4444444444444444,16.0,1.1714999790674765,0.0,0.05086842722590066,0.7136629219928757,0.06844784676291407,0.9761198688933979
12,mixed / tooth / roams / land,0.05982455626786882,7,1111111111111122222222222222222222244444444444444,49.0,0.4205995449261827,21.75,0.006385698664245718,0.47500108294068566,0.4551753856864497,0.06507910618169956
12,plant / no tooth / roams / surface,0.04695412897748895,7,0004444000004400002040002000000000000000000000000,19.0,1.682698858713073,22.25,0.06316693948333732,0.74471225195862,0.18895154712900658,0.9628013300083126
12,mixed / no tooth / roams / bottom,0.04118731887239835,4,4444444422222222,16.0,1.1446408215908683,13.75,0.02677403231488538,0.48637618609244043,0.38553586895853365,0.9644633972992182
