seed,kind,share,side,cells,born_size,open_block,travel,light,plant,kills,water
12,mixed / tooth / roams / shore,0.036659738688367825,6,111111444444444444222222222222222222,36.0,0.523447166707261,20.5,0.008418230644741247,0.46693865894198405,0.44738577357796394,0.16848549374500932
12,plant / no tooth / stays / land,0.030561166242206023,8,4444444444444444444444444444444444444444444444444444444444444444,49.0,0.5010592424960272,0.0,0.032395365365702006,0.743957125719617,0.05110326726448205,0.02905491698595147
13,mixed / tooth / roams / shore,0.188162922328096,7,0000011000002200000220000042000044400004440000444,25.0,0.8538497165788858,20.75,0.01447982440902821,0.49011252169708003,0.405756846209171,0.4760701044826424
13,mixed / tooth / roams / land,0.11447053414297718,7,1111111144444144444444444444222222222222222222222,36.0,0.49707049439931444,18.0,0.0033174547804028977,0.4868462011563374,0.42922510383831763,0.07534626038781163
13,plant / no tooth / stays / shore,0.08899212024162478,7,4444444444444444444444444444444444444444444444444,49.0,0.6801904819161362,0.0,0.0681994750958895,0.6789597353011724,0.05204238661154345,0.324959914484233
13,mixed / no tooth / stays / shore,0.07654622421638418,7,4444444444444444444444444444444444444444444444444,31.0,0.9745053726772718,0.5,0.089431199897204,0.5439680265633766,0.12881900026743837,0.6636288318144159
13,plant / no tooth / roams / surface,0.06297464842325559,6,444333444433444403244000222000522200,27.0,1.2093087935282538,12.77,0.03289140500004646,0.7975291322139602,0.16730921009102337,0.9710473313192346
13,mixed / tooth / stays / shore,0.04937136334089071,8,1111111114400441440000444000000440000004400000042400004222200222,49.0,0.6322395411167208,3.5,0.05441369526869452,0.535979283606886,0.29795330410168763,0.34617854849068724
13,light / no tooth / stays / bottom,0.04712000380511471,9,550000000550000000550000000500000000500000000500000000500000000550000000550000000,11.0,1.8825399896787207,0.0,0.9382563739560668,0.028457370364682752,0.013226484153422933,0.9700538358008075
13,plant / no tooth / stays / land,0.04480522569086614,10,4444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,64.0,0.4069033094018817,0.0,0.044561562991392925,0.7450245042669494,0.04691298461673937,0.02724699221514508
13,mixed / no tooth / stays / bottom,0.04461496995544845,8,0000000000000000000000040000004400000044000004440000444400554455,25.0,1.2903249422905239,0.5,0.11716821880601998,0.4967288784532417,0.17025336936784596,0.9495380241648899
13,mixed / tooth / stays / land,0.04432958635232191,6,444444444444444444444444444444444444,36.0,0.5124389322580069,4.0,0.0036103726910423862,0.5377976122899181,0.3361528444969642,0.056509298998569386
13,mixed / tooth / roams / bottom,0.031090958096174275,7,1144411140004140000044000004400000422000222222222,17.0,1.342177548645673,21.25,0.01306791687853498,0.4763964078119443,0.379020132455844,0.9576746557878634
14,mixed / no tooth / roams / shore,0.11634508760257263,4,2244224442224422,16.0,1.061363652975336,16.25,0.005365230349241254,0.4617061566589913,0.42721819976201286,0.7115897826915746
14,plant / no tooth / stays / shore,0.1077622532712353,4,4444444444444444,16.0,0.9225217281618677,0.0,0.015478406739976643,0.7182603085158061,0.08506342071774119,0.6237909034780819
14,mixed / no tooth / stays / shore,0.09605233976491462,4,4444444444444444,25.0,0.9440197727126903,0.25,0.029253246608938292,0.566304514267257,0.17522562509643214,0.5894712537520204
14,plant / no tooth / roams / surface,0.08623863384342426,7,0004444000444400004440000444000004400000220000222,21.0,1.3335179486350213,19.75,0.08577504136046618,0.7567190999719291,0.15410144259591138,0.9665680853799665
14,mixed / tooth / roams / shore,0.08200266134397871,5,1111144444222222222222222,36.0,0.5908987660916822,22.25,0.008301146215737205,0.4509561955008444,0.4648637105292779,0.20486815415821502
14,mixed / no tooth / stays / bottom,0.0788534043025061,4,4444444444444444,18.0,1.1582732092681345,0.5,0.04942552665242061,0.5260359190246685,0.1973921700713423,0.973421459710308
14,plant / no tooth / stays / bottom,0.06092259924595254,4,4444444444444444,16.0,1.1242435378601197,0.0,0.031264552638775686,0.7141699461921099,0.08198659128700964,0.9736075718966145
14,light / no tooth / stays / surface,0.05864936793080506,7,4444422444442224444025000002550000255500005555555,35.0,1.3814793553260694,1.75,0.6133275692402826,0.3257219457824072,0.06050178824826844,0.9899792021176026
14,mixed / no tooth / roams / bottom,0.04970059880239521,4,2444244422222222,16.0,1.1623088155873496,16.25,0.01683501884813008,0.48010310837901043,0.39371678236697844,0.9562695225345827
14,flesh / no tooth / roams / shore,0.042903082723442,4,2222222242224444,16.0,1.0423413409231115,20.75,0.00021189520046986264,0.2575383889204495,0.6640722650544094,0.6254846213491858
14,mixed / tooth / roams / land,0.038400975826125526,6,111111144441444444244442222222222222,36.0,0.4908787755572368,21.0,0.0022360933081201646,0.4849707320485808,0.44283729228189345,0.06410626624314178
