name,kinds_held,kinds_at,lean,placed,placed_at,top_kind,travel,banded,off_band,by_wood,by_kills,top_kills,world_band,forms,ways,pop,pop_min,ms_step,err,blocked,tooth,wood_stand,browse_stand,grass_stand,wood_share,browse_share,kills,tear,blocks_kept,gain_per_break,warm_land,btemp_land,open_land,land_temp,temp_day_land,land_drift,death_hunger,death_broken,death_wear,death_thirst,death_suffocation,death_cold,death_wound,pop_land,pop_surface,pop_bottom,pop_cold,pop_mild,pop_hot,flesh_bite,frail,wood_yield,day_temp,lines,top_share,no_room,by_light,in_light,land_share,water_led,born_med,open_light,open_all,per_cell,per_cell_light,seed,run
seed9,1,7.450980392156863,5,1,4.745098039215686,0.14738298039970937,5.75,0,0,0,1,0.6655205788646952,hot,2369,"mixed/tooth/roams/land [hot 82%, wood 18%, kills 50%, 16836 bodies]",9441.764705882353,6516.0,32.19594117647059,4.44e-14,0.4912549019607843,0.26772549019607844,0.607487227207267,0.020454015730586018,0.19365459178021494,0.02658246294203016,0.02658246294203016,0.28294466591999107,0.880955192930447,0.9474490196078431,1.0383411764705883,0.055631372549019606,25.28372549019608,0.5289450980392156,21.57549019607843,21.412352941176472,0.09357254676088995,0.34408300266455477,0.002078358822035725,0.0,0.4516257259242798,0.05490214368476741,0.016063537178937305,0.13124723172542496,4035.2156862745096,1428.0588235294117,3978.4901960784314,312.5098039215686,1707.8431372549019,7421.411764705882,0.4,0.5,3e-05,0.0,1,0.5799305003796769,0.48783506049339687,0,0.0,0.4899459875867744,0.0,25.0,0.0,0.877335992297894,1.0450204929757096,0.0,9,control
seed10,1,8.27450980392157,6,1,4.647058823529412,0.1486853006584398,4.25,0,0,1,2,0.6424645320970135,hot,2431,"mixed/tooth/roams/land [hot 84%, wood 23%, kills 46%, 12934 bodies]",8860.35294117647,6430.0,31.209235294117647,6e-14,0.5121960784313726,0.29123529411764704,0.6079154536390827,0.017275462501384734,0.17819341974077765,0.029263910663414442,0.029263910663414442,0.25470049030897224,0.883525537225943,0.949813725490196,1.0854450980392156,0.0649843137254902,25.05235294117647,0.5709745098039216,21.57549019607843,21.412352941176472,0.0937929451699206,0.33973761640399136,0.0011767417364425472,0.0,0.46902758691652957,0.06836032851321198,0.01795693144477664,0.10374079498504792,3640.0392156862745,1226.8235294117646,3993.4901960784314,285.96078431372547,1684.8431372549019,6889.549019607844,0.4,0.5,3e-05,0.0,1,0.6281520392234675,0.492039269819165,0,0.0,0.42936379889242576,0.0,25.0,0.0,0.9210999873000879,1.0447748500019154,0.0,10,control
seed11,1,7.254901960784314,4,0,4.470588235294118,0.1691253125201812,6.0,0,0,0,2,0.6559205078787956,hot,2597,"mixed/no tooth/roams/shore [hot 62%, wood 0%, kills 42%, 18332 bodies]",8995.098039215687,6355.0,33.07790196078432,3.79e-14,0.49145098039215684,0.2400980392156863,0.6069211033565969,0.023293851777999336,0.19606070676858314,0.027244630067955806,0.027244630067955806,0.2842107819170713,0.8790010004094275,0.9538333333333333,0.9211901960784313,0.06953725490196079,24.778235294117646,0.5624843137254902,21.57549019607843,21.412352941176472,0.08749091901420138,0.34899642458181346,0.001519884121262953,3.0126543533457935e-07,0.4408850937477782,0.04416822420896735,0.018708884799712715,0.14572118727503003,3676.294117647059,1255.8039215686274,4063.0,263.01960784313724,1634.3725490196077,7097.705882352941,0.4,0.5,3e-05,0.0,3,0.422830016248573,0.4708800053343228,0,0.0,0.3630031459596099,0.0,16.0,0.0,0.9629844346422478,1.037334032134688,0.0,11,control
seed12,0,7.764705882352941,6,0,4.235294117647059,0.135056452837831,4.75,0,0,0,1,0.6437764317637176,hot,2118,,7831.117647058823,5242.0,27.446862745098038,4.07e-14,0.4523137254901961,0.2897647058823529,0.60863897197297,0.014901730364462169,0.16897627118644068,0.03057920583836107,0.03057920583836107,0.3014026518350503,0.8919044738630908,0.9531862745098039,0.887264705882353,0.07459607843137255,24.992549019607843,0.5243176470588236,21.57549019607843,21.412352941176472,0.0894140621384742,0.34877581187199136,0.001460988208082587,0.0,0.42617954598419683,0.06650692070053872,0.019103491086494662,0.1379732421486958,3069.4117647058824,1462.9411764705883,3298.764705882353,252.86274509803923,1484.686274509804,6093.568627450981,0.4,0.5,3e-05,0.0,1,0.5172943609386459,0.46504697179596904,0,0.0,0.3486785479216242,0.0,20.0,0.0,1.0016724409224997,1.0441765265280296,0.0,12,control
seed13,2,7.2745098039215685,5,1,3.7450980392156863,0.1632230032288497,5.75,0,0,1,0,0.43548541327265217,hot,995,"mixed/no tooth/stays/shore [hot 82%, wood 0%, kills 18%, 9887 bodies]; mixed/tooth/roams/land [hot 84%, wood 23%, kills 44%, 12284 bodies]",8757.254901960785,6020.0,24.095980392156864,2.65e-14,0.4428235294117647,0.39115686274509803,0.6078339204608397,0.016035254237288136,0.17306817325800378,0.028906893157332032,0.028906893157332032,0.2670640771754078,0.8793145262870096,0.9481666666666667,1.0650607843137254,0.07699019607843137,24.870980392156863,0.5778313725490196,21.57549019607843,21.412352941176472,0.1029787707013449,0.33791800900970104,0.0019415024602719177,0.0,0.45248557498972064,0.0515759069569893,0.021772785190473393,0.13430622139284376,3682.5686274509803,1783.450980392157,3291.235294117647,260.6470588235294,1445.137254901961,7051.470588235294,0.4,0.5,3e-05,0.0,1,0.7773393500632766,0.4658210783499889,0,0.0,0.5626038081824101,0.0,31.0,0.0,0.8551452822464666,1.0579602493738627,0.0,13,control
seed14,0,7.607843137254902,4,0,3.5098039215686274,0.13065708394129777,4.0,0,0,0,2,0.6722795039375999,hot,2267,,8280.235294117647,4056.0,38.65592156862745,3.86e-14,0.4493921568627451,0.2553137254901961,0.6083208153317825,0.01736810900631439,0.17370820870721168,0.030631662073732732,0.030631662073732732,0.2723287926396276,0.8848672007565626,0.9528098039215687,0.9180882352941176,0.08691960784313725,24.7921568627451,0.5606588235294118,21.57549019607843,21.412352941176472,0.08990492015138928,0.3544943735504088,0.0020705213853341336,0.0,0.44716113874152114,0.05060607614331084,0.022214145898618344,0.12345374428080673,3240.8039215686276,1559.5882352941176,3479.843137254902,251.8235294117647,1456.4313725490197,6571.980392156863,0.4,0.5,3e-05,0.0,3,0.44886112314978155,0.46497831971232007,0,0.0,0.40552534156547326,0.0,24.0,0.0,0.9633583565114715,1.051210938614842,0.0,14,control
seed9,1,7.215686274509804,5,0,4.411764705882353,0.14573680063041766,4.5,0,0,0,1,0.6274760649325213,hot,2807,"mixed/no tooth/stays/shore [hot 75%, wood 0%, kills 26%, 14020 bodies]",9537.019607843138,5531.0,29.418843137254903,2.99e-14,0.5265098039215687,0.2283529411764706,0.6071763376537055,0.024102040545031574,0.20436964661570842,0.028582285746597783,0.028582285746597783,0.26142805959044413,0.8726610192977033,0.954078431372549,0.9321960784313725,0.07652156862745098,24.58450980392157,0.6131980392156863,21.57549019607843,21.412352941176472,0.09615345348299757,0.34278090089945285,0.0019321900513385771,0.0,0.44757168746555454,0.05425309000494252,0.02217861151234132,0.13128352006637015,4014.6862745098038,1471.9019607843138,4050.4313725490197,310.1764705882353,1761.549019607843,7465.294117647059,0.4,0.5,3e-05,0.0,1,0.6258343676793264,0.4832366696711858,0,0.0,0.3827029156816391,0.0,23.0,0.0,0.972139184846018,1.0423774007596511,0.0,9,light
seed10,0,6.9411764705882355,4,0,3.843137254901961,0.12308570660934981,1.25,0,0,0,0,0.4998308220018212,hot,1176,,9171.098039215687,6689.0,21.163666666666668,3.4e-14,0.4312549019607843,0.3663921568627451,0.608803101805694,0.01544669103799712,0.18565441453417525,0.030083742986765843,0.030083742986765843,0.29723641229182923,0.8691545003370218,0.9445941176470588,0.9579941176470588,0.1088078431372549,24.57627450980392,0.5893980392156862,21.57549019607843,21.412352941176472,0.09713494248789803,0.3349003050795958,0.001900588397120837,5.132563859359538e-07,0.4344884681555208,0.04486887325852108,0.028051257888750653,0.1557899939641049,3578.921568627451,2174.725490196078,3417.450980392157,306.0,1897.8235294117646,6967.274509803921,0.4,0.5,3e-05,0.0,1,0.7199096504784336,0.45096383287852504,2,0.1546771449041734,0.4044980297331184,0.984005210971991,24.0,1.6181920935173995,1.028174389953061,1.0804562906164978,2.183470290771176,10,light
seed11,2,7.098039215686274,5,1,4.666666666666667,0.14097252774111552,4.0,0,0,0,1,0.6358834619127441,hot,2828,"light/no tooth/stays/surface [hot 54%, wood 0%, kills 22%, 23071 bodies]; mixed/no tooth/roams/shore [hot 67%, wood 0%, kills 43%, 22883 bodies]",10796.235294117647,7576.0,32.31974509803921,3.12e-14,0.5364509803921569,0.23349019607843138,0.6068744876481666,0.023471275063697797,0.22025213249141465,0.027082587131045673,0.027082587131045673,0.27523696065918074,0.8698689766710079,0.9522549019607843,1.0126666666666666,0.07682156862745099,24.843529411764706,0.601821568627451,21.57549019607843,21.412352941176472,0.1018777348467002,0.34173007410348794,0.002527927496540085,8.759277534788931e-07,0.46194853048520557,0.03599741893288642,0.02221907537066343,0.13557609768346307,4362.431372549019,1902.862745098039,4530.941176470588,348.3333333333333,2158.078431372549,8289.823529411764,0.4,0.5,3e-05,0.0,2,0.5713357801614034,0.47304295189550105,1,0.14097252774111552,0.3477293835850809,0.9971392657448745,21.0,1.5933856972932001,1.0602963831147663,1.0524287798859553,2.178976199471099,11,light
seed12,2,6.882352941176471,5,1,3.588235294117647,0.15966550549847291,3.75,0,0,0,2,0.668097907721337,hot,2337,"mixed/no tooth/stays/bottom [hot 63%, wood 0%, kills 25%, 13555 bodies]; plant/no tooth/stays/shore [hot 55%, wood 0%, kills 6%, 12117 bodies]",8737.607843137255,6271.0,27.328686274509803,4.49e-14,0.47131372549019607,0.22315686274509805,0.6083722166832835,0.019485720615929986,0.16600598205383849,0.02894718885925687,0.02894718885925687,0.303246185010358,0.8915975499121807,0.9564156862745098,0.8869509803921568,0.06426666666666667,24.88705882352941,0.5240196078431373,21.57549019607843,21.412352941176472,0.09438546228158119,0.36774802801032697,0.001645567400227271,3.0238283723397115e-07,0.41099482139152954,0.06614291943372161,0.016786480826206675,0.1366818805551507,3278.6862745098038,1549.9411764705883,3908.9803921568628,258.52941176470586,1801.7843137254902,6677.294117647059,0.4,0.5,3e-05,0.0,3,0.5695170778529581,0.4718563170748459,0,0.0,0.33498238732277547,0.0,17.0,0.0,1.0218390679173677,1.0463354556524909,0.0,12,light
