step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,816,4.571,0.068,8.20,73321,52223,0,21776,34,2254,1378783.9,75020.4,0.103,0.262,0.352,0.141,0.142,3109,63.80,1.11,38.73,7.77,4.28,9.16,0.01,0.19,20.77,3.37,3.56,7.60,0.067,0.143,118,0.202,0.886,0.102,0.000,0.012,43959,24715,2,0.843,0.056,0.002,245592,0.154,0.164,0.039,136.46,19772,22,3.45,0.892,0.000,2828,1009,6212,0.168
20000,865,4.570,0.066,9.04,63397,47853,4,15491,0,936,1578528.6,55182.0,0.166,0.235,0.264,0.139,0.195,3379,63.71,2.65,40.64,6.36,2.48,6.74,0.01,0.16,20.59,3.10,2.17,5.85,0.039,0.105,106,0.178,0.917,0.069,0.000,0.014,41856,18953,3,0.658,0.197,0.003,17104,0.180,0.158,0.035,157.39,18973,32,3.56,0.875,0.008,564,3,618,0.204
30000,878,4.423,0.070,9.32,56789,46672,3,10100,1,813,1586260.6,34221.7,0.150,0.232,0.257,0.152,0.209,2810,63.73,2.61,40.43,6.23,2.24,6.87,0.06,0.81,20.99,3.65,1.81,5.67,0.035,0.108,122,0.292,0.936,0.051,0.000,0.013,36074,11121,3,0.377,0.369,0.010,39740,0.221,0.158,0.035,158.45,19340,14,3.39,0.931,0.005,718,3,830,0.183
40000,886,4.523,0.097,9.49,60564,49102,0,11449,5,575,1593530.9,38585.5,0.173,0.205,0.236,0.158,0.229,2893,62.95,5.58,39.14,8.41,2.36,7.43,0.03,0.50,21.42,4.29,1.82,5.60,0.038,0.117,130,0.280,0.927,0.055,0.000,0.018,33988,12110,4,0.404,0.000,0.003,51303,0.206,0.180,0.051,158.29,19818,20,3.37,0.884,0.010,656,12,754,0.210
50000,851,4.547,0.089,9.20,64181,51217,0,12992,7,846,1587466.5,44043.1,0.171,0.208,0.254,0.147,0.220,2614,63.84,1.58,40.55,6.20,2.33,7.06,0.01,0.29,20.95,3.48,2.00,6.04,0.037,0.111,86,0.450,0.924,0.056,0.000,0.020,33657,14239,3,0.739,0.000,0.004,77711,0.211,0.175,0.045,158.19,20441,26,3.39,0.858,0.000,645,111,944,0.227
60000,889,4.499,0.089,9.46,59985,48706,0,11238,3,568,1597441.2,37482.5,0.174,0.207,0.248,0.151,0.220,2943,63.37,3.90,37.81,7.78,2.99,7.90,0.03,0.20,22.54,5.69,2.54,6.60,0.047,0.124,127,0.288,0.901,0.072,0.000,0.027,32525,13261,3,0.620,0.084,0.020,55608,0.158,0.164,0.039,158.50,19313,19,3.34,0.895,0.001,721,31,796,0.202
70000,843,4.590,0.087,9.60,63282,50286,5,13032,5,807,1594022.8,44670.1,0.160,0.220,0.278,0.137,0.206,2586,63.78,2.54,39.50,7.14,2.83,7.59,0.18,0.80,21.28,3.86,2.30,6.22,0.046,0.127,105,0.406,0.905,0.069,0.000,0.026,33975,14583,4,0.504,0.108,0.123,791585,0.096,0.169,0.045,158.71,21512,25,3.43,0.871,0.002,1275,9,1395,0.199
80000,814,4.593,0.105,10.05,64194,48264,1,15956,2,1166,1520362.1,54611.3,0.147,0.230,0.288,0.132,0.203,2571,63.84,1.85,42.13,7.40,3.25,7.81,0.01,0.28,18.45,3.69,3.05,7.31,0.051,0.122,95,0.206,0.910,0.072,0.000,0.017,33018,16819,3,0.620,0.000,0.001,606681,0.099,0.194,0.057,153.00,20999,32,3.42,0.823,0.005,1195,90,1586,0.197
90000,855,4.634,0.094,10.24,60122,48593,0,11487,1,898,1539383.4,38642.2,0.107,0.231,0.266,0.145,0.252,2512,63.76,1.89,41.66,7.36,3.48,7.87,0.10,0.45,18.51,3.25,3.44,7.76,0.055,0.123,111,0.195,0.897,0.085,0.000,0.018,31215,14802,2,0.855,0.000,0.051,207276,0.203,0.172,0.044,155.53,21939,21,3.36,0.880,0.004,909,12,1054,0.231
100000,824,4.776,0.092,10.42,61121,49611,0,11539,2,670,1566977.5,38472.7,0.110,0.213,0.240,0.160,0.278,2206,63.77,2.10,40.28,7.89,3.78,8.10,0.01,0.13,19.70,4.44,3.58,7.68,0.059,0.127,126,0.400,0.893,0.091,0.000,0.016,32066,10561,3,0.358,0.192,0.005,419862,0.187,0.173,0.044,158.37,22936,23,3.33,0.862,0.015,1251,233,2078,0.198
110000,858,4.661,0.069,9.92,60703,47113,3,13547,6,959,1573580.6,45548.6,0.102,0.216,0.246,0.163,0.272,2327,63.79,2.04,42.01,6.68,2.87,7.23,0.01,0.17,18.91,2.65,2.81,7.13,0.045,0.117,76,0.476,0.909,0.071,0.000,0.020,32796,10890,4,0.411,0.029,0.002,36530,0.198,0.144,0.027,159.18,21631,21,3.36,0.882,0.000,729,46,922,0.204
120000,858,4.577,0.067,9.93,53404,42579,9,10814,2,675,1568370.0,36172.0,0.121,0.198,0.226,0.179,0.277,2584,63.70,2.66,41.90,6.98,2.55,6.88,0.03,0.55,19.22,3.32,2.53,6.88,0.040,0.108,91,0.493,0.913,0.075,0.000,0.013,32894,12085,6,0.326,0.034,0.005,16867,0.201,0.149,0.030,158.85,18362,13,3.34,0.938,0.006,463,14,572,0.203
130000,872,4.572,0.074,10.01,56284,45232,5,11031,2,679,1553978.1,37389.3,0.129,0.186,0.209,0.181,0.295,2579,63.80,1.91,42.22,6.27,2.14,6.42,0.01,0.20,19.42,3.70,2.08,6.26,0.034,0.101,85,0.492,0.922,0.058,0.000,0.019,35245,13018,6,0.350,0.000,0.002,22153,0.192,0.152,0.032,157.84,20400,15,3.39,0.924,0.002,434,7,508,0.193
140000,853,4.591,0.077,10.13,59622,47789,2,11847,3,689,1567475.0,39541.4,0.159,0.176,0.190,0.182,0.294,2183,63.74,3.19,39.45,7.92,2.83,6.82,0.00,0.03,21.46,5.01,2.76,6.69,0.046,0.116,104,0.389,0.891,0.086,0.000,0.023,35447,10417,6,0.212,0.287,0.001,34681,0.201,0.159,0.035,159.02,21890,32,3.34,0.818,0.002,504,11,599,0.184
150000,849,4.663,0.085,9.92,60035,47388,3,12646,2,789,1570194.9,43183.2,0.166,0.178,0.189,0.182,0.285,2289,63.94,0.62,42.05,6.78,2.72,7.40,0.01,0.21,19.16,3.24,2.52,6.78,0.043,0.116,100,0.410,0.916,0.067,0.000,0.016,34545,10630,5,0.312,0.071,0.004,25605,0.206,0.172,0.043,159.23,21221,31,3.41,0.834,0.002,470,25,523,0.182
160000,873,4.659,0.076,10.25,62209,49565,0,12614,6,882,1562817.2,42262.0,0.183,0.203,0.208,0.157,0.250,2258,63.85,1.64,40.17,6.97,3.20,8.02,0.08,0.47,20.40,4.03,2.75,6.80,0.050,0.126,124,0.252,0.899,0.079,0.000,0.022,36728,13090,7,0.294,0.000,0.030,118119,0.195,0.151,0.030,157.88,21863,28,3.35,0.850,0.006,694,22,848,0.230
170000,876,4.484,0.089,10.60,57983,44098,3,13877,2,1050,1567418.8,47785.8,0.162,0.213,0.201,0.151,0.273,2356,63.09,2.25,39.64,7.30,2.94,7.83,0.45,1.35,20.06,3.88,2.29,6.01,0.046,0.124,148,0.161,0.908,0.071,0.000,0.022,32352,10317,6,0.249,0.243,0.162,1130786,0.163,0.172,0.041,159.14,20131,34,3.44,0.824,0.018,1753,85,2443,0.181
180000,872,4.765,0.089,10.19,62946,47889,12,15047,2,1134,1576677.8,51649.1,0.197,0.203,0.179,0.151,0.270,2250,63.21,2.28,40.46,7.15,2.82,7.29,0.36,1.07,19.58,3.09,2.52,6.47,0.044,0.115,122,0.169,0.909,0.075,0.000,0.016,36133,12145,6,0.300,0.000,0.119,1119791,0.186,0.173,0.043,158.78,21192,23,3.43,0.905,0.005,1752,72,2172,0.191
190000,922,4.491,0.066,10.50,61230,48081,3,13095,1,1208,1582388.8,44586.3,0.182,0.213,0.193,0.148,0.263,2183,62.09,3.42,39.00,5.42,2.15,5.45,0.33,1.05,20.62,3.18,2.11,5.33,0.034,0.086,166,0.132,0.919,0.070,0.000,0.011,34659,11488,6,0.386,0.093,0.118,1474134,0.170,0.141,0.024,159.51,21249,28,3.40,0.860,0.004,1828,200,2951,0.190
200000,858,4.683,0.059,10.08,64727,49745,0,15045,1,1198,1595275.8,51483.5,0.186,0.180,0.166,0.168,0.299,2194,63.96,0.71,40.17,6.28,3.17,7.48,0.00,0.14,20.62,2.62,3.12,7.38,0.049,0.117,77,0.207,0.900,0.086,0.000,0.014,41695,15811,6,0.255,0.000,0.001,147790,0.194,0.142,0.025,159.14,22063,34,3.42,0.883,0.010,867,34,1156,0.216
210000,869,4.510,0.071,9.81,62669,49330,7,13319,2,1311,1575976.9,45701.0,0.192,0.184,0.168,0.168,0.288,2350,63.94,0.80,40.09,6.51,3.15,7.58,0.00,0.10,20.70,3.00,3.04,7.28,0.049,0.119,85,0.166,0.896,0.089,0.000,0.015,43820,18299,5,0.316,0.015,0.002,25664,0.198,0.156,0.035,156.86,20956,11,3.43,0.956,0.005,568,13,679,0.202
