step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,927,4.225,0.068,13.69,79256,66305,0,13518,50,969,1493004.1,44159.7,0.043,0.139,0.231,0.289,0.298,1526,59.43,14.10,30.90,11.68,1.09,3.85,0.03,0.57,27.41,11.19,1.02,3.56,0.017,0.060,350,0.041,0.916,0.066,0.000,0.018,42399,18243,4,0.287,0.419,0.004,0,0.000,0.144,0.027,148.37,34134,34,3.27,0.794,0.024,2855,1442,0,0.000
20000,1068,3.832,0.064,13.82,85505,67717,6,16937,704,172,1610760.9,35232.0,0.073,0.109,0.214,0.303,0.301,1153,51.77,11.99,26.84,10.34,0.41,1.84,0.11,1.10,24.42,8.56,0.40,1.78,0.007,0.032,435,0.146,0.942,0.036,0.000,0.022,55816,21280,6,0.525,0.031,0.028,0,0.000,0.121,0.015,161.89,38052,71,2.08,0.584,0.004,674,192,0,0.000
30000,1219,3.575,0.058,15.37,95716,64252,11,29773,1529,212,1604183.1,56359.5,0.084,0.098,0.173,0.337,0.308,922,45.15,22.28,24.13,15.98,1.07,3.86,0.24,1.56,19.70,9.44,0.90,3.30,0.020,0.076,401,0.066,0.908,0.062,0.000,0.030,62213,27236,6,0.311,0.283,0.051,0,0.000,0.107,0.009,161.75,43665,62,1.89,0.637,0.018,3097,630,0,0.000
40000,1258,3.475,0.058,13.44,132191,66339,5,60750,5058,479,1610584.4,86586.9,0.047,0.137,0.233,0.326,0.258,737,41.82,23.55,21.50,15.56,0.94,3.52,0.64,3.75,18.73,9.72,0.88,3.30,0.015,0.056,310,0.130,0.907,0.065,0.000,0.028,83841,36881,5,0.335,0.129,0.072,0,0.000,0.110,0.010,162.35,58381,60,1.43,0.611,0.018,9439,1884,0,0.000
50000,1312,3.361,0.068,13.30,128300,64196,3,59632,4415,597,1583863.0,103720.9,0.034,0.152,0.236,0.334,0.244,827,39.20,28.06,22.20,20.30,1.77,5.66,0.60,2.81,14.63,9.42,1.74,5.61,0.031,0.100,270,0.113,0.901,0.078,0.000,0.021,79349,39232,6,0.402,0.149,0.087,0,0.000,0.138,0.025,159.42,53216,59,1.74,0.643,0.009,9524,571,0,0.000
60000,1104,3.781,0.068,14.16,117987,56799,16,55943,5437,526,1602558.8,87116.6,0.064,0.141,0.191,0.335,0.269,838,47.15,24.56,26.11,18.39,3.27,7.28,0.01,0.22,17.77,8.62,2.57,6.23,0.071,0.155,216,0.115,0.839,0.143,0.000,0.018,78051,37679,7,0.209,0.289,0.005,0,0.000,0.129,0.018,161.85,49763,80,1.56,0.575,0.024,4934,677,0,0.000
70000,1319,3.272,0.073,13.50,100144,54721,3,43542,1663,772,1615167.4,77099.8,0.076,0.135,0.155,0.303,0.331,964,40.57,27.92,22.67,19.95,2.05,6.07,0.35,1.28,15.50,10.12,2.04,6.07,0.035,0.103,322,0.109,0.829,0.085,0.000,0.086,67130,33269,7,0.537,0.033,0.126,0,0.000,0.144,0.025,161.53,43492,69,1.77,0.615,0.016,3596,856,0,0.000
80000,1380,3.163,0.052,13.22,138471,54191,9,77021,7189,384,1605230.6,119281.2,0.068,0.144,0.178,0.337,0.273,771,37.45,27.75,20.44,20.49,1.82,5.80,0.23,1.43,14.96,8.37,1.78,5.76,0.030,0.094,261,0.062,0.879,0.090,0.000,0.031,97461,50806,8,0.315,0.250,0.051,0,0.000,0.111,0.013,161.75,59651,65,1.55,0.607,0.019,9969,956,0,0.000
90000,1149,3.572,0.064,13.55,157187,53594,10,96605,7209,775,1605547.5,135337.2,0.081,0.119,0.186,0.307,0.308,711,45.73,25.04,26.05,19.86,1.97,6.13,0.26,1.22,17.45,7.46,1.83,5.87,0.035,0.107,224,0.164,0.889,0.082,0.000,0.029,117528,59620,7,0.287,0.050,0.082,0,0.000,0.119,0.015,162.24,68065,76,1.40,0.582,0.012,11109,2586,0,0.000
100000,1105,3.714,0.065,14.01,137689,52168,3,81334,4228,934,1606547.9,121731.1,0.105,0.132,0.178,0.288,0.297,760,49.18,23.43,28.89,18.51,2.05,5.45,0.24,0.97,18.00,7.76,1.77,5.21,0.046,0.117,214,0.140,0.863,0.106,0.000,0.031,97207,50988,4,0.443,0.099,0.143,0,0.000,0.121,0.016,162.23,59594,65,1.50,0.603,0.015,7755,3143,0,0.000
