step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,877,4.343,0.093,6.68,76130,56334,0,20338,110,1837,1474559.4,67623.8,0.091,0.150,0.133,0.239,0.388,3353,62.64,6.55,34.31,8.04,0.80,3.31,0.00,0.13,27.52,7.22,0.70,2.97,0.013,0.055,144,0.200,0.936,0.036,0.000,0.027,43242,30104,2,0.971,0.000,0.001,79033,0.222,0.179,0.048,147.06,21298,36,3.32,0.782,0.005,1075,1076,3833,0.169
20000,974,4.090,0.087,8.17,64610,54208,3,10207,95,617,1550251.6,31769.7,0.174,0.152,0.133,0.201,0.339,3324,56.82,10.92,31.99,8.39,1.32,4.38,0.02,0.54,23.49,8.38,1.21,4.04,0.022,0.072,201,0.129,0.922,0.051,0.000,0.027,40063,23092,3,0.672,0.092,0.001,7504,0.172,0.180,0.049,155.84,20472,49,3.11,0.731,0.015,66,25,78,0.359
30000,997,4.005,0.068,9.75,70937,55293,2,15497,122,1048,1570000.5,48151.2,0.121,0.197,0.180,0.200,0.302,2714,56.21,8.87,33.30,7.96,1.31,4.67,0.18,0.96,21.42,6.99,1.07,3.82,0.021,0.074,300,0.075,0.919,0.060,0.000,0.021,46215,22255,2,0.463,0.361,0.052,97125,0.233,0.148,0.030,157.58,24717,60,3.11,0.687,0.011,412,97,671,0.140
40000,928,4.232,0.067,11.09,73295,59554,0,13673,137,678,1597599.1,39991.6,0.112,0.192,0.198,0.183,0.315,1863,58.75,5.20,33.16,6.03,0.96,4.06,0.00,0.00,24.63,6.34,0.78,3.19,0.016,0.067,258,0.073,0.939,0.044,0.000,0.017,50174,23359,4,0.654,0.047,0.000,165012,0.163,0.134,0.022,160.32,28040,41,2.92,0.773,0.008,388,40,552,0.141
50000,1045,4.098,0.058,12.77,72453,59031,5,13240,60,642,1606284.6,39864.3,0.179,0.185,0.186,0.165,0.286,1653,54.80,8.96,30.89,9.30,0.79,3.48,0.02,0.28,23.10,6.34,0.71,3.09,0.014,0.061,359,0.058,0.939,0.039,0.000,0.022,52524,24221,3,0.744,0.182,0.008,63148,0.184,0.128,0.019,161.17,30105,37,3.01,0.792,0.010,226,29,423,0.222
60000,1009,4.211,0.060,12.64,73916,54087,1,19677,187,672,1599325.4,56387.8,0.256,0.164,0.164,0.167,0.250,1505,58.40,6.46,34.11,8.12,1.05,4.15,0.02,0.30,23.22,6.38,0.98,3.98,0.019,0.080,265,0.091,0.946,0.040,0.000,0.014,55637,23941,5,0.417,0.099,0.010,85943,0.189,0.128,0.019,160.71,31450,41,2.87,0.787,0.009,529,157,1147,0.153
70000,1052,4.064,0.059,12.63,69607,49569,21,19698,276,503,1604844.8,53056.0,0.290,0.158,0.161,0.155,0.236,1570,55.47,9.48,31.81,10.78,1.42,4.60,0.27,1.69,21.96,6.62,1.31,4.37,0.025,0.081,288,0.142,0.906,0.075,0.000,0.019,50593,18914,3,0.573,0.215,0.064,220126,0.192,0.128,0.019,161.91,28529,41,2.69,0.761,0.037,589,72,1204,0.209
80000,1031,4.228,0.060,12.58,69656,52272,23,17272,110,591,1613669.2,48163.0,0.268,0.160,0.168,0.162,0.242,1527,56.83,5.55,34.15,6.44,0.75,3.15,0.07,0.44,21.87,5.39,0.73,3.13,0.013,0.054,277,0.140,0.938,0.043,0.000,0.019,49952,19641,4,0.884,0.006,0.033,479997,0.174,0.125,0.017,161.91,28804,45,2.79,0.757,0.005,1919,1606,4865,0.168
90000,884,4.714,0.073,12.20,61250,41988,9,19355,45,637,1598951.5,65280.3,0.192,0.206,0.217,0.146,0.239,1898,63.18,2.54,39.53,6.83,1.84,5.68,0.04,0.21,21.77,3.50,1.83,5.66,0.030,0.093,131,0.216,0.919,0.067,0.000,0.015,40876,18900,3,0.750,0.000,0.037,354459,0.143,0.139,0.024,160.69,22131,49,3.37,0.824,0.012,1156,48,1407,0.198
100000,909,4.674,0.074,12.66,54796,39887,22,14830,32,355,1597280.9,49660.4,0.229,0.195,0.204,0.139,0.233,2136,62.77,3.48,40.04,7.53,1.89,6.26,0.05,0.30,20.79,3.35,1.67,5.60,0.031,0.103,119,0.309,0.934,0.050,0.000,0.017,37090,18508,4,0.554,0.000,0.034,293581,0.128,0.139,0.024,161.00,19889,29,3.35,0.871,0.004,1528,8,1781,0.149
