step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,765,4.624,0.081,14.77,81475,49068,1,32907,240,3497,1375707.6,99243.0,0.036,0.176,0.328,0.289,0.171,1780,64.00,0.00,32.55,9.53,8.94,9.50,0.07,1.01,22.44,4.18,8.82,9.35,0.140,0.148,101,0.451,0.787,0.196,0.000,0.017,46087,36179,1,0.957,0.043,0.012,0,0.000,0.169,0.040,135.79,26790,22,3.02,0.864,0.003,6912,1317,0,0.000
20000,791,4.599,0.086,15.19,73463,53532,2,19902,1,2771,1592398.1,70176.4,0.000,0.277,0.392,0.206,0.125,1320,64.00,0.00,36.86,9.27,5.22,8.56,0.06,0.95,21.86,4.94,5.00,8.20,0.082,0.134,130,0.201,0.827,0.143,0.000,0.030,43090,23042,3,0.555,0.124,0.006,0,0.000,0.168,0.040,158.53,31218,13,3.53,0.945,0.009,2043,18,0,0.000
30000,781,4.592,0.085,15.86,77147,54734,2,22421,0,2857,1590014.2,80168.4,0.000,0.273,0.355,0.245,0.127,1216,64.00,0.05,37.84,10.01,5.12,9.04,0.13,1.49,20.90,6.67,4.63,8.05,0.080,0.141,154,0.159,0.808,0.143,0.000,0.049,44744,21770,2,0.761,0.072,0.015,0,0.000,0.168,0.039,158.45,32857,20,3.58,0.908,0.010,2214,39,0,0.000
40000,826,4.568,0.076,15.98,70008,51535,5,18423,0,2117,1605927.6,65052.6,0.000,0.287,0.342,0.233,0.139,1194,63.97,0.94,35.33,9.93,6.24,9.39,0.18,1.33,22.22,6.81,5.48,8.60,0.098,0.147,153,0.179,0.793,0.166,0.000,0.041,42839,22239,3,0.483,0.237,0.024,0,0.000,0.145,0.028,159.57,30276,21,3.53,0.893,0.027,2029,16,0,0.000
50000,810,4.610,0.078,16.04,68196,50370,15,17827,0,2136,1612879.9,62710.9,0.000,0.283,0.346,0.234,0.137,1159,64.00,0.00,36.30,9.38,5.23,8.74,0.08,1.06,22.39,5.87,4.91,8.34,0.082,0.137,134,0.198,0.817,0.151,0.000,0.032,40415,20197,4,0.433,0.000,0.016,0,0.000,0.143,0.025,160.43,30381,20,3.52,0.905,0.010,2069,58,0,0.000
60000,820,4.434,0.072,16.86,64100,46112,11,17967,0,2270,1611003.4,62716.7,0.000,0.294,0.350,0.219,0.137,1165,63.98,0.49,33.40,9.23,7.83,9.65,0.10,0.81,22.65,4.12,7.47,9.08,0.122,0.151,124,0.379,0.749,0.234,0.000,0.017,37370,16199,4,0.396,0.016,0.023,0,0.000,0.142,0.024,160.51,30180,14,3.49,0.942,0.000,2198,14,0,0.000
70000,811,4.530,0.067,17.10,60617,42673,21,17932,0,3042,1616951.1,61986.3,0.000,0.314,0.351,0.199,0.136,1140,64.00,0.11,34.12,8.58,6.62,8.92,0.27,2.13,22.99,4.43,6.48,8.61,0.103,0.139,99,0.317,0.762,0.210,0.000,0.028,36073,15891,4,0.329,0.000,0.033,0,0.000,0.129,0.020,161.33,29505,7,3.46,0.986,0.002,2427,4,0,0.000
80000,812,4.506,0.063,17.34,59226,41726,36,17463,0,3061,1625641.1,59713.6,0.000,0.329,0.341,0.197,0.133,1125,64.00,0.05,34.76,8.39,6.13,8.48,0.20,1.91,22.91,4.15,6.08,8.43,0.096,0.132,92,0.293,0.786,0.197,0.000,0.017,35719,15285,4,0.392,0.000,0.018,0,0.000,0.122,0.017,161.99,29261,6,3.42,0.990,0.001,3017,7,0,0.000
90000,793,4.560,0.067,17.61,59993,42542,35,17435,0,2755,1627792.4,59733.0,0.000,0.338,0.319,0.200,0.143,1043,63.97,0.52,33.00,8.97,8.06,9.26,0.37,2.37,22.54,4.42,7.97,9.10,0.126,0.145,109,0.398,0.718,0.252,0.000,0.030,36859,16040,3,0.462,0.000,0.079,0,0.000,0.126,0.016,162.22,30141,7,3.43,0.986,0.005,3354,4,0,0.000
100000,802,4.627,0.067,17.59,59691,42357,28,17297,0,2360,1628657.9,59265.1,0.000,0.351,0.319,0.190,0.141,1098,63.97,0.78,32.99,8.71,7.68,9.41,0.29,1.75,23.01,3.73,7.54,9.23,0.120,0.147,89,0.390,0.744,0.229,0.000,0.026,37028,15771,3,0.405,0.167,0.099,0,0.000,0.118,0.013,162.24,28139,6,3.43,0.987,0.001,3628,6,0,0.000
