step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
110000,1062,3.905,0.067,11.34,98013,49404,0,47497,952,750,1568739.5,104123.5,0.184,0.198,0.170,0.200,0.247,1246,51.25,22.91,30.98,18.82,3.08,7.59,0.57,2.52,16.62,5.55,2.98,7.48,0.050,0.122,173,0.129,0.869,0.111,0.000,0.020,55588,25150,6,0.430,0.029,0.218,1971715,0.126,0.148,0.031,159.15,38639,38,2.19,0.765,0.028,14251,37292,0,0.000
120000,978,4.161,0.072,11.53,94718,47626,5,45650,1521,1253,1548621.1,95137.3,0.170,0.194,0.189,0.205,0.242,1200,55.37,20.46,34.32,16.76,3.17,7.79,0.62,2.79,17.25,7.00,3.06,7.59,0.051,0.124,167,0.262,0.901,0.086,0.000,0.013,58878,29273,3,0.640,0.092,0.204,1902027,0.095,0.158,0.037,157.19,38043,46,2.08,0.738,0.005,10770,40888,0,0.000
130000,861,4.518,0.074,11.15,76875,47515,8,28811,658,904,1556510.0,74877.0,0.215,0.163,0.151,0.208,0.262,1560,63.98,0.43,38.79,6.95,2.45,5.20,0.69,3.11,22.05,4.67,2.29,4.72,0.038,0.081,224,0.168,0.906,0.081,0.000,0.013,47839,20455,5,0.401,0.096,0.170,1433242,0.134,0.146,0.028,157.42,31134,43,2.60,0.754,0.013,8832,22408,0,0.000
140000,905,4.435,0.067,11.32,65878,51185,6,14643,0,632,1598131.8,52292.5,0.249,0.137,0.117,0.213,0.284,1733,63.99,0.21,36.55,5.77,2.37,5.21,0.56,2.55,24.51,5.96,2.30,5.03,0.037,0.081,225,0.106,0.886,0.092,0.000,0.022,40699,16949,4,0.386,0.012,0.135,1989083,0.217,0.135,0.021,160.64,27169,42,3.57,0.781,0.009,7020,4681,0,0.000
150000,888,4.510,0.070,11.21,63180,51168,6,12022,1,325,1609611.2,42374.5,0.246,0.129,0.121,0.219,0.285,1818,64.00,0.00,35.37,6.46,1.66,4.22,1.42,4.73,25.55,5.71,1.48,3.76,0.026,0.066,255,0.154,0.922,0.070,0.000,0.008,38727,15007,4,0.374,0.214,0.287,1920852,0.237,0.136,0.022,161.44,26036,24,3.52,0.857,0.008,6132,473,0,0.000
160000,892,4.321,0.069,11.11,59499,48970,4,10520,1,274,1606140.5,36453.1,0.320,0.146,0.136,0.177,0.222,2088,63.65,1.33,35.89,5.53,2.12,4.98,1.06,2.97,24.58,5.74,2.00,4.74,0.033,0.078,222,0.074,0.895,0.090,0.000,0.016,38510,15866,5,0.407,0.003,0.309,3010761,0.230,0.139,0.024,161.32,24188,31,3.47,0.823,0.008,6108,895,0,0.000
170000,928,4.359,0.074,11.45,60416,46676,5,13699,0,343,1609810.4,47278.3,0.230,0.151,0.145,0.191,0.284,2023,63.84,1.01,35.51,4.26,1.88,5.09,0.96,2.13,25.49,4.99,1.76,4.86,0.029,0.080,197,0.084,0.901,0.084,0.000,0.015,36274,13101,5,0.557,0.004,0.373,3227046,0.198,0.132,0.019,162.11,24345,19,3.45,0.901,0.004,7842,267,0,0.000
180000,924,4.404,0.073,11.91,59072,46680,8,12388,0,470,1613084.4,43141.2,0.258,0.146,0.149,0.190,0.257,1947,64.00,0.00,35.26,4.84,2.16,4.58,0.76,2.60,25.82,5.04,1.98,4.15,0.034,0.072,237,0.115,0.890,0.098,0.000,0.012,36454,16199,4,0.621,0.000,0.282,2747947,0.178,0.132,0.019,162.40,23643,22,3.48,0.874,0.001,6376,268,0,0.000
190000,861,4.610,0.064,12.87,60228,46731,3,13557,0,970,1613213.8,48448.1,0.232,0.155,0.161,0.196,0.256,1723,63.99,0.18,36.90,5.43,4.03,6.90,0.20,1.42,22.86,4.54,3.77,6.42,0.063,0.108,196,0.177,0.851,0.144,0.000,0.005,35764,18309,2,0.967,0.000,0.050,1392551,0.206,0.126,0.017,162.23,26361,48,3.57,0.804,0.007,4661,1144,0,0.000
200000,897,4.311,0.055,12.36,60639,44670,16,15917,0,1445,1616885.2,56699.1,0.236,0.139,0.158,0.212,0.255,1620,64.00,0.00,36.66,5.36,3.38,5.16,0.27,1.71,23.68,4.70,3.17,4.67,0.053,0.081,260,0.134,0.866,0.122,0.000,0.012,41467,17590,2,0.739,0.016,0.067,598753,0.199,0.125,0.017,161.63,26036,29,3.56,0.914,0.010,4070,71,0,0.000
210000,853,4.518,0.058,13.50,60495,44182,27,16329,1,2015,1604454.5,57800.1,0.233,0.144,0.157,0.204,0.262,1633,64.00,0.14,39.96,6.00,4.10,6.55,0.18,1.11,19.76,4.51,3.90,5.99,0.064,0.102,149,0.226,0.797,0.186,0.000,0.016,44819,19124,4,0.489,0.036,0.068,1016017,0.177,0.125,0.019,160.38,25593,38,3.54,0.866,0.011,4036,312,0,0.000
220000,878,4.450,0.056,13.79,55910,38918,109,16858,0,2486,1605032.8,59217.5,0.133,0.151,0.173,0.230,0.313,1768,64.00,0.07,41.77,5.00,2.42,5.22,0.08,0.45,19.73,3.69,2.37,5.10,0.038,0.082,189,0.116,0.890,0.101,0.000,0.009,39448,17639,6,0.435,0.269,0.055,388673,0.193,0.122,0.016,160.86,23535,22,3.51,0.897,0.007,3605,104,0,0.000
230000,852,4.739,0.061,14.44,54259,35926,77,18282,0,1706,1607679.8,64992.2,0.108,0.152,0.185,0.248,0.308,1701,63.97,0.73,41.02,7.90,4.22,9.03,0.35,1.01,18.39,2.33,3.90,8.29,0.066,0.141,91,0.170,0.860,0.130,0.000,0.009,36005,11757,7,0.319,0.000,0.222,1032997,0.179,0.126,0.018,161.81,23097,32,3.55,0.913,0.004,3035,24,0,0.000
240000,879,4.551,0.071,14.64,51543,35381,94,16041,0,1084,1610094.2,56067.2,0.129,0.150,0.179,0.236,0.306,1699,64.00,0.11,41.36,7.87,3.91,8.67,0.48,1.77,18.25,2.55,3.69,8.18,0.061,0.135,98,0.210,0.879,0.113,0.000,0.008,33335,10714,4,0.315,0.108,0.290,2127156,0.172,0.131,0.019,162.34,22469,6,3.50,0.987,0.002,4105,16,0,0.000
250000,865,4.752,0.074,14.64,53180,36152,42,17000,0,1157,1612372.6,59421.1,0.141,0.152,0.179,0.227,0.301,1576,64.00,0.07,40.90,8.25,4.10,8.82,0.46,1.30,18.54,3.73,3.82,8.26,0.064,0.138,121,0.168,0.865,0.120,0.000,0.015,33696,11482,6,0.277,0.000,0.238,2116209,0.181,0.132,0.020,162.41,23848,6,3.50,0.987,0.006,4663,18,0,0.000
260000,852,4.714,0.078,14.57,55700,37713,39,17961,0,1196,1611357.0,63014.0,0.143,0.146,0.176,0.223,0.312,1513,63.99,0.34,40.77,8.16,4.19,8.88,0.54,1.24,18.49,3.37,3.97,8.44,0.066,0.139,102,0.180,0.872,0.119,0.000,0.009,33990,11808,6,0.284,0.000,0.227,1707843,0.183,0.135,0.021,162.36,24760,7,3.51,0.982,0.004,4138,6,0,0.000
270000,834,4.778,0.072,14.54,53134,36221,50,16881,0,1093,1618093.4,58923.1,0.116,0.143,0.175,0.243,0.322,1624,64.00,0.03,40.57,8.34,4.68,9.29,0.89,1.84,17.86,2.91,4.40,8.73,0.073,0.145,107,0.195,0.856,0.134,0.000,0.010,33183,11221,6,0.235,0.044,0.276,2274610,0.219,0.134,0.021,162.20,23191,7,3.49,0.981,0.001,4877,12,0,0.000
280000,868,4.748,0.065,14.59,50817,34391,73,16319,0,1055,1614694.6,56617.4,0.104,0.146,0.180,0.251,0.320,1702,64.00,0.00,41.49,7.44,3.39,8.37,0.65,1.47,18.48,2.78,3.08,7.56,0.053,0.131,93,0.144,0.884,0.096,0.000,0.021,32606,9216,7,0.279,0.000,0.215,2238360,0.227,0.123,0.015,162.40,22341,7,3.47,0.980,0.001,4736,42,0,0.000
290000,885,4.655,0.070,14.57,50421,34714,49,15641,0,1074,1610986.2,54382.7,0.123,0.144,0.173,0.243,0.316,1619,64.00,0.00,41.56,7.40,3.03,7.73,0.84,2.18,18.57,3.26,2.84,7.31,0.047,0.121,98,0.125,0.903,0.087,0.000,0.010,30670,8169,7,0.280,0.000,0.281,2415863,0.219,0.124,0.015,162.51,21987,9,3.48,0.974,0.002,4692,28,0,0.000
300000,831,4.891,0.064,14.66,51388,34825,39,16578,0,1150,1613904.0,57968.4,0.123,0.151,0.185,0.238,0.303,1610,63.99,0.17,40.97,7.82,4.09,8.82,0.68,1.70,18.26,2.48,3.83,8.29,0.064,0.138,92,0.171,0.871,0.119,0.000,0.010,32761,9942,10,0.196,0.001,0.245,2085338,0.216,0.124,0.016,162.32,22999,10,3.50,0.976,0.004,4323,15,0,0.000
310000,862,4.770,0.072,14.71,48597,32997,52,15517,0,889,1611445.5,53942.9,0.133,0.153,0.186,0.236,0.292,1676,64.00,0.00,40.97,7.80,3.54,8.25,0.72,2.54,18.77,3.01,3.36,7.86,0.055,0.129,92,0.150,0.884,0.106,0.000,0.010,31854,10536,9,0.204,0.020,0.212,2041420,0.216,0.128,0.018,162.47,22444,7,3.48,0.986,0.001,4149,15,0,0.000
320000,844,4.716,0.076,14.62,49921,34365,38,15536,0,1038,1610438.0,53998.1,0.128,0.151,0.191,0.233,0.297,1693,64.00,0.00,40.91,7.94,4.00,8.75,0.68,1.42,18.40,3.24,3.72,8.19,0.063,0.137,90,0.166,0.867,0.122,0.001,0.009,30499,8174,7,0.179,0.026,0.274,2224076,0.213,0.132,0.018,162.56,22087,8,3.48,0.976,0.002,4387,41,0,0.000
330000,848,4.640,0.078,14.59,48791,33538,29,15220,0,894,1612108.6,52844.7,0.128,0.153,0.189,0.236,0.294,1724,64.00,0.14,41.49,7.38,3.55,8.26,0.77,1.76,18.18,2.62,3.30,7.74,0.055,0.129,109,0.143,0.893,0.099,0.000,0.008,30166,8609,7,0.213,0.059,0.262,2490370,0.214,0.137,0.023,162.53,21965,8,3.47,0.977,0.004,4849,29,0,0.000
340000,858,4.649,0.078,14.69,49544,33759,37,15738,0,984,1609461.4,54620.4,0.125,0.154,0.192,0.235,0.294,1750,64.00,0.00,41.14,7.63,3.62,8.44,0.59,1.23,18.65,2.80,3.35,7.86,0.057,0.132,83,0.185,0.876,0.112,0.000,0.012,30624,9239,8,0.235,0.000,0.209,1917290,0.225,0.134,0.021,162.55,21539,8,3.47,0.977,0.001,4430,21,0,0.000
350000,852,4.785,0.079,14.61,50063,34144,33,15892,0,969,1610133.1,55268.2,0.120,0.153,0.190,0.238,0.300,1724,63.99,0.20,41.37,7.38,3.53,8.26,0.63,1.33,18.45,2.98,3.34,7.82,0.055,0.129,98,0.181,0.891,0.096,0.000,0.013,30813,9813,6,0.236,0.043,0.237,2009911,0.215,0.135,0.021,162.52,21936,8,3.48,0.979,0.001,4302,19,0,0.000
360000,864,4.590,0.073,14.58,49607,33762,42,15791,0,979,1612363.0,54846.4,0.128,0.151,0.185,0.237,0.299,1682,64.00,0.00,41.49,7.68,3.55,8.58,0.83,2.30,18.14,2.86,3.19,7.69,0.055,0.134,94,0.204,0.885,0.097,0.000,0.017,31509,9394,7,0.317,0.008,0.255,2095545,0.218,0.130,0.019,162.51,22457,8,3.47,0.975,0.006,4347,31,0,0.000
370000,861,4.632,0.078,14.56,48507,32810,37,15663,0,879,1611239.2,54455.7,0.146,0.148,0.174,0.234,0.298,1782,63.99,0.15,41.71,7.09,3.26,7.99,0.76,1.53,18.27,2.40,3.07,7.54,0.051,0.125,95,0.215,0.891,0.098,0.000,0.012,30440,9543,7,0.239,0.101,0.251,2192683,0.217,0.141,0.024,162.53,22090,8,3.48,0.977,0.002,4383,17,0,0.000
380000,852,4.593,0.077,14.45,48053,32794,35,15233,0,752,1611436.5,52927.8,0.133,0.145,0.172,0.236,0.313,1868,64.00,0.11,41.37,7.84,3.60,8.44,0.79,1.66,18.24,3.26,3.35,7.83,0.056,0.132,105,0.171,0.877,0.106,0.000,0.018,29685,9043,7,0.261,0.000,0.257,2095699,0.227,0.134,0.019,162.56,21410,8,3.47,0.973,0.002,4702,31,0,0.000
390000,863,4.605,0.069,14.53,48700,32890,30,15769,0,822,1610880.5,54846.7,0.126,0.146,0.174,0.238,0.317,1752,63.99,0.22,41.41,7.51,3.54,8.33,0.73,1.39,18.31,2.96,3.33,7.82,0.055,0.130,95,0.203,0.883,0.104,0.000,0.013,30144,8939,8,0.232,0.000,0.235,2040062,0.231,0.129,0.017,162.56,21395,8,3.48,0.977,0.002,4993,15,0,0.000
400000,864,4.617,0.078,14.50,48779,33286,44,15448,0,961,1610833.5,53583.0,0.130,0.149,0.178,0.238,0.305,1823,64.00,0.05,41.39,7.57,3.10,7.81,0.98,2.18,18.53,3.53,2.86,7.30,0.049,0.122,85,0.211,0.902,0.093,0.000,0.006,30092,8720,6,0.273,0.116,0.273,2052941,0.229,0.136,0.023,162.57,21222,8,3.47,0.976,0.002,4301,25,0,0.000
410000,873,4.735,0.078,14.51,49398,33536,22,15831,0,929,1609724.8,54986.4,0.135,0.147,0.171,0.238,0.308,1699,64.00,0.07,41.36,7.50,3.55,8.26,0.73,1.38,18.36,2.74,3.32,7.82,0.056,0.129,87,0.206,0.883,0.107,0.000,0.010,30450,9803,7,0.237,0.000,0.233,2228456,0.232,0.131,0.018,162.49,21504,9,3.47,0.973,0.003,4462,25,0,0.000
420000,875,4.697,0.077,14.53,50506,34393,28,16083,0,959,1608646.9,55896.3,0.140,0.148,0.172,0.235,0.305,1702,64.00,0.10,41.54,7.61,3.21,8.05,0.90,2.69,18.35,3.02,2.97,7.46,0.050,0.126,90,0.223,0.899,0.091,0.000,0.009,31071,9880,7,0.255,0.000,0.248,2055719,0.231,0.131,0.019,162.53,22632,9,3.48,0.973,0.002,4486,29,0,0.000
430000,874,4.705,0.081,14.56,50861,34755,20,16087,0,960,1607863.9,55875.9,0.139,0.149,0.174,0.235,0.303,1720,63.99,0.17,41.27,7.76,3.69,8.38,0.81,2.39,18.23,3.08,3.48,7.95,0.058,0.131,100,0.168,0.868,0.118,0.000,0.014,30970,9835,6,0.239,0.122,0.240,2077542,0.228,0.133,0.020,162.52,22767,8,3.47,0.975,0.006,4624,27,0,0.000
440000,881,4.637,0.078,14.52,50879,34769,9,16094,0,956,1607222.5,55703.9,0.141,0.149,0.174,0.234,0.302,1679,64.00,0.00,41.21,7.59,3.60,8.36,0.74,1.79,18.45,3.48,3.40,7.91,0.056,0.131,94,0.175,0.892,0.098,0.000,0.010,31445,10350,6,0.229,0.054,0.228,2026746,0.224,0.133,0.021,162.51,23157,8,3.46,0.976,0.002,4419,21,0,0.000
450000,834,4.788,0.085,14.54,51675,35410,13,16299,0,986,1608174.6,56611.0,0.136,0.151,0.177,0.234,0.302,1555,64.00,0.00,41.49,7.59,3.60,8.42,0.76,1.77,18.16,2.89,3.37,7.88,0.056,0.132,92,0.146,0.879,0.103,0.000,0.018,31370,10976,5,0.259,0.000,0.237,2052989,0.228,0.143,0.025,162.48,23095,8,3.47,0.975,0.006,4311,20,0,0.000
460000,870,4.688,0.070,14.49,48852,33597,27,15192,0,936,1612106.2,52626.1,0.138,0.145,0.168,0.241,0.308,1748,64.00,0.14,41.32,7.55,3.55,8.49,0.83,2.11,18.29,3.34,3.27,7.75,0.056,0.133,96,0.166,0.884,0.105,0.000,0.011,30448,11205,5,0.254,0.008,0.264,2385139,0.218,0.133,0.020,162.48,21424,9,3.46,0.975,0.006,4265,11,0,0.000
470000,858,4.657,0.073,14.52,49317,33733,42,15554,0,851,1610365.0,53823.9,0.135,0.142,0.165,0.245,0.314,1754,63.99,0.26,41.89,7.06,2.74,7.58,0.88,1.77,18.48,3.43,2.47,6.81,0.043,0.118,114,0.163,0.908,0.080,0.000,0.012,30965,11128,5,0.269,0.000,0.275,2366223,0.212,0.128,0.018,162.46,21524,8,3.46,0.975,0.005,4213,13,0,0.000
480000,861,4.713,0.069,14.58,49752,33315,39,16395,0,1109,1613698.6,56801.2,0.119,0.151,0.179,0.243,0.308,1709,64.00,0.11,40.46,8.15,4.74,9.26,0.72,1.46,18.07,3.03,4.47,8.77,0.074,0.145,99,0.196,0.847,0.139,0.000,0.014,32549,11756,5,0.279,0.085,0.236,1966315,0.226,0.132,0.021,162.12,22153,7,3.46,0.982,0.001,3917,13,0,0.000
490000,868,4.680,0.072,14.53,49401,33588,25,15781,0,1083,1610186.1,54334.8,0.116,0.154,0.186,0.239,0.306,1737,63.99,0.24,41.30,7.49,3.49,8.22,0.80,2.41,18.40,2.84,3.27,7.76,0.055,0.128,89,0.184,0.896,0.093,0.000,0.010,31147,10149,5,0.242,0.053,0.243,1965642,0.228,0.125,0.017,162.56,21652,9,3.44,0.974,0.001,3813,8,0,0.000
500000,876,4.640,0.062,14.53,49268,33123,37,16100,0,1097,1610151.1,55447.6,0.114,0.156,0.186,0.240,0.304,1775,64.00,0.08,41.87,7.24,3.04,7.78,0.71,1.75,18.38,3.36,2.83,7.29,0.048,0.122,84,0.183,0.893,0.090,0.000,0.017,30941,10344,5,0.304,0.000,0.215,1932127,0.226,0.123,0.015,162.57,21133,8,3.44,0.977,0.003,3906,26,0,0.000
510000,873,4.675,0.066,14.64,48786,32664,46,16079,0,1210,1613286.0,55629.5,0.116,0.154,0.183,0.244,0.303,1759,63.99,0.14,41.00,7.65,3.98,8.67,0.64,1.39,18.37,3.02,3.79,8.24,0.062,0.135,85,0.173,0.874,0.119,0.000,0.007,32770,11896,5,0.309,0.000,0.206,1860327,0.223,0.127,0.017,162.33,21240,7,3.46,0.984,0.000,3873,17,0,0.000
520000,866,4.727,0.063,14.55,49584,32802,30,16759,0,1206,1608878.4,57794.8,0.108,0.150,0.181,0.250,0.311,1735,63.99,0.26,41.60,7.41,3.45,8.17,0.59,1.54,18.35,2.97,3.22,7.65,0.054,0.128,97,0.199,0.873,0.110,0.000,0.017,33207,11759,5,0.267,0.000,0.204,1888835,0.219,0.122,0.016,162.12,22270,6,3.45,0.987,0.005,4326,16,0,0.000
530000,827,4.708,0.059,14.36,52535,35257,38,17279,0,1235,1609980.4,59724.1,0.090,0.167,0.183,0.246,0.314,1682,63.99,0.22,41.04,8.04,4.05,8.80,0.15,0.75,18.75,3.16,3.76,8.20,0.063,0.138,98,0.180,0.865,0.127,0.000,0.008,35896,13589,5,0.420,0.091,0.053,1148700,0.216,0.121,0.015,161.99,22222,6,3.46,0.984,0.002,4593,18,0,0.000
540000,853,4.630,0.055,14.36,52960,35841,75,17018,0,1129,1607698.5,58860.9,0.114,0.162,0.186,0.233,0.306,1771,64.00,0.14,40.68,8.11,4.64,9.14,0.11,1.06,18.57,2.77,4.38,8.68,0.073,0.143,93,0.234,0.848,0.137,0.000,0.015,35208,16502,4,0.423,0.000,0.028,349289,0.230,0.116,0.013,162.63,21752,7,3.46,0.983,0.007,4522,30,0,0.000
550000,849,4.571,0.062,14.24,54417,37067,57,17297,0,1324,1600238.1,60000.5,0.112,0.156,0.181,0.237,0.314,1762,64.00,0.00,41.09,8.28,4.32,9.05,0.05,0.41,18.54,2.79,4.02,8.45,0.068,0.141,106,0.311,0.869,0.122,0.000,0.008,36068,17646,4,0.464,0.000,0.025,334554,0.214,0.120,0.015,162.01,22037,6,3.47,0.985,0.007,4224,13,0,0.000
560000,856,4.557,0.067,14.30,52667,36048,45,16567,0,1202,1607086.1,57245.9,0.115,0.154,0.184,0.236,0.311,1814,63.99,0.32,41.25,7.86,4.00,8.63,0.24,1.40,18.50,2.97,3.78,8.19,0.062,0.135,115,0.186,0.871,0.118,0.000,0.011,33705,16313,4,0.470,0.000,0.057,395743,0.209,0.124,0.015,162.71,20977,8,3.46,0.979,0.006,4506,44,0,0.000
570000,853,4.575,0.064,14.22,53997,37079,49,16872,0,1356,1610473.5,58455.0,0.119,0.151,0.179,0.235,0.316,1737,64.00,0.10,41.52,7.40,3.57,8.24,0.47,1.19,18.44,2.68,3.35,7.75,0.056,0.129,114,0.195,0.876,0.108,0.000,0.016,33602,16321,4,0.463,0.000,0.198,593766,0.210,0.120,0.013,162.68,21407,9,3.46,0.974,0.002,4747,28,0,0.000
580000,856,4.580,0.063,14.29,51604,35087,42,16472,0,1123,1614088.6,56710.3,0.110,0.151,0.181,0.246,0.313,1851,63.99,0.12,41.18,7.50,3.80,8.53,0.42,1.19,18.60,2.90,3.59,8.07,0.059,0.133,89,0.159,0.875,0.109,0.000,0.016,34473,16438,4,0.477,0.000,0.180,1680247,0.198,0.122,0.016,162.40,20633,7,3.44,0.985,0.006,5557,25,0,0.000
590000,836,4.534,0.059,14.38,51862,34843,23,17016,0,1440,1614447.2,58552.1,0.106,0.152,0.184,0.246,0.312,1844,64.00,0.00,39.72,8.72,5.75,9.88,0.42,1.46,18.11,2.48,5.47,9.43,0.090,0.154,87,0.243,0.822,0.169,0.000,0.010,35700,18334,4,0.431,0.000,0.173,1470203,0.200,0.125,0.018,162.15,21048,5,3.44,0.990,0.001,5227,20,0,0.000
600000,873,4.579,0.060,14.27,49585,33326,53,16169,0,1124,1614132.1,55501.6,0.114,0.153,0.182,0.242,0.310,1867,63.99,0.09,41.54,7.60,3.61,8.41,0.52,1.58,18.31,2.55,3.36,7.80,0.056,0.131,102,0.176,0.873,0.117,0.000,0.010,33757,16759,4,0.439,0.000,0.219,1582288,0.201,0.121,0.016,162.52,20129,7,3.43,0.987,0.002,5120,28,0,0.000
610000,847,4.610,0.057,14.35,53455,36219,46,17216,0,1247,1613743.6,59476.0,0.117,0.147,0.177,0.243,0.316,1703,64.00,0.00,40.31,8.35,4.89,9.28,0.38,1.03,18.41,3.02,4.62,8.80,0.076,0.145,95,0.202,0.852,0.140,0.000,0.007,36528,18167,4,0.417,0.000,0.169,1465977,0.200,0.120,0.015,162.30,22084,6,3.45,0.985,0.002,5148,18,0,0.000
620000,831,4.653,0.050,14.63,55118,36394,62,18678,0,1610,1607617.9,64728.8,0.106,0.146,0.176,0.253,0.320,1634,64.00,0.00,38.56,9.57,7.31,10.64,0.31,1.10,17.81,2.82,6.96,10.15,0.114,0.166,94,0.312,0.791,0.196,0.000,0.013,40771,21959,4,0.375,0.057,0.160,1128392,0.190,0.115,0.014,160.76,23511,4,3.47,0.992,0.002,4849,10,0,0.000
