step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,890,4.317,0.081,9.09,71485,47606,0,24290,205,1447,1244441.8,77223.1,0.111,0.159,0.182,0.175,0.373,2836,60.84,12.01,38.55,10.05,1.54,4.79,0.06,0.98,20.69,4.90,1.48,4.47,0.024,0.076,178,0.099,0.907,0.075,0.000,0.018,37930,22612,3,0.730,0.218,0.011,199966,0.180,0.172,0.044,123.23,23726,29,3.18,0.817,0.004,2641,712,0,0.000
20000,909,4.225,0.073,9.41,87048,56247,2,29517,1263,236,1587375.9,57928.7,0.069,0.194,0.188,0.250,0.299,2195,57.82,15.24,35.35,11.96,1.95,5.76,0.15,1.15,20.38,5.90,1.95,5.76,0.030,0.090,175,0.102,0.903,0.081,0.000,0.015,54771,24805,5,0.532,0.044,0.050,378509,0.162,0.142,0.026,158.74,30444,39,1.96,0.754,0.000,1955,77,0,0.000
30000,857,4.444,0.079,9.30,92991,54168,27,37254,1594,166,1600803.1,70248.0,0.054,0.196,0.216,0.240,0.294,1744,63.07,2.23,40.16,5.96,0.98,3.78,0.26,2.19,21.67,5.80,0.98,3.78,0.015,0.059,137,0.175,0.945,0.043,0.000,0.012,56305,26556,5,0.417,0.002,0.048,836260,0.174,0.149,0.030,159.88,33204,39,1.89,0.760,0.001,2260,449,0,0.000
40000,984,3.991,0.073,9.33,81579,55730,65,24041,1616,427,1593290.1,44354.0,0.057,0.200,0.211,0.253,0.279,2156,54.57,19.90,34.05,14.98,1.71,5.36,0.08,0.65,18.73,6.70,1.68,5.33,0.029,0.095,177,0.119,0.885,0.095,0.000,0.020,53282,27653,6,0.289,0.033,0.035,429986,0.175,0.141,0.024,158.98,28805,51,1.84,0.678,0.012,1692,1524,0,0.000
50000,912,4.280,0.081,9.32,90071,52594,38,35021,2490,1036,1592206.6,59077.8,0.052,0.197,0.201,0.267,0.283,1916,58.83,15.10,37.24,11.63,1.01,3.50,0.51,2.67,20.07,5.81,0.94,3.24,0.017,0.059,180,0.137,0.872,0.104,0.000,0.024,55834,28066,7,0.201,0.019,0.178,872221,0.105,0.149,0.029,159.92,30747,49,1.69,0.691,0.000,1715,4992,0,0.000
60000,949,4.125,0.071,9.61,70755,57466,19,12872,361,865,1592917.6,24158.1,0.074,0.183,0.160,0.269,0.314,2240,57.23,8.10,33.11,6.89,1.36,2.65,0.42,1.68,22.35,6.94,1.30,2.37,0.026,0.049,202,0.098,0.915,0.068,0.000,0.017,43919,20692,5,0.394,0.145,0.241,1859288,0.122,0.142,0.025,160.40,24784,81,1.88,0.604,0.002,1542,4631,0,0.000
70000,1061,3.793,0.059,9.77,92850,62986,15,29492,245,563,1596348.6,68750.4,0.081,0.159,0.140,0.258,0.361,1701,51.19,17.79,29.60,12.32,0.85,3.03,0.69,2.83,20.05,8.05,0.85,3.01,0.014,0.049,205,0.186,0.901,0.076,0.000,0.023,60896,32549,7,0.580,0.194,0.246,2861912,0.142,0.125,0.016,160.73,32986,68,2.33,0.651,0.007,7949,2709,0,0.000
80000,972,3.901,0.062,10.02,92570,58775,8,32791,1085,283,1612843.6,61915.6,0.048,0.167,0.197,0.269,0.320,1550,56.10,12.68,32.69,9.91,1.84,4.43,0.60,1.63,20.96,5.52,1.81,4.39,0.029,0.071,220,0.152,0.830,0.135,0.000,0.035,59606,26695,6,0.533,0.086,0.170,2290905,0.160,0.133,0.022,161.83,32700,58,1.89,0.663,0.016,4938,748,0,0.000
90000,1023,3.854,0.056,9.77,80453,56912,9,22540,941,273,1613100.0,41509.2,0.058,0.157,0.181,0.281,0.323,1869,52.72,18.33,29.46,12.28,0.91,2.83,0.42,1.71,21.94,7.96,0.78,2.32,0.018,0.067,250,0.149,0.866,0.116,0.000,0.018,51423,22151,7,0.344,0.108,0.109,1693944,0.222,0.116,0.014,162.20,27085,56,1.84,0.663,0.008,3738,4356,0,0.000
100000,1058,3.777,0.062,9.88,76876,62987,14,13650,190,305,1612317.4,31516.8,0.100,0.183,0.214,0.246,0.257,1876,50.99,18.47,28.05,11.78,1.21,3.76,0.39,2.77,21.34,8.53,1.19,3.68,0.019,0.059,293,0.127,0.886,0.080,0.000,0.034,50464,25944,5,0.423,0.065,0.063,903338,0.184,0.125,0.018,162.32,26078,68,2.31,0.633,0.026,3133,2182,0,0.000
