step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
5000,1,778,35.1,1.1,0.0,26.0,1.0,95,182,41.04,0.49
6000,1,755,32.3,0.5,0.1,28.0,0.2,134,152,34.62,0.05
7000,1,766,35.1,0.4,0.0,27.4,0.3,106,180,41.04,0.04
7000,3,63,31.4,14.8,0.0,17.8,14.7,6,146,28.73,7.70
8000,1,733,34.4,0.2,0.0,28.1,0.1,123,174,39.11,0.07
8000,3,90,31.3,14.7,0.1,17.9,14.7,10,99,19.68,7.42
9000,1,764,34.6,0.3,0.0,28.0,0.2,140,169,39.12,0.06
9000,3,58,30.6,15.4,0.1,17.9,14.2,10,111,21.40,7.30
10000,1,852,34.4,0.4,0.0,27.8,0.3,141,161,37.00,0.12
10000,3,25,31.5,14.7,0.0,17.8,14.7,3,145,27.68,11.07
11000,1,492,32.3,0.6,0.0,30.5,0.4,79,146,34.91,0.20
11000,3,30,30.5,15.6,0.0,17.9,15.6,3,140,26.70,8.32
12000,1,414,32.2,0.7,0.0,30.5,0.5,56,151,35.79,0.18
12000,3,26,30.4,15.5,0.0,18.0,15.5,4,153,30.19,7.98
13000,1,504,32.5,1.4,0.0,29.8,1.0,82,163,38.09,0.44
13000,3,26,28.9,17.3,0.0,17.8,15.4,2,179,33.96,9.09
14000,1,352,33.2,0.5,0.0,29.9,0.4,34,166,39.36,0.20
14000,3,73,30.5,16.3,0.0,17.2,15.1,7,112,21.73,7.07
15000,6,577,33.5,0.3,0.0,22.4,0.3,145,208,39.12,0.12
15000,1,346,31.8,0.5,0.0,30.1,0.4,54,158,37.03,0.14
15000,3,23,30.8,16.0,0.0,17.2,16.0,2,140,26.29,8.77
16000,6,659,32.6,0.3,0.0,22.8,0.3,150,226,42.33,0.11
16000,1,301,31.2,0.7,0.0,30.9,0.3,62,148,33.65,0.07
16000,3,14,32.4,13.2,0.0,18.2,13.2,5,70,12.64,5.56
17000,6,711,31.9,0.2,0.0,23.6,0.1,165,233,43.13,0.02
17000,1,176,31.3,0.5,0.0,30.8,0.4,40,181,41.34,0.26
