step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,840,4.327,0.078,8.12,80517,59892,1,21000,290,1299,1495394.5,58517.1,0.068,0.256,0.327,0.179,0.170,2665,63.49,2.83,34.60,5.15,2.14,5.02,0.21,1.27,26.53,6.49,2.00,4.64,0.034,0.079,203,0.065,0.900,0.076,0.000,0.024,46378,25101,2,0.939,0.014,0.058,708211,0.190,0.165,0.039,148.70,24867,44,2.79,0.750,0.006,2304,1307,6214,0.190
20000,947,4.037,0.081,9.24,64675,51255,7,13083,223,390,1563571.6,38759.1,0.024,0.245,0.358,0.163,0.210,3045,52.46,22.30,30.44,15.91,2.33,7.06,0.61,1.68,19.08,7.77,1.81,5.52,0.039,0.118,201,0.092,0.903,0.077,0.000,0.020,37656,16609,5,0.286,0.316,0.181,914262,0.182,0.163,0.037,156.72,21381,48,2.96,0.768,0.006,1749,152,2643,0.210
30000,823,4.601,0.085,10.65,75446,51105,3,23972,490,501,1591218.9,65798.4,0.008,0.262,0.366,0.166,0.198,2146,63.56,2.72,39.72,7.74,3.03,7.61,0.28,0.91,20.53,4.67,2.71,6.78,0.048,0.119,159,0.125,0.899,0.084,0.000,0.017,42832,21206,5,0.159,0.586,0.154,1898084,0.117,0.161,0.037,159.02,26758,46,2.74,0.761,0.024,2773,418,4211,0.183
40000,889,4.342,0.066,11.23,72618,56355,17,15935,245,549,1616375.1,40596.5,0.024,0.183,0.232,0.322,0.239,1749,60.09,8.51,36.81,9.21,1.01,4.30,0.26,1.33,22.01,5.14,0.84,3.55,0.017,0.069,217,0.155,0.937,0.044,0.000,0.019,46149,20768,5,0.393,0.232,0.143,1207668,0.087,0.121,0.013,161.86,28503,49,2.55,0.738,0.006,2431,202,4117,0.114
50000,984,3.875,0.061,10.93,70750,56326,12,14127,190,510,1616157.8,36443.7,0.031,0.181,0.225,0.325,0.237,1883,55.32,8.51,33.54,8.34,1.81,4.32,0.16,1.06,19.81,3.59,1.61,3.78,0.034,0.072,230,0.182,0.900,0.089,0.000,0.010,45731,25749,6,0.459,0.040,0.063,694882,0.085,0.116,0.013,162.39,27302,56,2.58,0.735,0.004,963,49,1220,0.148
60000,811,4.574,0.073,10.76,68885,52544,7,16456,51,912,1606483.0,50733.3,0.015,0.198,0.252,0.304,0.231,2031,63.13,4.76,41.34,8.43,2.89,7.49,0.01,0.28,18.89,2.87,2.69,7.01,0.047,0.123,129,0.289,0.890,0.086,0.000,0.023,43358,27891,2,0.878,0.000,0.001,747942,0.131,0.139,0.024,161.34,25597,55,3.08,0.775,0.014,986,18,1203,0.170
70000,864,4.303,0.062,10.43,59642,46779,11,12784,15,351,1592123.8,42686.9,0.046,0.216,0.251,0.276,0.211,2681,63.85,1.82,42.48,6.38,1.93,6.33,0.00,0.00,19.45,2.64,1.83,6.04,0.031,0.100,72,0.266,0.926,0.064,0.000,0.010,39913,20831,3,0.663,0.000,0.000,17233,0.196,0.117,0.013,161.74,20001,23,3.34,0.886,0.001,320,1,278,0.209
80000,861,4.401,0.063,10.42,55080,44686,13,10369,15,207,1598112.6,34108.8,0.060,0.206,0.235,0.275,0.223,2818,63.27,4.43,42.02,7.38,1.64,5.95,0.02,0.35,19.60,2.57,1.51,5.49,0.026,0.093,85,0.273,0.936,0.044,0.000,0.020,37937,18886,3,0.620,0.000,0.003,22330,0.190,0.123,0.016,162.44,17878,20,3.29,0.904,0.007,344,15,350,0.123
90000,881,4.372,0.064,10.44,56882,45649,21,11186,6,259,1595919.0,38024.5,0.050,0.204,0.236,0.282,0.227,2613,63.62,3.15,42.48,6.98,1.42,5.54,0.02,0.35,19.69,3.38,1.32,5.13,0.022,0.087,99,0.279,0.941,0.040,0.000,0.019,38791,18389,3,0.498,0.092,0.003,9118,0.219,0.124,0.017,162.32,19049,16,3.40,0.917,0.001,273,6,215,0.214
100000,877,4.330,0.077,10.42,58533,44200,5,14251,81,546,1615597.2,44980.0,0.076,0.205,0.228,0.268,0.223,2367,57.63,17.74,36.77,15.52,4.49,9.13,0.02,0.46,16.35,4.19,4.43,9.04,0.071,0.144,115,0.291,0.844,0.140,0.000,0.016,40175,18445,5,0.257,0.129,0.003,26632,0.188,0.150,0.029,160.67,20187,43,3.16,0.805,0.038,370,13,375,0.200
