step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,776,4.523,0.095,7.76,75109,53575,0,22236,66,2247,1373768.2,74391.0,0.051,0.092,0.120,0.373,0.364,2598,62.87,4.04,33.48,7.87,3.04,6.14,0.46,2.66,25.88,6.85,2.66,5.05,0.048,0.096,176,0.214,0.841,0.126,0.000,0.032,36989,23430,2,0.543,0.237,0.046,1621419,0.135,0.194,0.052,136.58,23299,40,3.35,0.777,0.017,7137,3809,16730,0.197
20000,894,4.131,0.084,10.99,68869,54685,3,14040,23,1468,1542022.8,44515.8,0.077,0.117,0.140,0.325,0.341,2211,59.92,5.37,33.07,5.46,2.45,5.29,0.29,1.35,24.10,4.65,2.40,5.16,0.039,0.083,223,0.083,0.879,0.100,0.000,0.021,38364,18610,4,0.559,0.303,0.111,900732,0.174,0.163,0.037,154.57,24735,45,3.17,0.755,0.002,3389,995,5995,0.218
30000,813,4.611,0.104,10.89,62829,46715,5,16185,5,1090,1529722.4,54497.7,0.055,0.111,0.182,0.317,0.335,1900,62.58,2.29,37.78,7.26,4.29,8.27,0.19,1.80,20.32,3.39,3.77,6.97,0.067,0.129,149,0.185,0.857,0.130,0.000,0.012,35500,17848,4,0.320,0.258,0.031,375246,0.172,0.183,0.050,153.75,24607,37,3.37,0.821,0.005,3283,253,4077,0.234
40000,838,4.481,0.100,11.44,60620,47113,1,13478,3,796,1553416.9,44916.9,0.053,0.118,0.195,0.294,0.341,2069,62.23,3.16,37.88,7.05,4.13,8.08,0.14,1.20,20.08,4.08,3.65,6.95,0.065,0.127,174,0.131,0.877,0.095,0.000,0.027,34953,18029,4,0.260,0.273,0.029,279506,0.176,0.180,0.050,156.08,22472,20,3.33,0.880,0.001,2833,184,3277,0.227
50000,736,4.517,0.143,11.53,59767,43258,1,16605,5,933,1503831.8,56692.6,0.049,0.113,0.187,0.300,0.352,2087,62.91,2.35,38.41,8.66,6.05,9.36,0.06,0.79,18.39,3.60,5.63,8.63,0.095,0.147,133,0.143,0.834,0.158,0.000,0.008,33538,17014,5,0.371,0.000,0.019,242089,0.174,0.243,0.100,149.85,22459,34,3.41,0.826,0.005,2922,161,3398,0.202
60000,800,4.646,0.118,12.57,56472,40536,6,15862,4,914,1458325.5,53865.3,0.037,0.101,0.181,0.317,0.364,1856,62.64,3.17,40.40,6.99,3.11,7.26,0.08,0.94,19.05,3.66,2.92,6.76,0.049,0.114,147,0.119,0.897,0.085,0.000,0.018,31202,16868,5,0.415,0.006,0.016,274236,0.167,0.206,0.069,145.59,23118,45,3.40,0.791,0.001,2691,100,3267,0.199
70000,825,4.553,0.104,12.98,58986,44182,10,14760,9,715,1497835.1,49090.5,0.037,0.122,0.204,0.304,0.334,1657,62.78,3.67,40.21,8.17,3.07,7.70,0.09,1.04,19.42,3.92,2.70,6.72,0.049,0.122,162,0.155,0.901,0.081,0.000,0.018,33313,16689,7,0.404,0.166,0.021,189056,0.206,0.191,0.055,150.73,24559,31,3.33,0.839,0.004,2743,135,3425,0.210
80000,792,4.644,0.113,13.78,61638,44534,2,17114,21,909,1479854.0,57440.9,0.025,0.146,0.256,0.282,0.291,1628,63.44,3.48,41.22,8.05,3.69,8.34,0.07,1.15,18.45,3.45,3.47,7.79,0.058,0.131,121,0.256,0.907,0.080,0.000,0.014,34464,17773,4,0.415,0.000,0.009,185187,0.246,0.208,0.065,149.19,25266,30,3.36,0.838,0.006,3061,219,3866,0.264
90000,784,4.526,0.101,14.10,60075,44997,3,15079,4,882,1496778.4,51498.8,0.031,0.151,0.233,0.291,0.293,1487,63.74,1.67,40.93,8.60,4.14,8.87,0.22,1.74,18.45,3.78,3.91,8.35,0.065,0.139,105,0.349,0.870,0.114,0.000,0.017,35473,17856,4,0.570,0.051,0.027,141803,0.238,0.189,0.053,151.11,26229,18,3.42,0.895,0.008,3094,126,3518,0.227
100000,871,4.453,0.102,13.64,90478,46751,0,41293,2347,1103,1509957.1,87923.8,0.037,0.158,0.249,0.273,0.282,956,59.31,15.45,38.25,13.97,3.55,8.22,0.15,1.42,17.35,4.54,3.35,7.76,0.056,0.129,144,0.274,0.876,0.111,0.000,0.013,54957,27241,4,0.498,0.082,0.020,268260,0.233,0.185,0.054,152.36,42945,36,2.13,0.763,0.007,5787,1387,9411,0.243
110000,844,4.482,0.106,13.31,101930,47138,0,52742,2077,876,1509009.9,99579.3,0.085,0.166,0.271,0.231,0.248,883,61.23,10.22,38.13,12.76,4.43,9.01,0.45,2.50,18.22,3.90,4.09,8.35,0.070,0.143,160,0.173,0.851,0.134,0.000,0.015,67402,33406,4,0.422,0.275,0.041,384390,0.223,0.189,0.055,152.17,48381,41,1.89,0.733,0.006,6975,1862,14462,0.221
120000,921,4.207,0.085,13.63,81573,46453,0,33574,1469,1085,1526702.4,72534.9,0.087,0.141,0.249,0.255,0.268,1109,54.88,19.87,33.96,17.36,3.61,8.22,0.22,1.83,17.10,5.05,3.36,7.83,0.058,0.132,180,0.148,0.862,0.116,0.000,0.022,51892,24079,6,0.236,0.349,0.052,351176,0.172,0.171,0.040,154.05,37855,41,2.16,0.746,0.010,4603,989,8617,0.224
130000,884,4.446,0.086,13.72,63689,44640,4,18764,318,670,1546712.0,55434.7,0.082,0.137,0.239,0.264,0.278,1442,59.72,12.95,37.25,13.23,3.74,8.45,0.29,1.73,18.44,3.82,3.46,7.88,0.059,0.132,159,0.296,0.856,0.120,0.000,0.024,40021,13425,8,0.181,0.212,0.088,867399,0.134,0.169,0.042,156.23,28658,29,2.95,0.829,0.018,5265,582,8428,0.266
140000,1094,3.727,0.077,13.33,118854,49039,1,66008,3596,1212,1542955.9,119330.3,0.105,0.119,0.217,0.266,0.292,852,47.59,24.97,27.88,19.59,3.82,8.50,0.09,0.87,15.80,6.15,3.66,8.13,0.061,0.134,168,0.208,0.841,0.142,0.000,0.017,75755,34541,8,0.160,0.196,0.016,498819,0.154,0.161,0.035,156.01,52303,39,1.81,0.744,0.025,6077,3624,13591,0.249
150000,1005,4.074,0.082,13.47,129940,49732,3,75207,5087,1158,1557318.6,122855.8,0.107,0.104,0.160,0.312,0.316,900,52.78,22.29,32.89,17.94,3.53,8.22,0.33,1.34,16.03,5.40,3.39,7.87,0.056,0.129,138,0.149,0.865,0.116,0.000,0.019,86534,44372,6,0.413,0.236,0.115,647450,0.181,0.162,0.039,156.93,53565,45,1.63,0.720,0.007,8377,2675,17039,0.221
