step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat,lineage
100000,64,42,0,0,22,0,0.000,493,5.78,103.25,0.00,231
100000,63,43,0,0,20,0,0.000,493,6.77,120.10,0.00,231
100000,62,43,0,1,18,0,0.000,492,6.76,109.60,0.00,231
100000,64,42,0,0,22,0,0.000,492,6.42,104.09,0.00,231
100000,63,43,0,0,20,0,0.000,488,6.01,97.78,0.00,231
100000,64,42,0,0,22,0,0.000,481,2.99,110.12,0.00,202
100000,64,44,0,0,20,0,0.000,479,4.41,100.34,0.00,231
100000,64,42,0,1,21,0,0.000,478,7.25,127.65,0.00,231
100000,64,43,0,0,21,0,0.000,467,7.14,126.17,0.00,231
100000,61,42,0,1,18,0,0.000,466,5.89,111.00,0.00,231
100000,64,21,21,0,22,21,0.328,459,3.35,66.43,52.00,146
100000,64,42,0,0,22,0,0.000,458,5.49,98.59,0.00,202
100000,64,21,21,0,22,21,0.328,455,3.06,84.19,32.15,146
100000,64,21,21,0,22,21,0.328,452,4.99,70.35,39.76,146
100000,64,43,0,0,21,0,0.000,451,1.30,87.58,0.00,231
100000,64,43,0,0,21,0,0.000,450,7.69,106.49,0.00,231
100000,4,0,0,0,4,0,0.000,450,1.75,15.65,0.00,246
100000,64,42,0,1,21,0,0.000,445,2.31,125.36,0.00,231
100000,64,43,0,0,21,0,0.000,445,4.87,104.20,0.00,202
100000,64,43,0,0,21,0,0.000,437,6.48,102.58,0.00,231
100000,64,42,0,1,21,0,0.000,434,6.61,106.25,0.00,231
100000,64,42,0,0,22,0,0.000,431,8.11,128.00,0.00,231
100000,64,42,0,0,22,0,0.000,427,5.42,105.66,0.00,202
100000,64,42,0,1,21,0,0.000,426,1.16,103.63,0.00,231
100000,64,42,0,0,22,0,0.000,426,5.70,134.11,0.00,231
100000,61,29,0,0,32,0,0.000,424,3.32,74.85,0.00,202
100000,64,42,0,0,22,0,0.000,423,4.82,94.93,0.00,202
100000,64,42,0,0,22,0,0.000,422,7.17,96.03,0.00,231
100000,64,42,0,1,21,0,0.000,420,3.13,95.83,0.00,231
100000,64,42,0,0,22,0,0.000,410,4.48,112.15,0.00,231
100000,64,43,0,0,21,0,0.000,410,7.31,87.17,0.00,202
100000,64,43,0,0,21,0,0.000,402,0.96,92.12,0.00,202
100000,64,42,0,0,22,0,0.000,402,7.17,92.04,0.00,231
100000,64,42,0,0,22,0,0.000,400,1.36,77.75,0.00,231
100000,64,47,0,4,13,0,0.000,399,6.20,78.60,0.00,231
100000,64,43,0,0,21,0,0.000,399,6.62,95.32,0.00,231
100000,64,42,0,0,22,0,0.000,399,4.81,86.66,0.00,202
100000,64,42,0,0,22,0,0.000,397,5.89,91.05,0.00,202
100000,64,42,0,0,22,0,0.000,396,6.71,103.23,0.00,202
100000,64,43,0,0,21,0,0.000,395,6.91,85.28,0.00,202
100000,64,44,0,0,20,0,0.000,395,5.58,90.88,0.00,202
100000,64,42,0,0,22,0,0.000,395,4.19,85.33,0.00,202
100000,64,42,0,0,22,0,0.000,394,7.84,89.76,0.00,202
100000,64,42,0,0,22,0,0.000,393,6.67,94.61,0.00,231
100000,3,0,0,0,3,0,0.000,392,1.33,16.34,0.00,246
