step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,765,4.277,0.082,7.50,79922,61793,0,18857,35,2724,1357571.4,65577.6,0.098,0.312,0.397,0.123,0.070,3364,63.98,0.49,38.52,6.67,4.21,7.59,0.01,0.11,21.24,4.08,4.17,7.53,0.066,0.119,84,0.229,0.855,0.112,0.000,0.033,45433,27533,1,0.468,0.532,0.003,0,0.000,0.196,0.055,133.48,21174,14,3.48,0.931,0.000,2859,936,0,0.000
20000,769,4.617,0.077,8.75,70662,54865,0,15793,0,1061,1497321.9,57671.1,0.105,0.297,0.422,0.106,0.070,3289,63.99,0.15,39.31,7.36,3.35,7.42,0.03,0.56,21.31,4.99,3.19,7.13,0.052,0.116,121,0.099,0.893,0.086,0.000,0.021,43044,23326,2,0.545,0.000,0.004,0,0.000,0.182,0.049,149.03,21989,23,3.65,0.895,0.031,960,34,0,0.000
30000,811,4.628,0.081,9.43,63824,49897,3,13882,0,802,1545062.5,50086.4,0.142,0.304,0.357,0.108,0.089,2720,63.99,0.28,37.63,8.92,5.58,9.17,0.05,1.08,20.73,1.86,5.55,9.14,0.087,0.143,88,0.256,0.851,0.137,0.000,0.012,37594,16576,2,0.465,0.383,0.004,0,0.000,0.184,0.050,154.37,21963,24,3.61,0.888,0.006,1265,32,0,0.000
40000,832,4.617,0.103,9.62,58059,45159,8,12871,0,998,1544833.5,45127.0,0.170,0.303,0.332,0.100,0.096,2721,63.99,0.19,37.86,8.98,5.62,9.03,0.04,0.98,20.47,2.32,5.59,8.99,0.088,0.141,103,0.250,0.837,0.149,0.000,0.014,30720,12286,2,0.349,0.393,0.002,0,0.000,0.187,0.051,156.60,20703,10,3.51,0.965,0.004,1977,27,0,0.000
50000,854,4.725,0.081,9.89,62430,48789,1,13618,0,839,1552257.9,48077.7,0.168,0.275,0.292,0.124,0.141,2219,63.98,0.42,40.14,7.79,3.36,7.64,0.01,0.21,20.47,2.65,3.32,7.51,0.053,0.119,92,0.160,0.898,0.090,0.000,0.012,31835,12511,6,0.482,0.000,0.001,0,0.000,0.159,0.037,156.96,23091,12,3.53,0.950,0.002,2099,26,0,0.000
60000,836,4.723,0.094,9.87,63762,49641,2,14136,1,573,1571715.9,50419.7,0.189,0.252,0.251,0.141,0.167,2428,63.95,0.67,39.15,7.76,3.64,7.82,0.05,0.82,21.11,2.47,3.60,7.77,0.057,0.122,125,0.163,0.878,0.097,0.000,0.025,34050,12489,4,0.303,0.209,0.006,0,0.000,0.177,0.047,158.38,24207,16,3.57,0.933,0.001,2286,34,0,0.000
70000,871,4.480,0.088,9.87,64996,50138,1,14822,0,715,1584135.2,52620.9,0.194,0.233,0.226,0.153,0.194,2414,63.99,0.24,39.33,8.01,3.92,8.09,0.01,0.12,20.73,2.28,3.88,8.00,0.061,0.126,111,0.173,0.875,0.109,0.000,0.016,34556,12196,8,0.309,0.034,0.006,0,0.000,0.168,0.042,158.88,24187,12,3.55,0.949,0.005,2768,90,0,0.000
80000,866,4.532,0.095,10.03,65732,51071,0,14666,0,623,1580044.5,51976.2,0.211,0.221,0.217,0.153,0.199,2373,63.93,0.55,40.11,7.79,2.63,6.96,0.15,2.11,21.04,4.32,2.50,6.57,0.041,0.109,158,0.167,0.906,0.070,0.000,0.023,34729,14674,6,0.333,0.025,0.018,0,0.000,0.175,0.047,158.55,23579,12,3.54,0.948,0.007,3241,85,0,0.000
90000,857,4.732,0.094,10.00,70710,54308,0,16411,0,775,1578168.2,58610.7,0.214,0.224,0.229,0.140,0.193,2138,63.95,0.42,39.79,7.70,3.10,7.40,0.10,1.38,20.95,3.42,3.02,7.19,0.049,0.116,149,0.172,0.896,0.083,0.000,0.021,36718,15832,5,0.313,0.000,0.013,0,0.000,0.167,0.042,158.18,26265,16,3.57,0.925,0.004,3469,133,0,0.000
100000,844,4.619,0.097,9.92,70008,52421,1,17599,0,861,1567116.8,63033.4,0.208,0.211,0.213,0.155,0.214,2074,63.99,0.15,39.52,8.62,4.08,8.39,0.14,1.62,20.24,3.47,3.96,8.14,0.064,0.131,140,0.188,0.861,0.120,0.000,0.019,36461,14136,4,0.355,0.000,0.015,0,0.000,0.185,0.051,157.78,26095,22,3.58,0.901,0.013,3851,69,0,0.000
