step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
5000,1,644,41.1,0.4,0.0,22.4,0.3,82,106,26.19,0.02
6000,1,762,38.9,4.3,0.0,20.8,4.2,94,89,22.28,0.80
7000,1,576,41.1,0.8,0.1,22.0,0.7,87,102,25.34,0.07
8000,1,592,40.7,1.1,0.1,22.0,0.7,113,109,26.84,0.06
9000,1,581,41.1,0.7,0.0,22.2,0.6,96,108,26.50,0.04
10000,1,358,40.2,0.2,0.0,23.6,0.1,29,100,24.50,0.01
11000,1,294,39.9,0.3,0.1,23.7,0.1,37,99,24.83,0.00
11000,4,158,26.7,19.8,0.0,17.5,19.3,13,123,28.22,4.20
12000,4,196,26.7,19.5,0.0,17.8,19.4,7,103,23.60,3.77
12000,1,149,40.8,0.1,0.0,23.2,0.1,17,109,26.36,0.00
13000,4,158,29.1,16.0,0.0,18.9,15.9,9,97,22.05,3.73
14000,4,398,38.9,4.9,0.0,20.1,4.2,37,99,24.23,1.78
14000,6,347,43.6,0.4,0.0,20.1,0.3,69,104,25.60,0.01
15000,6,459,41.9,0.1,0.0,22.0,0.1,59,152,36.50,0.01
15000,4,343,36.4,7.5,0.0,20.0,7.3,24,122,28.88,1.89
16000,6,538,41.0,0.4,0.0,22.5,0.2,81,157,37.59,0.03
16000,4,257,37.1,6.7,0.0,20.2,6.5,23,118,27.14,2.21
17000,6,531,40.8,0.1,0.0,23.1,0.1,67,168,41.09,0.00
17000,4,264,36.2,8.0,0.0,19.7,7.7,28,147,33.65,2.61
18000,6,452,39.4,0.0,0.0,24.5,0.0,54,170,40.79,0.00
18000,4,333,36.3,6.4,0.1,21.2,6.0,32,139,31.59,2.22
19000,6,528,40.4,0.2,0.0,23.4,0.1,67,150,35.02,0.01
19000,4,296,37.6,5.8,0.0,20.5,5.3,40,142,31.49,2.22
20000,4,419,38.8,5.7,0.1,19.4,5.5,64,108,25.24,2.14
20000,6,350,39.9,0.5,0.0,23.6,0.4,59,125,29.35,0.13
21000,6,407,40.8,0.1,0.0,23.1,0.1,44,182,43.96,0.01
21000,4,276,36.5,7.6,0.1,19.7,7.5,38,146,32.86,2.60
22000,4,403,38.0,5.6,0.0,20.4,5.2,46,134,31.68,1.99
22000,6,218,40.9,0.2,0.0,22.9,0.2,29,206,47.64,0.02
23000,4,465,38.9,4.3,0.1,20.6,4.2,70,141,32.39,1.47
23000,6,94,40.6,0.1,0.0,23.3,0.1,18,178,42.12,0.00
24000,4,438,38.8,4.1,0.0,21.0,4.0,56,147,33.86,1.47
24000,6,61,40.4,0.1,0.0,23.5,0.1,15,139,32.49,0.00
25000,4,468,38.6,4.3,0.0,21.0,4.3,55,140,32.31,1.34
25000,9,315,40.7,0.1,0.0,23.1,0.1,35,253,57.49,0.00
25000,6,45,40.9,0.0,0.1,23.1,0.0,7,143,34.44,0.00
26000,4,480,38.6,4.1,0.1,21.2,3.9,71,149,34.14,1.33
26000,9,323,41.2,0.1,0.0,22.7,0.1,41,234,52.24,0.00
26000,6,33,40.3,0.0,0.0,23.7,0.0,5,163,36.91,0.00
27000,4,483,38.3,4.3,0.0,21.4,4.2,72,148,34.01,1.41
27000,9,298,41.0,0.1,0.1,22.9,0.1,31,256,56.41,0.01
27000,6,54,40.3,0.0,0.0,23.7,0.0,12,142,34.37,0.00
28000,4,323,41.5,0.1,0.0,22.4,0.1,56,140,33.30,0.00
28000,9,296,41.0,0.4,0.0,22.6,0.3,40,241,53.27,0.03
28000,6,29,41.1,0.3,0.0,22.6,0.3,7,188,45.46,0.12
29000,9,397,32.2,11.1,0.0,20.7,11.0,26,257,54.64,3.72
29000,4,235,43.7,0.1,0.0,20.2,0.1,32,160,38.04,0.00
30000,9,377,31.7,11.7,0.0,20.7,11.7,21,248,53.41,3.22
30000,4,123,43.2,0.3,0.2,20.3,0.1,25,152,37.01,0.00
31000,9,420,31.5,11.9,0.0,20.6,11.9,21,253,54.53,3.30
31000,4,98,43.3,0.2,0.0,20.4,0.2,24,155,37.52,0.00
32000,9,344,31.2,12.0,0.0,20.7,12.0,15,265,56.69,2.78
32000,4,132,43.3,0.3,0.3,20.2,0.1,34,157,36.82,0.00
33000,13,396,42.9,0.4,0.1,20.6,0.4,73,202,47.33,0.04
33000,9,393,31.5,11.8,0.0,20.7,11.8,15,273,57.41,2.84
33000,4,65,43.6,0.0,0.0,20.4,0.0,16,182,43.30,0.00
34000,9,443,30.1,13.3,0.0,20.7,13.3,12,244,52.24,3.14
34000,13,384,42.8,0.5,0.0,20.7,0.4,81,190,43.98,0.04
34000,4,27,43.3,0.0,0.0,20.7,0.0,5,144,32.96,0.00
35000,13,450,42.6,0.7,0.0,20.6,0.5,69,165,37.85,0.04
35000,9,368,33.1,9.9,0.0,20.9,9.9,16,256,55.47,2.98
35000,4,5,42.4,0.0,0.0,21.6,0.0,2,131,32.85,0.00
36000,13,528,42.5,0.5,0.2,20.8,0.4,90,164,38.24,0.05
36000,9,273,31.2,11.9,0.0,20.9,11.8,13,251,51.26,3.69
37000,13,427,42.6,0.7,0.0,20.7,0.6,80,157,36.26,0.02
37000,9,290,31.7,11.5,0.0,20.8,11.5,16,279,59.57,3.03
38000,13,433,42.6,0.7,0.1,20.6,0.4,78,131,30.86,0.01
38000,9,228,24.3,19.6,0.0,20.1,19.6,3,214,44.10,5.06
39000,13,237,43.1,0.8,0.0,20.2,0.6,38,136,32.09,0.03
39000,9,211,23.0,21.0,0.0,20.0,21.0,1,209,42.21,5.12
40000,13,290,42.9,0.7,0.1,20.3,0.6,52,137,31.74,0.05
40000,9,215,23.5,20.4,0.0,20.1,20.4,3,210,42.89,5.69
41000,9,225,24.1,19.9,0.0,20.0,19.4,6,217,44.08,5.70
41000,13,134,43.3,0.6,0.0,20.1,0.6,25,168,38.35,0.11
41000,20,113,42.5,0.1,0.0,21.4,0.1,20,148,35.65,0.00
41000,19,82,43.9,0.0,0.0,20.1,0.0,22,210,46.63,0.00
42000,9,228,23.2,20.7,0.1,20.0,20.5,5,253,51.29,6.07
42000,20,164,42.8,0.4,0.0,20.8,0.3,30,157,36.71,0.00
42000,19,103,44.0,0.0,0.0,19.7,0.0,30,176,40.68,0.00
42000,21,87,42.4,0.0,0.0,21.6,0.0,6,250,55.82,0.00
42000,13,75,42.2,0.7,0.1,21.0,0.7,12,173,40.06,0.00
43000,19,173,43.5,0.1,0.1,20.0,0.1,36,163,37.03,0.00
43000,9,160,24.3,19.6,0.0,20.1,19.6,4,217,43.45,4.53
43000,20,155,42.9,0.3,0.0,20.8,0.3,18,169,39.42,0.00
43000,21,95,42.5,0.1,0.2,21.3,0.1,6,195,45.50,0.00
43000,13,19,40.9,2.7,0.0,20.3,0.0,5,181,42.49,0.00
44000,9,179,23.0,21.1,0.0,19.9,21.0,2,187,38.26,5.47
44000,19,177,43.1,0.1,0.0,20.3,0.0,39,186,42.35,0.00
44000,20,157,42.7,0.5,0.1,20.7,0.5,22,153,35.74,0.05
44000,24,70,42.3,0.4,0.3,21.1,0.2,14,180,40.15,0.00
44000,21,61,41.9,0.0,0.0,22.0,0.0,4,271,63.08,0.00
44000,13,41,43.4,0.3,0.0,20.3,0.3,9,118,27.50,0.00
