step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
10000,813,4.526,0.098,11.75,69803,48661,0,21752,106,2376,1101577.4,69480.9,0.080,0.268,0.208,0.228,0.216,2730,63.98,0.32,35.43,6.35,2.98,6.36,0.00,0.00,25.57,5.48,2.32,4.72,0.047,0.099,214,0.255,0.884,0.096,0.000,0.020,36730,22299,2,0.845,0.097,0.000,0,0.000,0.192,0.055,109.17,22859,29,3.19,0.826,0.016,2187,2863,0,0.000
20000,797,4.582,0.096,11.75,82018,60545,0,21489,0,1872,1536765.9,78722.5,0.074,0.232,0.187,0.311,0.196,1813,63.97,0.58,37.23,7.79,4.77,8.40,0.03,0.67,21.94,5.02,4.48,7.95,0.075,0.132,133,0.237,0.857,0.124,0.000,0.019,45986,23946,4,0.654,0.001,0.005,0,0.000,0.182,0.052,153.41,29534,33,3.66,0.811,0.011,265,12,0,0.000
30000,739,4.643,0.103,12.16,81137,53077,0,28118,0,2848,1545012.5,103134.2,0.068,0.226,0.209,0.291,0.206,1883,63.96,0.62,38.89,10.06,4.95,9.03,0.01,0.30,20.11,6.27,4.30,7.91,0.078,0.142,141,0.183,0.853,0.124,0.000,0.023,49376,26921,3,0.572,0.032,0.003,0,0.000,0.206,0.065,154.78,26375,24,3.67,0.877,0.020,876,10,0,0.000
40000,835,4.515,0.100,12.46,72938,51952,0,20890,0,1951,1554894.2,74567.7,0.097,0.215,0.203,0.266,0.219,1924,63.65,0.98,38.90,8.27,3.32,7.39,0.00,0.00,21.43,6.42,2.87,6.44,0.054,0.119,162,0.149,0.878,0.097,0.000,0.025,44780,20839,3,0.447,0.234,0.000,0,0.000,0.185,0.051,155.99,25159,27,3.57,0.834,0.012,683,22,0,0.000
50000,830,4.472,0.072,11.69,68524,48521,0,20007,1,2674,1584951.5,71384.2,0.077,0.221,0.220,0.254,0.228,1947,63.56,1.16,39.31,7.76,2.86,6.91,0.01,0.21,21.39,5.81,2.50,6.38,0.047,0.115,158,0.135,0.887,0.084,0.000,0.029,44261,19405,5,0.712,0.048,0.001,0,0.000,0.154,0.033,157.94,24197,25,3.57,0.882,0.013,391,3,0,0.000
60000,829,4.571,0.073,11.33,66350,47882,0,18469,0,1483,1604564.5,66119.9,0.050,0.219,0.222,0.233,0.276,2001,63.54,1.10,38.63,7.95,3.45,7.77,0.00,0.00,21.47,5.61,3.16,7.03,0.056,0.127,147,0.156,0.888,0.092,0.000,0.021,45498,20514,2,0.407,0.434,0.000,0,0.000,0.155,0.033,159.47,24464,23,3.58,0.889,0.007,135,10,0,0.000
70000,819,4.713,0.067,11.25,67462,46175,4,21293,0,1670,1619792.5,76343.2,0.033,0.223,0.223,0.227,0.294,1899,63.62,1.01,39.00,8.18,2.80,7.01,0.00,0.00,21.82,6.69,2.70,6.67,0.046,0.114,142,0.158,0.897,0.087,0.000,0.016,44361,19960,3,0.712,0.006,0.000,0,0.000,0.143,0.025,160.28,25194,28,3.59,0.860,0.011,67,10,0,0.000
80000,845,4.573,0.072,11.19,67064,48342,2,18694,0,1061,1619811.6,67140.4,0.033,0.231,0.221,0.221,0.294,2018,63.55,1.21,38.77,7.91,3.30,7.57,0.00,0.00,21.47,5.86,3.11,7.05,0.054,0.126,149,0.140,0.889,0.088,0.000,0.024,43584,21312,4,0.543,0.000,0.000,0,0.000,0.143,0.027,160.47,24497,26,3.59,0.873,0.012,77,5,0,0.000
90000,821,4.773,0.077,11.25,59556,43720,2,15858,0,932,1620392.4,56207.4,0.033,0.232,0.249,0.209,0.277,2270,63.57,1.05,39.03,6.68,3.16,7.04,0.00,0.00,21.38,4.32,3.16,7.03,0.052,0.115,130,0.144,0.886,0.095,0.000,0.019,38072,15887,4,0.546,0.158,0.000,0,0.000,0.149,0.029,160.78,22572,23,3.54,0.891,0.005,66,3,0,0.000
100000,817,4.738,0.084,11.24,61100,42520,1,18583,0,1302,1620046.4,66360.3,0.041,0.232,0.239,0.212,0.276,2139,63.80,0.80,38.44,7.94,3.42,7.05,0.00,0.00,21.94,5.57,3.35,6.93,0.054,0.112,150,0.125,0.873,0.110,0.000,0.017,38333,16080,4,0.574,0.029,0.000,0,0.000,0.154,0.031,160.61,23245,32,3.57,0.856,0.004,53,1,0,0.000
110000,829,4.697,0.077,11.21,65300,46324,4,18960,0,1200,1612511.6,68071.1,0.033,0.226,0.232,0.205,0.304,1913,63.66,1.10,38.19,7.03,2.80,6.76,0.00,0.00,22.67,4.99,2.69,6.57,0.045,0.110,140,0.164,0.901,0.088,0.000,0.011,39397,15907,5,0.450,0.077,0.000,0,0.000,0.146,0.026,160.32,25262,26,3.59,0.882,0.001,38,4,0,0.000
120000,825,4.708,0.081,11.15,64061,46576,4,17485,0,1013,1614191.4,62838.4,0.022,0.226,0.229,0.217,0.306,2031,63.58,1.10,39.48,7.19,2.84,6.90,0.00,0.14,21.25,4.89,2.81,6.82,0.046,0.113,130,0.285,0.908,0.074,0.000,0.018,38438,16333,4,0.389,0.095,0.001,0,0.000,0.143,0.025,160.23,24076,28,3.59,0.879,0.004,44,2,0,0.000
